K,alpha,ISTA_worst_bound,ISTA_worst_sample,ISTA_exp_bound,ISTA_exp_eps,ISTA_exp_sample,ISTA_cvar_bound,ISTA_cvar_eps,ISTA_cvar_sample,FISTA_worst_bound,FISTA_worst_sample,FISTA_exp_bound,FISTA_exp_eps,FISTA_exp_sample,FISTA_cvar_bound,FISTA_cvar_eps,FISTA_cvar_sample
1,0.01,9.34865534127441,1.2802806804633526,0.7049517130069716,0.034,0.6656479845596397,2.902830745102275,0.0175,1.276273094264133,9.34865534127441,1.2802806804633526,0.7049517530073784,0.034,0.6656479845596397,2.9028418351039735,0.0175,1.276273094264133
2,0.01,5.609182181944604,1.0838978084112507,0.5846658952801648,0.0175,0.5636831613806623,2.426309494751202,0.0175,1.0804457305232034,5.609182181944604,1.0838978084112507,0.5846658550794882,0.0175,0.5636831613806623,2.426326907940652,0.0175,1.0804457305232034
3,0.01,4.00655114297419,0.917971323327853,0.4973314914345853,0.0175,0.47748142296475393,2.0973936322521047,0.0175,0.9149710543958005,3.70804748866869,0.8737116517574176,0.4746831282970795,0.0175,0.4544922744924344,1.0636355933070858,0.001,0.8708306289231588
4,0.01,3.116200673576674,0.777644683038053,0.4233973194429676,0.0175,0.4045647701023023,0.950096353223696,0.001,0.7749989374260431,2.6269476438441273,0.669018859107011,0.3675725925919711,0.0175,0.3481363571402757,0.836178756206984,0.001,0.6666658871233431
5,0.01,2.5496140083141916,0.6589110366343561,0.3607986686889964,0.0175,0.34287139437294656,0.8149894897770423,0.001,0.6565703906954441,1.9572380757888237,0.4844571021862732,0.2709807514666068,0.0175,0.25224257649492493,0.630657959919772,0.001,0.4825703525884964
6,0.01,2.1573617085402774,0.558437834645355,0.3077823515935445,0.0175,0.29066787128388966,0.700304097893482,0.001,0.5563496065929959,1.514620325008532,0.3294246035153478,0.1897831710846444,0.0175,0.17169565737161366,0.4574604592642776,0.001,0.32792661667773976
7,0.01,1.8697100468706007,0.473411539073323,0.2628540013385876,0.0175,0.24649245706794104,0.6029764643927611,0.001,0.47153552958380296,1.2070947047277314,0.208114091792272,0.1261776523453008,0.0175,0.10866948366711393,0.320988316495467,0.001,0.20691943454267253
8,0.01,1.6497410695870989,0.401453467871899,0.2247702699547163,0.0175,0.20910770278966637,0.5202611219563397,0.001,0.3997583639058177,0.9848180874589768,0.1202008779183294,0.0799750699688939,0.0175,0.0629949910607635,0.2209677589896379,0.001,0.1192223483331662
9,0.01,1.4760814485165408,0.3405499651300842,0.1924797627068035,0.0175,0.17746803062203026,0.4499848428322549,0.001,0.3390096664617668,0.818948337605142,0.0619824162450872,0.0339048643745245,0.001,0.03274948557101482,0.1532279112491219,0.001,0.06114622367986265
10,0.01,1.3354998000922085,0.2890039154051687,0.1650911464200971,0.0175,0.15068981812783844,0.3902224805501335,0.001,0.2875962811371612,0.6918761176851609,0.0277115764642481,0.0159892880509848,0.001,0.014945917910510744,0.111104051030796,0.001,0.02695896118121805
11,0.01,1.2193670606872893,0.2453802306655954,,,0.12802587861867734,0.3393217189220751,0.001,0.24408268708686515,0.5923631036301226,0.0108814433863111,0.0071844101543238,0.001,0.006202139764985972,0.0874810440021343,0.001,0.010226552358280551
12,0.01,1.1218156433896078,0.2084588482209096,,,0.10884363711261237,0.296021448296928,0.001,0.20725338944693306,0.5129652206667037,0.0052819755462003,0.0042409019873496,0.001,0.0032913206950798855,0.0758539113493032,0.001,0.0048908096245846005
13,0.01,1.0387162739104632,0.1772079746406322,,,0.09260788412157339,0.2590606787817086,0.001,0.17608052038974095,0.4485938473443471,0.0057274678414566,0.0044684837592815,0.001,0.0035193672140987576,0.0706365611802754,0.001,0.00531455410591445
