algorithm,K,worst-case (PEP),cvar,expectation
ISTA,5,0.03,21.57,5.26
,10,0.14,149.00,36.35
,15,0.16,514.10,156.48
,20,0.33,1534.60,418.59
,25,0.69,3462.34,1202.15
FISTA,5,0.03,20.06,10.53
,10,0.04,127.44,59.94
,15,0.12,461.00,248.72
,20,0.28,1582.16,746.14
,25,0.59,5957.07,2437.94
