K,obj,val,solvetime
1,obj_val,27842.22972895016,0.009273415
2,obj_val,22552.207260640567,0.000720171
3,obj_val,18267.288420120232,0.001028382
4,obj_val,14796.503527546485,0.001448493
5,obj_val,11985.16798490017,0.002180331
6,obj_val,9707.985938344913,0.003866353
7,obj_val,7863.46714543572,0.004700705
8,obj_val,6369.403896528569,0.007170894
9,obj_val,5159.220574401342,0.011885854
10,obj_val,4178.964611007513,0.01539198
11,obj_val,3384.9649086317427,0.027074671
12,obj_val,2741.8209658936275,0.166595421
13,obj_val,2220.8755998132847,0.129427407
14,obj_val,1798.9005843480527,0.147850952
15,obj_val,1457.1160254162194,0.207596285
16,obj_val,1180.2641166212863,0.214551005
17,obj_val,956.0136376798865,0.244041679
18,obj_val,774.3712908509157,0.273258732
19,obj_val,627.2363750133876,0.321187483
20,obj_val,508.0643751394397,0.3539354
21,obj_val,425.40998257206326,0.314249525
22,obj_val,406.3017333207396,0.413493782
23,obj_val,388.8362709965358,0.487642004
24,obj_val,372.81047989796497,0.549549582
