tau,sigma,theta
0.1720809567146635,0.12243675011511555,0.8415185146883007
0.05277570189754552,0.15343574469166138,0.8437551534868462
0.06343291011169346,0.13102274428710878,0.8522940355069448
0.16748350311774557,0.16681516960132478,0.874887451397569
0.1525896533519805,0.1382133227397861,0.8399340257846934
0.13977949231561743,0.16138879774332107,0.9416094212526377
0.13617430422044427,0.1588639046676035,0.9545426850376937
0.16875218994599275,0.14154130699859108,1.1142375314352952
0.1655274268828068,0.15974925089608882,1.1767355697578767
0.12945710340546965,0.09255525773382176,1.1429502192767858
