iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
10,1.3743496878662755,0.0007652901503745719,0.04116899997461587,12.340499722446008,2.6200000000000003e-06,1.2499595211181709,1.2499595291219434,1.2499595258920801,1.2500404720317952,1.2499595410891928,1.2499595269683064,1.2500404840315602,1.250040463414262,1.2499595272187805,1.2500404740370321,1.250040473657806,1.2499595284675837,1.2500404746817617,1.2500404714285451,1.2500404743651385,-1.75066785182987e-05,0.2817354263813989,0.4340246819299576,0.5310819050285652,0.5987966922752592,0.6489052258579592,0.6876277540153987,0.7184817530213099,0.74367294640614,0.7646466176497682,0.7823911431402532,0.7976062811869556,0.8108018873336506,0.8223947398079026,0.8325843815233089
11,1.3743501449735056,0.0007652936180647796,0.040123416983988136,12.341887742083308,2.8000000000000003e-06,1.2499532441204269,1.2499532678196872,1.2499532651896808,1.2500467317820854,1.2499532576993921,1.2499532657978163,1.250046763869962,1.2500467110712776,1.2499532664894368,1.250046736421275,1.2500467370713613,1.2499532678741903,1.250046736344638,1.2500467329297347,1.250046736215133,-2.0231959087051053e-05,0.2817326263309796,0.43402188202293285,0.5310847045261248,0.5987994879248933,0.6489024255121834,0.6876249539910487,0.71847895238561,0.7436701463661143,0.764643817843303,0.7823883432655541,0.7976034813493167,0.8107990889807397,0.8223975402822665,0.8325843815233089
12,1.3743506456963972,0.0007652973084587456,0.04048654099460691,12.341719416450495,2.9800000000000003e-06,1.2499465656686128,1.2499466043947016,1.24994660185695,1.2500533941097025,1.249946575512691,1.2499466020833905,1.250053445013104,1.2500533606143183,1.2499466033065898,1.2500534012887334,1.25005340241648,1.249946604940688,1.2500534008294468,1.250053396306658,1.2500534007427828,-2.313391260277462e-05,0.2817296465167393,0.43401890212329797,0.5310876840736738,0.5988024640231857,0.6488994451572822,0.6876219739430994,0.7184759716956244,0.7436671663170684,0.7646408380454429,0.7823853633470298,0.797600501516044,0.8107961111806655,0.8224005208298864,0.8325843815233089
13,1.3743511875053738,0.0007653012201732241,0.04011304100276902,12.346166646852769,3.1600000000000002e-06,1.2499394909310608,1.2499395389019239,1.24993953589029,1.2500604597891327,1.2499395023984565,1.249939536009821,1.2500605214612335,1.2500604183982156,1.2499395375281916,1.2500604679451135,1.250060469432276,1.24993953961221,1.2500604677320772,1.250060460873793,1.2500604677259517,-2.6209592063659973e-05,0.28172648684843843,0.4340157422142787,0.5310908439380363,0.5988056222156017,0.6488962849672116,0.6876188139559846,0.7184728113155715,0.7436640062536256,0.764637678161337,0.7823822034356648,0.7975973417122548,0.8107929529955265,0.8224036812525156,0.8325843815233089
14,1.3743517696231917,0.0007653053543438264,0.040950459020677954,12.344414045962207,3.340000000000001e-06,1.2499320146308048,1.2499320710095334,1.2499320675198768,1.2500679282636626,1.249932034464949,1.2499320674819137,1.2500679959045662,1.2500678807001842,1.2499320692692126,1.2500679369379928,1.2500679391677638,1.2499320717048268,1.2500679372205405,1.2500679269807817,1.2500679373629788,-2.9462364675764064e-05,0.28172314716702346,0.43401240238982,0.5310941839148402,0.5988089613513042,0.6488929448260281,0.6876154739599943,0.7184694710177245,0.743660666180176,0.7646343382728493,0.78237886360017,0.7975940019300989,0.8107896148663257,0.8224070216375429,0.8325843815233089
15,1.3743523970296225,0.0007653097072548909,0.04023741598939523,12.345986778843852,3.520000000000001e-06,1.249924149583203,1.2499242017332746,1.2499241959892418,1.250075800588681,1.2499241924726063,1.249924196606322,1.250075856243404,1.2500757599606727,1.2499241983157112,1.2500758073795084,1.2500758089609658,1.2499242014432992,1.2500758090120074,1.2500757932594653,1.2500758094063167,-3.288450410950503e-05,0.28171962799343714,0.43400888233948015,0.5310977044482322,0.5988124847775644,0.6488894249687168,0.6876119539962712,0.7184659514084837,0.7436571461011303,0.7646308183090664,0.782375343778423,0.7975904822215872,0.8107860963673358,0.822410541815006,0.8325843815233089
16,1.374353064690534,0.0007653142846468737,0.040729250002186745,12.337414633983864,3.700000000000001e-06,1.2499158736373106,1.2499159297151938,1.249915921999183,1.2500840751288302,1.2499159470144945,1.249915923051068,1.2500841251011352,1.2500840383872205,1.2499159250288214,1.2500840806842572,1.2500840801703097,1.249915929013195,1.2500840835506621,1.2500840619211375,1.2500840844928454,-3.648940821224694e-05,0.2817159287645266,0.4340051822667945,0.5311014048187416,0.5988161874666195,0.6488857249819009,0.6876082540176969,0.7184622516322492,0.743653446037225,0.7646271184325255,0.7823716437865431,0.7975867824937115,0.810782398133202,0.8224142420101923,0.8325843815233089
17,1.3743537888596513,0.0007653190854728795,0.0405749169876799,12.34137336190443,3.880000000000001e-06,1.249907193098313,1.2499072550028982,1.2499072456521663,1.2500927524648928,1.2499072996301692,1.2499072469531365,1.25009279709683,1.2500927210526946,1.2499072492821712,1.2500927563019302,1.2500927536752853,1.2499072542357483,1.2500927608238444,1.250092732409389,1.2500927623772011,-4.0273687485076346e-05,0.2817120493845809,0.43400130225211137,0.5311052852609566,0.5988200702831638,0.6488818449670727,0.6876043740425057,0.7184583719540313,0.7436495659806887,0.7646232386091235,0.7823677638413278,0.7975829028226092,0.8107785200341479,0.8224181223744896,0.8325843815233089
18,1.3743545703448237,0.0007653241078439108,0.040549792000092566,12.342518051761779,4.060000000000002e-06,1.249898115457061,1.2498981786621468,1.2498981663886957,1.2501018328458409,1.24989826401694,1.2498981684912627,1.250101862569895,1.2501018123932983,1.2498981709366996,1.2501018335625935,1.2501018288879064,1.2498981771846693,1.2501018407057778,1.2501018034397149,1.2501018430242299,-4.4232750958541105e-05,0.2817079904631445,0.43399724205632945,0.5311093459149082,0.5988241350060065,0.648877785103443,0.6876003141157168,0.718454312610576,0.743645505902777,0.7646191787288281,0.7823637039514992,0.7975788432496771,0.8107744620548453,0.8224221827165158,0.8325843815233089
19,1.3743554076072595,0.0007653293587240897,0.040645500004757196,12.336009600019231,4.240000000000001e-06,1.2498886131373534,1.2498886986004503,1.2498886853833788,1.2501113143943487,1.2498887937141478,1.249888687235398,1.2501113562941153,1.2501112926608637,1.2498886904501598,1.2501113146314384,1.2501113082376873,1.2498886978890233,1.250111324009517,1.2501112778468118,1.2501113270355824,-4.8383819105762215e-05,0.28170375096210776,0.43399300217933207,0.5311135860071287,0.5988283746810497,0.6488735448269835,0.6875960741827903,0.7184500726255337,0.7436412658351212,0.7646149390813356,0.7823594641096975,0.7975746037781045,0.8107702260257674,0.8224264237743305,0.8325843815233089
