iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
36,3.502845778399664,0.010017569186148477,0.014499875018373132,27.99112748845379,7.3e-06,1.2496659405670163,1.2496659410924584,1.2496659436874085,1.249665985866875,1.2496660749732815,1.2503339673568101,1.2496659265259038,1.2496659802862669,1.2503339321561577,1.2496659159121812,1.2503341257543135,1.2496657542901015
37,3.5028723814374674,0.010017686218103136,0.014601207978557795,27.993058294280416,7.48e-06,1.2496492154039722,1.2496492159655286,1.2496492188968535,1.2496492664559091,1.249649367053722,1.2503506795972983,1.2496491995044572,1.24964926017777,1.2503506399103463,1.2496491875540157,1.2503508584728076,1.2496490052272877
38,3.5028996409384825,0.010017806070117223,0.014774582989048213,27.995041940706514,7.660000000000001e-06,1.2496320877666993,1.2496320883602052,1.2496320916614352,1.2496321451103114,1.2496322583278832,1.2503677929804582,1.2496320698164172,1.2496321380746613,1.250367748368804,1.2496320564046801,1.2503679943428587,1.24963185137524
39,3.502927556937016,0.010017928742548305,0.014783041959162802,27.997074181465567,7.840000000000001e-06,1.2496145576536635,1.2496145582740426,1.249614561980949,1.2496146218666075,1.2496147489040443,1.2503853074125486,1.2496145374452108,1.2496146140068216,1.250385257403795,1.2496145224431336,1.2503855333862854,1.249614292581793
40,3.5029561294791667,0.010018054235693297,0.014468415989540517,27.999179958532064,8.020000000000001e-06,1.2495966250688428,1.2495966257067233,1.2495966298583607,1.2495966967622152,1.2495968388987961,1.2504032227950512,1.2495966023745884,1.24959668800522,1.2504031669011497,1.2495965856465394,1.2504034756594766,1.2495963286879934
41,3.5029853586014688,0.010018182549965792,0.01444549998268485,28.00129994986223,8.200000000000001e-06,1.2495782900030317,1.2495782906524329,1.2495782952890233,1.2495783698280756,1.249578528421913,1.2504215390241324,1.2495782645834654,1.2495783600972559,1.250421476733043,1.2495782459862412,1.2504218211991687,1.2495779595274226
42,3.503015244362527,0.01001831368571145,0.0146214590058662,28.003491632158386,8.380000000000001e-06,1.2495595524567393,1.249559553110598,1.2495595582753445,1.2495596411003196,1.2495598175974234,1.250440255999566,1.2495595240594712,1.2495596303163556,1.250440186758476,1.2495595034397562,1.2504405700531676,1.2495591849310101
43,3.503045786804576,0.01001844764327285,0.014404583955183625,28.00574092436289,8.560000000000001e-06,1.2495404124320952,1.2495404130782248,1.2495404188171408,1.2495405106180915,1.2495407065485937,1.2504593736207357,1.2495403807860928,1.249540498696691,1.2504592968497972,1.2495403579804607,1.250459722277427,1.2495400047226082
44,3.5030769859708233,0.010018584423038473,0.014801207988057286,28.008054648426906,8.740000000000001e-06,1.2495208699299902,1.2495208705496434,1.249520876911071,1.249520978417853,1.249521195402729,1.2504788917894012,1.249520834744964,1.2495209652718235,1.2504788068517376,1.2495208095837134,1.2504792779258302,1.2495204187211346
45,3.5031088419121175,0.010018724025377294,0.014829249994363636,28.01040098528801,8.920000000000001e-06,1.2495009249467368,1.249500925526892,1.249500932561697,1.2495010445394423,1.2495012842954294,1.2504988104063561,1.2495008859118655,1.2495010300802027,1.2504987166177397,1.249500858221874,1.2504992370474566,1.249500426743283
