eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.0005,0.0,0.0,0.0
0.001,0.0,0.0,0.0
0.005,0.0,0.0,0.0
0.01,0.018,0.0,0.0
0.05,0.416,0.058,0.0
0.1,0.642,0.578,0.0
0.5,0.944,1.0,0.93
1.0,0.984,1.0,1.0
