iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3
0,0.10522936584686529,0.042809749851116796,0.45044983399566263,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.09975558251725923,0.04280965305741211,0.15177279198542237,0.06525990986525337,9.999999999999972e-07,1.2500022360693468,1.2500022360689025,1.2500022360680674,1.250002236065616
2,0.10054361730858961,0.04280936458084607,0.1505511249997653,0.06475719310189673,2.980000000000002e-06,1.250008897185604,1.2500089011570223,1.2500089016196274,1.2500089016133495
3,0.09702268714617386,0.04280888487233992,0.001435208017937839,0.06419861249290655,4.960000000000007e-06,1.250019982015607,1.2500199838193211,1.2500199826236849,1.2500199813087103
4,0.10153390270931406,0.04280821255383722,0.0013462089700624347,0.06689441249622874,6.939999999999998e-06,1.250035512128856,1.250035518000086,1.2500355155139053,1.250035512463416
5,0.11344501504909704,0.04280734549780926,0.0016257499810308218,0.07176558250931629,8.919999999999989e-06,1.2500555384853356,1.250055550448674,1.2500555487803218,1.250055546621274
6,0.10468435666722054,0.04280628682686996,0.0014792500296607614,0.06679962214160054,1.0899999999999994e-05,1.2500799930669741,1.2500800059336257,1.2500800087336603,1.2500800134127206
7,0.10580001749742451,0.04280503498970018,0.0013481660280376673,0.06840238016998186,1.2879999999999999e-05,1.2501089044304858,1.2501089278295494,1.2501089351738295,1.2501089467716113
8,0.10710027935136207,0.04280358933427932,0.001523916027508676,0.06889827806504296,1.4860000000000003e-05,1.2501422812351446,1.2501423336981476,1.2501423475197144,1.250142364141244
9,0.09827111195008592,0.04280195549070821,0.0014951250050216913,0.06484472898320742,1.6840000000000008e-05,1.2501800089441037,1.250180091117355,1.2501801102833587,1.2501801285207155
10,0.09953666214165871,0.042800131829225645,0.0015302079846151173,0.06546019845706993,1.8819999999999986e-05,1.2502221063448553,1.2502222400996708,1.250222270035747,1.2502222900747901
11,0.10113334820430207,0.04279811897670657,0.0014996249810792506,0.065498862089258,2.079999999999999e-05,1.2502685835890126,1.2502687634191707,1.2502688021220953,1.2502688231336911
12,0.10498522160969875,0.042795912166965024,0.0015360830002464354,0.06741644859843753,2.2779999999999995e-05,1.2503195159676963,1.2503197712464738,1.2503198326375797,1.2503198642968594
13,0.10309276558619221,0.04279351455173964,0.001284958969336003,0.06738552414280696,2.476e-05,1.2503749224183864,1.2503751966538177,1.250375249036673,1.2503752758473416
