iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5
0,64.34851518002158,13.779547356903521,3.9864861650858074,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,56.896967508528896,13.778932497167672,4.829492951044813,139.82028637442932,9.999999999992654e-07,0.10126208560471468,0.10126335878290946,0.9999979995204749,0.10126208560472504,0.10126335878290468,0.9999979995204893,0.10126208560475368,0.10126335878289225,0.9999979995205353,0.10126208560490729,0.10126335878282752,0.9999979995206338,0.10126335878228572,0.10126208560487038,0.9999979995208552,0.10126335878089084,0.10126208560512973,0.9999979995232757
2,58.88625783240176,13.657201470200448,4.997322201030329,135.63617784509475,0.0002009799999999999,0.10113472048044111,0.10139137677219721,0.9995958665223106,0.10113513353602557,0.1013913690349599,0.9995958884905614,0.10113650360549596,0.10139136075918086,0.9995959101686749,0.10115273131346289,0.10139134832183046,0.999595930616987,0.10138577174941865,0.10113416174184552,0.9995959469440973,0.10139122641471289,0.10113415279885177,0.9995959375327732
3,59.74605204504278,13.424700496937442,0.5046386320609599,131.02222718877857,0.0004009599999999988,0.10088249665464755,0.10164718762197096,0.9987933289361927,0.10088518688700764,0.10164714602945625,0.9987934599922661,0.10089491161962907,0.10164710736287765,0.9987935871802596,0.10103645491019242,0.10164707744172516,0.9987937030887589,0.10162962082212447,0.10087908870881529,0.9987938080590959,0.10164650423452601,0.10087899042183324,0.9987937007113171
4,58.416684226384895,13.067819543689081,0.5051807111594826,139.79390631309468,0.0006009399999999995,0.10050330614114575,0.10203091622421724,0.9975921989007766,0.10050810298679409,0.10203088668825425,0.9975923673011262,0.10052597035574702,0.10203089609939804,0.9975925328711284,0.10080146397934218,0.10203106403324183,0.9975926201276569,0.10199275006125841,0.10049777696911141,0.9975928598975267,0.10202983170003023,0.1004974534088809,0.9975924696635413
5,59.07092893371933,12.598611229484252,0.5067345530260354,132.78323905016222,0.0008009199999999984,0.10000062822177265,0.10254371070824286,0.9959920940797307,0.10000918162330305,0.10254371500666735,0.9959923713649461,0.10004112146726808,0.10254386392671673,0.9959926377258703,0.10056541989492869,0.10254457335925818,0.9959926015413275,0.10248878797847971,0.09999067422031228,0.9959932540571541,0.10254126676166378,0.09998955445020102,0.9959919171723839
6,59.433324017696066,12.01516382676121,0.5096245009917766,135.53644169468458,0.001000899999999999,0.09937513656553323,0.10318646992979633,0.9939948041018728,0.09938876899298782,0.10318661441063287,0.9939951978908642,0.0994395933431791,0.10318716820649881,0.9939955635707687,0.10033020267630403,0.10318923173882663,0.9939950259320612,0.10312035450823155,0.09935931196720045,0.993996640495244,0.10318226438337379,0.09935652797093221,0.9939933262929391
7,57.60026535665718,11.290546320889513,0.5045974620152265,148.04662534738515,0.0012008799999999997,0.09862202588447071,0.10395904670343542,0.9916068395779609,0.09863873629264662,0.10395974981834696,0.9916067272642837,0.09870442152091967,0.10396142098046951,0.9916065863561222,0.09989370752918479,0.10396648529726096,0.9916041642449043,0.10385038616126085,0.09860641584521444,0.9916074385806681,0.1039542266388614,0.09860080640295173,0.9916007803581605
8,58.251108009794464,10.472532942711531,0.5121540920808911,128.3902808750944,0.0014008600000000003,0.09775640960145238,0.10486502914374476,0.9888236629758388,0.09778275051684823,0.10486651368051018,0.9888231999840368,0.09788641495051342,0.10486992684750253,0.9888226614118765,0.09965896663681584,0.10487974164527364,0.9888172716905176,0.104724188562018,0.0977316370219515,0.9888239750359936,0.10485450254007565,0.09772049183097345,0.9888108608678321
9,56.65701232154461,9.509045628516953,0.5160231080371886,146.0489030791726,0.0016008399999999992,0.09676606271708257,0.10590386467683532,0.9856562891538392,0.09679928675794428,0.10590695286416352,0.985654553008563,0.09693404922243253,0.10591362287775408,0.9856526970712509,0.09924296867477374,0.10593161088348706,0.9856413277709982,0.10571689159445274,0.09674051530239249,0.9856538225877798,0.10588955002218363,0.09672148360075936,0.9856315761255077
