method,K,dataset,mean,median,q10,q90,max,n_diverged,solved_0.01,solved_0.001
GD (1/L),5,test,0.040810677470745856,0.03872725746971892,0.020418538178460937,0.06273842959954605,0.09167032471375167,0,0.024,0.0
GD (1/L),5,ood,0.02065499016017356,0.01868541838344584,0.008201763425126518,0.03556667904484341,0.057246397430130685,0,0.3,0.0
Silver GD,5,test,0.015263946275369403,0.013107539131422596,0.004911320531607216,0.027984089549741194,0.04756628377049954,0,0.516,0.008
Silver GD,5,ood,0.00580583135501611,0.004288528530043079,0.0010569413615898581,0.012251270121451517,0.026890865335269715,0,0.916,0.164
Nesterov FGM,5,test,0.02651515202753604,0.024278557916660587,0.01107214455452797,0.044294738443919464,0.06825873054161469,0,0.164,0.0
Nesterov FGM,5,ood,0.012006129321550114,0.010206643642699575,0.0034404041021940447,0.022657335315076847,0.0415721007355411,0,0.656,0.016
L2O GD,5,test,0.004147024682605453,0.002714094178800197,0.0007342122173987942,0.009146843123076348,0.021390626585525374,0,0.948,0.28
L2O GD,5,ood,0.027373655389602722,0.010163424704676571,0.0020830900416433594,0.07708915265158245,0.38511197406205433,1,0.596,0.036
L2O FGM,5,test,0.0012976426990724303,0.0009219628043587169,0.0004161761378588369,0.002466771989909416,0.009519038303854976,0,1.0,0.76
L2O FGM,5,ood,0.02226057006385657,0.010241883760241655,0.003106156687641043,0.057935373918546355,0.25323350620139895,1,0.596,0.0
OPT-PEP GD,5,test,0.04081067747074583,0.03872725746971889,0.020418538178460982,0.06273842959954605,0.09167032471375172,0,0.024,0.0
OPT-PEP GD,5,ood,0.020654990160173546,0.018685418383445812,0.008201763425126518,0.03556667904484341,0.057246397430130685,0,0.3,0.0
OPT-PEP FGM,5,test,0.022911728746859664,0.020696250678647138,0.009132482987375401,0.03924775476344021,0.06208089769552888,0,0.284,0.0
OPT-PEP FGM,5,ood,0.008737264364481993,0.007034593911587145,0.0019893982960258404,0.017824540106498664,0.033531691519522316,0,0.78,0.068
DR-L2O GD,5,test,0.026855597593428357,0.0247363739825123,0.01145904777811589,0.04447900394151308,0.06843863507176906,0,0.152,0.0
DR-L2O GD,5,ood,0.01164584060339783,0.009912331966664772,0.003410236731434668,0.022081536733306265,0.039853695339222145,0,0.664,0.016
DR-L2O FGM,5,test,0.007300920080881846,0.005337351734332918,0.0013010693778604976,0.015527135659714957,0.031165216991351608,0,0.856,0.12
DR-L2O FGM,5,ood,0.001692104069196194,0.0007029649775441571,0.00022672901887478282,0.004403005246022928,0.013846074100675121,0,0.992,0.656
GD (1/L),10,test,0.017458795211345354,0.015292677254186704,0.006215142009676195,0.031086994270859612,0.051220760126905907,0,0.428,0.004
GD (1/L),10,ood,0.007332382432861224,0.0057546694985403934,0.0016184853598119775,0.014785078985015692,0.030629282742173164,0,0.844,0.088
Silver GD,10,test,0.0031028861696040734,0.0018746402004444496,0.00023467635507392617,0.007643488886821236,0.019135585429611413,0,0.98,0.4
Silver GD,10,ood,0.0008362220736916077,0.0002670110302186446,1.894976079206412e-05,0.002232869539461324,0.009063521755103832,0,1.0,0.792
Nesterov FGM,10,test,0.0031800757719085758,0.0017804660203280531,0.00014064237149934988,0.008094606472165167,0.020427060687769283,0,0.972,0.424
Nesterov FGM,10,ood,0.0007632617439184539,0.00013489756988899204,1.932213490632995e-05,0.0021853410515446756,0.009814108024975593,0,1.0,0.808
L2O GD,10,test,0.0011489818714894465,0.00042940022315385296,3.3705654894522485e-05,0.003014404086872097,0.010343916771816175,0,1.0,0.74
L2O GD,10,ood,0.03362764777925805,0.009332584831140273,0.0003191986849741868,0.10336980558821589,0.2545726260495814,1,0.54,0.252
L2O FGM,10,test,0.00012917958171481335,7.898698728237008e-05,1.4760961247600736e-05,0.0001386285790982711,0.002754970008757962,0,1.0,0.988
L2O FGM,10,ood,0.03887156906524067,0.009903814571103897,0.0004231684828751359,0.10331102112238542,0.20436957235918507,1,0.52,0.316
OPT-PEP GD,10,test,0.017458795211345347,0.015292677254186676,0.006215142009676183,0.03108699427085961,0.051220760126905907,0,0.428,0.004
OPT-PEP GD,10,ood,0.007332382432861217,0.0057546694985403934,0.0016184853598119775,0.014785078985015687,0.030629282742173164,0,0.844,0.088
OPT-PEP FGM,10,test,0.0031800757719085745,0.0017804660203280254,0.00014064237149934988,0.008094606472165167,0.020427060687769283,0,0.972,0.424
OPT-PEP FGM,10,ood,0.0007632617439184494,0.00013489756988904755,1.932213490627999e-05,0.0021853410515446756,0.009814108024975593,0,1.0,0.808
DR-L2O GD,10,test,0.010376940951937943,0.008443642980012322,0.0027370693858718544,0.020310125409626855,0.03679260390009442,0,0.74,0.02
DR-L2O GD,10,ood,0.0036701324959654016,0.0024440729355298396,0.00045241890619783786,0.00823480477814168,0.020448374020365728,0,0.98,0.304
DR-L2O FGM,10,test,0.0006613443237785969,0.00047674609843315063,0.00014632647275679146,0.0010099873795418155,0.0073560982840208955,0,1.0,0.928
DR-L2O FGM,10,ood,0.000450333550627129,0.0004736362899844526,0.0001092109235307337,0.0007205883479381891,0.001980102171207282,0,1.0,0.988
GD (1/L),15,test,0.009321400886369693,0.007480780837118478,0.0022956371451951173,0.01847494944194553,0.03442314527488416,0,0.76,0.032
GD (1/L),15,ood,0.0033736898960174447,0.002193003025772494,0.00038904964193605117,0.007637046726103085,0.019592369963018746,0,0.98,0.332
Silver GD,15,test,0.0014888422847947782,0.0006550700417462807,4.6292851063173274e-05,0.0040059178471683445,0.012715648736874696,0,0.996,0.66
Silver GD,15,ood,0.00033185718210500926,5.328015626612781e-05,6.538487290486118e-07,0.0009346592445886148,0.005328422732912702,0,1.0,0.944
Nesterov FGM,15,test,0.0003635875661254576,0.000131575963773084,2.3726436306092946e-05,0.0008823615286743854,0.006730231925471897,0,1.0,0.936
Nesterov FGM,15,ood,0.0001123325367702105,9.32289327899849e-05,1.0668065183350174e-05,0.0001544371163375413,0.0019591513249593018,0,1.0,0.984
L2O GD,15,test,0.0004899129296493217,0.00010567646821790788,2.7099522968088153e-06,0.0013709589658543408,0.006482562227711097,0,1.0,0.892
L2O GD,15,ood,0.02720751479966635,0.005155472577056647,3.8352708027872275e-05,0.08348233711130877,0.23289058261072104,1,0.576,0.4
L2O FGM,15,test,2.3126781018122712e-05,1.2396090491195721e-05,3.5053508116111854e-06,2.2667303554357864e-05,0.0008753005729528196,0,1.0,1.0
L2O FGM,15,ood,0.023198165143806074,0.003790836883821369,1.7801233999731326e-05,0.06175689116612971,0.1319586450067256,0,0.548,0.46
OPT-PEP GD,15,test,0.009321400886369688,0.007480780837118478,0.0022956371451950675,0.01847494944194553,0.034423145274884104,0,0.76,0.032
OPT-PEP GD,15,ood,0.003373689896017439,0.0021930030257724664,0.00038904964193605117,0.007637046726103085,0.019592369963018746,0,0.98,0.332
OPT-PEP FGM,15,test,0.00036358756612545805,0.00013157596377313951,2.3726436306087396e-05,0.0008823615286744354,0.006730231925471841,0,1.0,0.936
OPT-PEP FGM,15,ood,0.00011233253677021338,9.32289327899849e-05,1.0668065183289112e-05,0.0001544371163375413,0.0019591513249593018,0,1.0,0.984
