method,K,t,beta,min_beta,val_loss,csv,row,eps,eta_t
OPT-PEP FGM,10,"[np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348)]","[np.float64(0.0), np.float64(0.281754), np.float64(0.434043), np.float64(0.531064), np.float64(0.598779), np.float64(0.648923), np.float64(0.687646), np.float64(0.7185), np.float64(0.743691), np.float64(0.764665)]",0.0,0.0031301160151349,learn_lpep_outputs/LogReg/2026-07-27/06-46-30_10/learn_dro_outputs/K_10/progress.csv,0.0,0.1,1e-05
DR-L2O GD,10,"[np.float64(2.592588), np.float64(2.556823), np.float64(2.551272), np.float64(2.547794), np.float64(2.545158), np.float64(2.541913), np.float64(2.552752), np.float64(2.575561), np.float64(2.577169), np.float64(2.517867)]",,,0.0103542667185641,learn_dro_outputs/LogReg/2026-07-27/06-46-32_4/learn_dro_outputs/K_10/progress.csv,500.0,0.1,0.001
DR-L2O FGM,10,"[np.float64(2.415937), np.float64(2.370847), np.float64(2.352409), np.float64(2.291398), np.float64(2.258009), np.float64(2.229454), np.float64(2.289501), np.float64(2.226095), np.float64(2.031014), np.float64(2.331797)]","[np.float64(0.182268), np.float64(0.461297), np.float64(0.603445), np.float64(0.687891), np.float64(0.742846), np.float64(0.781614), np.float64(0.822766), np.float64(0.855054), np.float64(0.895283), np.float64(0.764665)]",0.1822682733068848,0.0006149032726715,learn_dro_outputs/LogReg/2026-07-27/06-46-24_22/learn_dro_outputs/K_10/progress.csv,241.0,1.0,0.001
GD (1/L),15,"[np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348)]",,,,,,,
Silver GD,15,"[np.float64(2.669114), np.float64(3.774697), np.float64(2.669114), np.float64(6.44381), np.float64(2.669114), np.float64(3.774697), np.float64(2.669114), np.float64(12.887621), np.float64(2.669114), np.float64(3.774697), np.float64(2.669114), np.float64(6.44381), np.float64(2.669114), np.float64(3.774697), np.float64(2.669114)]",,,,,,,
Nesterov FGM,15,"[np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348)]","[np.float64(0.0), np.float64(0.281754), np.float64(0.434043), np.float64(0.531064), np.float64(0.598779), np.float64(0.648923), np.float64(0.687646), np.float64(0.7185), np.float64(0.743691), np.float64(0.764665), np.float64(0.782409), np.float64(0.797624), np.float64(0.81082), np.float64(0.822377), np.float64(0.832584)]",0.0,,,,,
L2O GD,15,"[np.float64(7.198093), np.float64(5.860163), np.float64(5.614208), np.float64(5.498725), np.float64(5.432679), np.float64(5.374149), np.float64(5.321946), np.float64(5.272831), np.float64(5.227526), np.float64(5.184827), np.float64(5.145094), np.float64(5.107531), np.float64(5.072285), np.float64(5.038801), np.float64(5.007007)]",,,0.0004583444783993,learn_l2o_outputs/LogReg/2026-07-27/06-38-26_8/learn_dro_outputs/K_15/progress.csv,500.0,0.1,0.01
L2O FGM,15,"[np.float64(3.78201), np.float64(4.007712), np.float64(3.542044), np.float64(3.262326), np.float64(3.170464), np.float64(3.196523), np.float64(3.326467), np.float64(3.559493), np.float64(3.874112), np.float64(4.179651), np.float64(4.346985), np.float64(4.377471), np.float64(4.390151), np.float64(4.434955), np.float64(4.351168)]","[np.float64(0.414062), np.float64(0.640266), np.float64(0.589185), np.float64(0.56857), np.float64(0.577848), np.float64(0.598147), np.float64(0.622403), np.float64(0.649375), np.float64(0.679439), np.float64(0.712828), np.float64(0.752334), np.float64(0.81091), np.float64(0.913678), np.float64(1.07807), np.float64(0.832584)]",0.4140620571915688,1.5696711597307456e-05,learn_l2o_outputs/LogReg/2026-07-27/06-38-26_17/learn_dro_outputs/K_15/progress.csv,195.0,0.1,0.01
OPT-PEP GD,15,"[np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348)]",,,0.0092926261643665,learn_lpep_outputs/LogReg/2026-07-27/06-46-25_2/learn_dro_outputs/K_15/progress.csv,0.0,0.1,1e-05
OPT-PEP FGM,15,"[np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348), np.float64(1.887348)]","[np.float64(0.0), np.float64(0.281754), np.float64(0.434043), np.float64(0.531064), np.float64(0.598779), np.float64(0.648923), np.float64(0.687646), np.float64(0.7185), np.float64(0.743691), np.float64(0.764665), np.float64(0.782409), np.float64(0.797624), np.float64(0.81082), np.float64(0.822377), np.float64(0.832584)]",0.0,0.0003201630847945,learn_lpep_outputs/LogReg/2026-07-27/06-46-30_11/learn_dro_outputs/K_15/progress.csv,0.0,0.1,1e-05
DR-L2O GD,15,"[np.float64(2.591541), np.float64(2.553109), np.float64(2.547194), np.float64(2.542824), np.float64(2.539372), np.float64(2.536298), np.float64(2.533618), np.float64(2.532033), np.float64(2.537701), np.float64(2.547899), np.float64(2.554632), np.float64(2.545778), np.float64(2.553612), np.float64(2.546285), np.float64(2.497233)]",,,0.0051011769940167,learn_dro_outputs/LogReg/2026-07-27/06-46-24_8/learn_dro_outputs/K_15/progress.csv,500.0,1.0,0.001
DR-L2O FGM,15,"[np.float64(2.592591), np.float64(2.511768), np.float64(2.446119), np.float64(2.387133), np.float64(2.338052), np.float64(2.16771), np.float64(2.270403), np.float64(1.503236), np.float64(2.459224), np.float64(2.644324), np.float64(2.250649), np.float64(2.17289), np.float64(1.815456), np.float64(1.351424), np.float64(2.469758)]","[np.float64(0.23758), np.float64(0.512607), np.float64(0.639187), np.float64(0.711769), np.float64(0.755838), np.float64(0.770239), np.float64(0.782463), np.float64(0.679596), np.float64(0.638137), np.float64(0.627501), np.float64(0.613731), np.float64(0.62399), np.float64(0.615927), np.float64(0.625256), np.float64(0.832584)]",0.2375799148396404,0.0001849567958868,learn_dro_outputs/LogReg/2026-07-27/06-46-24_23/learn_dro_outputs/K_15/progress.csv,500.0,1.0,0.001
