iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0
0,114626.76867254825,119.96034500836909,4.03392458287999,,,0.10126272219280587,0.10126272219280587,1.0
1,114626.76867254825,119.96034500877028,5.322754866909236,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998
2,114626.7686736878,119.96034501131994,5.176828018156812,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987
3,114626.7686799931,119.95997307313465,0.0331305880099535,605295.7619683531,1e-05,0.10125865656103102,0.10126678784027794,0.9999872234412542
4,114626.52449537323,119.95952197978816,0.03369116713292897,607735.3300874394,9.931634888554937e-06,0.1012537142447188,0.10127172414411628,0.9999717104266858
5,114626.23096387694,119.9590377466375,0.04298652405850589,606446.7761843099,9.728616793536588e-06,0.10124843213925981,0.10127701154502013,0.9999550976327174
6,114625.91300378351,119.9585456541131,0.043546966975554824,609656.0558240755,9.397114317029975e-06,0.10124306274795979,0.10128238535532107,0.9999382169519369
7,114625.59113803541,119.95806094396667,0.0425295599270612,606001.9103620688,8.947199994035402e-06,0.10123778678607706,0.10128767200701744,0.9999216102036884
8,114625.27294381202,119.95759743223913,0.036508295917883515,607590.9483902411,8.392544243589428e-06,0.10123270652167124,0.10129274420842652,0.9999056709203378
9,114624.97524629692,119.95716209160634,0.034205881878733635,608825.2002991855,7.75e-06,0.10122793990972054,0.10129750562165234,0.9998907118468575
10,114624.69566500744,119.95675751395862,0.03379064192995429,604335.0600904027,7.0390906449655104e-06,0.10122360510791832,0.10130188415062025,0.9998769634165962
11,114624.42098087253,119.95639682087045,0.03372983308508992,609210.8808201768,6.281416799501188e-06,0.10121965658413243,0.10130582830877596,0.9998645655349769
12,114624.19031826722,119.95607917426469,0.03377466509118676,606084.2130164088,5.500000000000001e-06,0.10121616699375137,0.10130930760880213,0.9998536269417596
13,114623.98962687119,119.95580449587706,0.03405572799965739,608487.2004205901,4.718583200498814e-06,0.10121316145092725,0.10131231039113266,0.999844190115018
14,114623.8144697278,119.95557327926093,0.03374801715835929,606694.3409775284,3.960909355034493e-06,0.10121062109396614,0.1013148430217249,0.9998362292574879
15,114623.66895888525,119.95538338769794,0.03403725801035762,605172.9314180738,3.2500000000000015e-06,0.10120852208662552,0.10131692908225562,0.9998296689378149
16,114623.55167918517,119.95523156720174,0.033854818902909756,610616.1060100988,2.607455756410573e-06,0.10120682127209493,0.1013186078997096,0.999824387437703
17,114623.461732794,119.95511096091103,0.033275255002081394,606224.2307779621,2.0528000059646e-06,0.10120548761210049,0.10131993305552382,0.9998202209340982
18,114623.3874901422,119.95501640925669,0.05310671799816191,606773.3582225317,1.6028856829700269e-06,0.10120444610131071,0.10132096996223927,0.9998169611868261
19,114623.328666988,119.95494108548291,0.043085550889372826,606776.5714990015,1.2713832064634127e-06,0.10120362083834412,0.10132179384530532,0.9998143719386247
20,114623.28110535751,119.95487755220839,0.032926556188613176,606656.0221246462,1.068365111445064e-06,0.10120292808526292,0.1013224871448836,0.9998121935585246
