i,K,obj_val,grad_sq_norm
0.0,1.0,130.08296232729023,2115.8866274418942
1.0,1.0,127.54312993559279,2360.793478548665
2.0,1.0,117.38485325965176,1750.6821084009412
3.0,1.0,133.0992522279347,2229.041732086965
4.0,1.0,133.09069839008774,2176.961229740055
5.0,1.0,134.21827002328172,1996.346196703059
6.0,1.0,115.35077985391625,1905.6772462556232
7.0,1.0,128.3531736712856,2100.037994747032
8.0,1.0,120.56196299485144,2013.1177994313143
9.0,1.0,131.0284677311476,2060.5027543888787
10.0,1.0,132.6670964727699,2024.7420604967147
11.0,1.0,132.64059597486113,2067.131773579662
12.0,1.0,129.6883103445005,2165.942322908835
13.0,1.0,122.23193164951596,2236.600746328703
14.0,1.0,127.28573081742265,2214.30312020995
15.0,1.0,122.85532308251197,1866.338882883154
16.0,1.0,127.33405520678369,2260.327848840873
17.0,1.0,138.57512406675087,2523.448930400452
18.0,1.0,128.0764616840032,2083.7607284627948
19.0,1.0,122.02730536618641,1998.1688542891452
20.0,1.0,136.22893854266465,2214.283449129868
21.0,1.0,138.07726504987176,2146.075078374314
22.0,1.0,134.51150613509137,2281.5370760772857
23.0,1.0,127.01940469574204,2108.51624285927
24.0,1.0,123.15463868290325,2078.750784332663
25.0,1.0,141.7415066929248,2203.870982960429
26.0,1.0,117.63604086917222,2085.719129503185
27.0,1.0,126.35930008980168,2164.4583862294085
28.0,1.0,139.77575643557518,2400.45425142135
29.0,1.0,123.80365367666482,2168.5216471500808
30.0,1.0,119.33055345029315,2017.556014158623
31.0,1.0,123.99607951937884,2144.8549880447927
32.0,1.0,128.7569063622615,2139.425540532673
33.0,1.0,122.61613137109914,2168.9099302932127
34.0,1.0,113.69875259162193,2070.846763362906
35.0,1.0,134.7035996997585,2134.0473783969137
36.0,1.0,127.42378677165496,2240.5771779940287
37.0,1.0,130.77903968116516,2226.0428778055775
38.0,1.0,130.38045525648053,2020.5274554338794
39.0,1.0,131.49871221823813,2126.4729666515227
40.0,1.0,127.46654040027212,2034.6329665493427
41.0,1.0,131.73418677983108,2098.0654155201564
42.0,1.0,121.33833010731999,1809.0542695820386
43.0,1.0,129.1174112307257,1964.4870320192242
44.0,1.0,122.53681676205555,2241.816900788232
45.0,1.0,130.3674115473969,2053.2999272878255
46.0,1.0,132.05415941565062,2082.2068482165205
47.0,1.0,122.74814120903272,1991.4297307704987
48.0,1.0,126.37007364548093,2057.0601480030346
49.0,1.0,125.71290981834652,1937.8592728411454
50.0,1.0,133.93466761669734,1939.4942364283347
51.0,1.0,127.34950452377826,1916.4247730498726
52.0,1.0,129.67622413463155,1900.339521834455
53.0,1.0,120.93899129690705,1758.1615623520115
54.0,1.0,131.08522496324247,1979.4664019255097
55.0,1.0,134.62997225881645,2050.3279890605363
56.0,1.0,126.36587394765797,2233.7065570673303
57.0,1.0,129.77217782095352,1944.9724041602267
58.0,1.0,128.62889994167622,2207.8126311739234
59.0,1.0,124.35963246876017,2058.719409550141
60.0,1.0,125.7211349805698,2013.7989166903267
61.0,1.0,129.21478603424907,1935.5718080406214
62.0,1.0,124.99036756131284,2043.0341486839363
63.0,1.0,126.90672936759448,2015.6967224049656
64.0,1.0,144.70524814011233,2427.7489071144855
65.0,1.0,133.95464022144822,2243.789610431756
66.0,1.0,111.96746253304288,1971.848769431258
67.0,1.0,128.78121644888935,2264.822398994559
68.0,1.0,131.24644916384833,2117.160320446309
69.0,1.0,134.70059473418524,2134.409675909215
70.0,1.0,124.01404337593128,2134.0030674670343
71.0,1.0,134.7690328389141,2227.8117668819796
72.0,1.0,124.71792203914856,2051.012983761218
73.0,1.0,134.6541197354596,2075.114206401475
74.0,1.0,120.90262558323246,2226.7217519241635
75.0,1.0,121.87039029180175,2055.3998703922057
