K,obj,val,solvetime
1,obj_val,61.266135105729795,0.029497824
2,obj_val,36.75968082779911,0.002543836
3,obj_val,24.300682611105792,0.000576272
4,obj_val,17.21574813334149,0.000716091
5,obj_val,12.8268377940907,0.001316993
6,obj_val,9.926163337991733,0.001955855
7,obj_val,7.910808632269235,0.002486747
8,obj_val,6.454129272916404,0.004135701
9,obj_val,5.367109557469499,0.005898005
10,obj_val,4.534347836886653,0.00832207
11,obj_val,3.8821937390005403,0.011939019
12,obj_val,3.3618636126602577,0.131907808
13,obj_val,2.9400087602851603,0.066533035
14,obj_val,2.5932055666212257,0.085120741
15,obj_val,2.3046093523247984,0.100676464
16,obj_val,2.0618565658530774,0.112433814
17,obj_val,1.8557027198974487,0.142386729
18,obj_val,1.6791254097303003,0.160322675
19,obj_val,1.5267113858035124,0.181389368
20,obj_val,1.3942343638360175,0.244789328
21,obj_val,1.2783532408561176,0.33683576
22,obj_val,1.1764005483969697,0.411892119
23,obj_val,1.0862249034009175,0.437755315
24,obj_val,1.006075094452959,0.533939008
25,obj_val,0.9345146073247701,0.644396146
26,obj_val,0.8703553621265521,0.777691763
27,obj_val,0.8126081890982082,0.716657419
28,obj_val,0.7604448964556418,0.954737349
29,obj_val,0.7131655455095507,1.171049715
30,obj_val,0.670178201195409,1.39508902
31,obj_val,0.6309767127962261,1.65243608
32,obj_val,0.5951292896101639,1.5505667939999999
33,obj_val,0.5622621870491737,1.801474657
34,obj_val,0.5320533817053211,2.172993464
35,obj_val,0.5042231374705494,2.264014484
36,obj_val,0.4785279960095744,2.622588098
37,obj_val,0.4547540785145238,2.996721563
38,obj_val,0.4327141069916056,3.551544443
39,obj_val,0.41224348541005534,4.918759693
40,obj_val,0.3931962053455122,5.537760529
41,obj_val,0.3754429478697663,5.265834648
42,obj_val,0.3588689313070704,6.050129029
43,obj_val,0.34337177451125755,6.75232092
44,obj_val,0.3288599644964681,7.832410838
45,obj_val,0.31525160131828706,8.109299371
46,obj_val,0.3024730778220314,7.512170204
47,obj_val,0.29045809159490404,8.127617655
48,obj_val,0.27914691610830594,9.246775707
49,obj_val,0.2684855265411729,9.387102524
50,obj_val,0.2584250316369161,10.754605893
