iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,beta0,beta1,beta2,beta3,beta4
0,0.08990015548005595,0.026554820174627295,6.889622824033722,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387
1,0.09277365207005035,0.026554713701100994,2.5873260849621147,0.06113890413643904,9.999999999992654e-07,1.8873510883593791,1.887351088358897,1.887351088357974,1.8873510883554958,1.8873510883414522,1.0002401528352255e-06,0.2817545253651462,0.434043783019827,0.5310648056429453,0.5987785940560387
2,0.0962003232927942,0.026533304327833924,2.5112439240328968,0.06299411456070872,0.0002009799999999999,1.887903624427349,1.8879038577874043,1.887903901340607,1.8879039399609816,1.887903970193766,0.00020208588846409853,0.28195569393401043,0.4342449636702414,0.5312659962974471,0.5987785940560387
3,0.09195928255625382,0.026490663823092994,0.01988849602639675,0.06062227406238847,0.0004009599999999988,1.8890049699913067,1.889005598240035,1.889005921872358,1.8890060936812088,1.8890061640383806,0.0006027865306619355,0.2823565565020827,0.43464589401556725,0.5316669701934565,0.5987785940560387
4,0.08600798678582389,0.02642704006321089,0.019743779907003045,0.058209124820725544,0.0006009399999999995,1.8906528535330163,1.8906527143067908,1.8906520995542604,1.8906511940576871,1.8906501423453146,0.0012020367472397589,0.2829556055721411,0.4352446626273726,0.5322654781705055,0.5987785940560387
5,0.09474159083584792,0.02634218755932632,0.019943493185564876,0.062148748649247784,0.0008009199999999984,1.8928535011544239,1.8928530805568144,1.892851956717328,1.8928501792143184,1.8928480688994826,0.002001984412681668,0.28375556189695117,0.436044444548882,0.5330650618439081,0.5987785940560387
6,0.09332299567854602,0.02623625085481662,0.01954332715831697,0.0618737480365745,0.001000899999999999,1.8956079132440158,1.8956068518806026,1.8956051306283759,1.895602283485664,1.895598791114051,0.003002562692983315,0.2847561733399173,0.4370448257207933,0.534065202468897,0.5987785940560387
7,0.07939840691642856,0.02611037732301581,0.020348592894151807,0.0543584355228223,0.0012008799999999997,1.898896440686695,1.8988911762452116,1.8988852888179153,1.8988779412909451,1.898869625139915,0.004195831165885849,0.2859486508453001,0.43823598577139605,0.5352552647797677,0.5987785940560387
8,0.08458718393911459,0.02596441972122396,0.021285106893628836,0.056553286391224276,0.0014008600000000003,1.9027299016582893,1.9027128226183996,1.9027005753008404,1.9026872332601037,1.9026727108906618,0.0055853861509854,0.2873351891179118,0.43962045463654137,0.536638230287872,0.5987785940560387
9,0.08052955811225472,0.025798877672458812,0.0205066311173141,0.05489978194828103,0.0016008399999999992,1.9071033289304946,1.9070657979934016,1.9070432150776209,1.9070209255899369,1.9069971960699725,0.007168747194707546,0.28891327359199626,0.44119520731762435,0.5382106886899726,0.5987785940560387
10,0.09047058650979575,0.025612680726384417,0.021113407099619508,0.05912727713547583,0.0018008199999999981,1.91203382000608,1.9119821638600834,1.9119521825992531,1.9119223141176003,1.9118897762730658,0.008952095449454573,0.290694336687537,0.44297355133645444,0.5399871666040079,0.5987785940560387
11,0.09099959600559039,0.025405929260955185,0.020653696032240987,0.06076777980527452,0.0020007999999999988,1.9175339766314659,1.9174682061885095,1.9174309467292006,1.9173929137795374,1.9173502055757736,0.010939221690188312,0.292680219333578,0.44495653565014215,0.5419681672711529,0.5987785940560387
12,0.08477909448130981,0.025179881089373787,0.020412245066836476,0.05739541402759975,0.0022007799999999994,1.9235887169884858,1.9235033836199313,1.9234528286638828,1.9234005908415912,1.9233420050759198,0.013123531097967532,0.2948628749192872,0.4471343332184335,0.5441424653946894,0.5987785940560387
13,0.0832434396316038,0.024934944264563507,0.020898436894640326,0.056299878832511856,0.002400759999999999,1.930191577683447,1.9300865957256126,1.9300171588470292,1.9299442361057542,1.9298628756635563,0.015501936129509546,0.2972415866545231,0.4495063198484403,0.5465093944067647,0.5987785940560387
14,0.0988705235318002,0.024669167234227112,0.020906948018819094,0.06372969031565456,0.00260074,1.9373950487216407,1.937272371927682,1.9371882365689965,1.937097211332826,1.9369948767241139,0.018093589447561103,0.29983602122128633,0.45209473078079854,0.5490934156057514,0.5987785940560387
15,0.08822009432614143,0.024384667557575325,0.021364300046116114,0.05979514117588423,0.0028007199999999996,1.9451786998659188,1.94502095282725,1.9449144390708804,1.9447984850130209,1.9446685153891792,0.020889443796396227,0.302631367907636,0.4548814265079853,0.5518739233920978,0.5987785940560387
16,0.09075118385184731,0.02408173118776192,0.020829645916819572,0.059866115284000376,0.0030007000000000002,1.9535465572425463,1.9533344540568591,1.9531997473179705,1.9530545120768719,1.9528927380666576,0.02388957475137482,0.3056279580351309,0.4578670197912402,0.5548521111667153,0.5987785940560387
17,0.08743732396160542,0.02376105508367533,0.0203946849796921,0.058303979645127846,0.00320068,1.9624852162276138,1.9622049279791778,1.9620397077359268,1.9618622728611634,1.961663517875675,0.02708808772644361,0.3088226815920996,0.46104918660387206,0.558026152163248,0.5987785940560387
18,0.0871235163980343,0.023423145410078856,0.020503401989117265,0.058374348468902784,0.0034006600000000007,1.9720000639381132,1.9716344882131813,1.9714314252293106,1.971214288787574,1.9709697612442472,0.030486154257145705,0.3122161631949401,0.46442706012765117,0.5613939702993552,0.5987785940560387
19,0.09789444124084488,0.023065936970103985,0.0207182290032506,0.06320645235356467,0.0036006399999999996,1.9821369187429594,1.981690334017977,1.9814532634390183,1.9811966316910719,1.9809034871191114,0.03410009645580241,0.31583250011546393,0.46802774440812833,0.5649847688065583,0.5987785940560387
20,0.08557434094336425,0.022693128302866315,0.021077492041513324,0.05789758406026082,0.0038006199999999993,1.992852277575683,1.9922902876082258,1.9920061335305312,1.9916978975535415,1.9913426882119287,0.03791123021607239,0.3196417473562004,0.4718162916735686,0.5687603129349385,0.5987785940560387
21,0.09357225561333421,0.0223032016673877,0.021375210024416447,0.06111195221492403,0.0040006,2.0041827375306362,2.0034895654379605,2.0031534120349046,2.002786072686653,2.002359106904378,0.04193238630539636,0.3236639874691241,0.47581499774503444,0.5727442332191179,0.5987785940560387
22,0.08253742980784187,0.02189943116716669,0.021005905931815505,0.05600352816709262,0.004200579999999999,2.016068806799915,2.0152240627505473,2.0148141361670913,2.014363533644415,2.0138393665094334,0.046139418812634364,0.32787508022793954,0.47999518896514365,0.5769039393050927,0.5987785940560387
23,0.08669113652203377,0.021481134068987273,0.02095635188743472,0.05788301606783225,0.0044005599999999995,2.0285441086132336,2.0275217927666835,2.027023539493718,2.026473578101949,2.0258332556070564,0.050543105661260454,0.3322855531252903,0.48436892108246493,0.5812534352349219,0.5987785940560387
24,0.0881329688594423,0.021048252791789384,0.020156092010438442,0.058872212893099025,0.004600539999999999,2.041628537802193,2.040396999139904,2.0397992442654616,2.0391359919642302,2.0383605667607565,0.05515002310354176,0.33690157078438554,0.48894295947965005,0.5857999910345323,0.5987785940560387
25,0.09078892722023721,0.020600906142542248,0.02061950392089784,0.05989543412782486,0.00480052,2.055343171458768,2.0538664613246347,2.0531531539572705,2.0523584091124003,2.051426178753301,0.0599668964564277,0.34172974412846213,0.4937223839985022,0.590547578493772,0.5987785940560387
26,0.07742729389784868,0.020144514648747086,0.020489624934270978,0.05315744847364879,0.0050005,2.069594486919819,2.0678014757490994,2.0669284321214563,2.0659604255679795,2.0648299845638634,0.06495524844551331,0.3467223796041763,0.4986517932955812,0.595434941874777,0.5987785940560387
27,0.08099796749583482,0.019677364665269537,0.021403165999799967,0.05548986659222361,0.0052004799999999995,2.084426355894043,2.0822622953296723,2.081197138115538,2.080019436347542,2.078650021081859,0.070131167872231,0.35190292650764105,0.5037576695683573,0.6004903630329299,0.5987785940560387
28,0.07888724935297037,0.019201297733665634,0.020491830073297024,0.05409476395819645,0.00540046,2.0998280310688893,2.0972156031841744,2.095908887691121,2.094474474132148,2.092820592727995,0.07548826059366745,0.35725987188425967,0.5090237383588279,0.6056946390593493,0.5987785940560387
29,0.0765812216316808,0.018717127896971292,0.02032271702773869,0.05296754332308471,0.00560044,2.1157844214553063,2.112649728143613,2.111056656510219,2.109317953042014,2.1073280106267083,0.08101923408683095,0.3627896364118446,0.5144477214417184,0.6110459381302775,0.5987785940560387
30,0.08043766588276852,0.01822374653835736,0.021090185036882758,0.055257728774695855,0.00580042,2.1323548104286916,2.128605654286462,2.1266842497632386,2.124599094383586,2.1222262013764026,0.08674577557293052,0.36851098605806887,0.5200483571961569,0.6165638705948694,0.5987785940560387
31,0.07972404507284607,0.017721550916132478,0.020356504945084453,0.054740721466432156,0.0060003999999999995,2.149529257834625,2.1450986384781543,2.14280283626856,2.1403197917150396,2.137508867502864,0.09266237227481022,0.3744286083220471,0.5258300216561754,0.6222513941795311,0.5987785940560387
32,0.07323895553074435,0.017214076839146743,0.020612543914467096,0.05133047245942925,0.00620038,2.167248443738428,2.162040870468596,2.159305230382997,2.1563594550628733,2.1530439522176077,0.09874375351876293,0.3805101342934478,0.5317549983749202,0.6280672836851392,0.5987785940560387
33,0.07635083956069642,0.016700204517448216,0.02081609098240733,0.052356752403360615,0.00640036,2.1855405506844257,2.1794810091351757,2.176250389487265,2.172778176773763,2.1688909276349397,0.10500022620854886,0.3867752646693206,0.5378459159345357,0.6340352842516566,0.5987785940560387
34,0.08070875890390655,0.01617852956714376,0.020475008990615606,0.055657343540087945,0.00660034,2.204510811364314,2.197475108668515,2.1936842416664133,2.189621641859029,2.1850975263253907,0.11146725078600458,0.39325003406327835,0.5441254819325142,0.6401772414534254,0.5987785940560387
35,0.07462487573395163,0.01565360466997099,0.02084933314472437,0.05039883035265039,0.00680032,2.2240304973096787,2.2158954676534126,2.2114765122856106,2.2067580707419556,2.2015317674011112,0.11809488588674137,0.39988463667079244,0.5505430903379638,0.6464423807831327,0.5987785940560387
36,0.07720156577592047,0.015123122597974187,0.021641539875417948,0.05273617870823007,0.007000299999999999,2.24416726919435,2.23483773135948,2.229732184726328,2.224290971344089,2.2182869473358076,0.12490674445491447,0.4067162037277537,0.5571393593700629,0.6528724453785144,0.5987785940560387
37,0.07645969002246349,0.014588668908356287,0.020582825876772404,0.052743121517396685,0.00720028,2.2649461461315648,2.2542678549893793,2.248385997598103,2.2421422292632434,2.2352845937895336,0.13191045803153215,0.41373792343371874,0.5638979845985269,0.6594459824241143,0.5987785940560387
38,0.07760392667754773,0.014051275673598646,0.021242510993033648,0.052416046393487375,0.0074002600000000005,2.2863777081819565,2.274147856960089,2.2674135564398874,2.2602988795776016,2.252518908414441,0.1391070372933492,0.420940937113805,0.570811567001256,0.6661580954440139,0.5987785940560387
39,0.07598881262722156,0.013511214982723431,0.020902253920212388,0.05301411354172396,0.007600239999999999,2.3084937483365606,2.2944943794027206,2.286813686984684,2.2787391833422865,2.2699487301522066,0.14650590973370248,0.4283349632793345,0.5778852236264181,0.6730091174184603,0.5987785940560387
40,0.07086088545123477,0.012972068869120246,0.020368285942822695,0.04864408314798906,0.00780022,2.3311538170743833,2.3152213992884354,2.3064897763425862,2.2973538139341283,2.2874571572170184,0.15405371615638047,0.43588106844206614,0.5850804216979766,0.6799587315755936,0.5987785940560387
41,0.0728181549987817,0.012434490650955138,0.020733093842864037,0.04920685533698041,0.0080002,2.354410909531295,2.336299119459035,2.3264019032371674,2.3161071137000477,2.3050177393006113,0.16176771651929414,0.44357838749848816,0.5923901896120128,0.6869987099417372,0.5987785940560387
42,0.07762462187183504,0.011893751100407588,0.02021919097751379,0.052503967277610926,0.00820018,2.3783537819744236,2.357943406172805,2.346788440975655,2.335237027543918,2.3228556863095027,0.16968306376440992,0.4515064550510596,0.5999052479434938,0.6942238576728814,0.5987785940560387
43,0.0633212504973001,0.011360923183941501,0.020897801965475082,0.043779029718206776,0.00840016,2.4027302647477518,2.3797532181446304,2.3672001607870223,2.3542855124039574,2.340524830545007,0.17769679610660677,0.45951058726225413,0.6074537664535055,0.7014549337397843,0.5987785940560387
