iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7
0,5.192341249341811,0.018230689628645914,0.21133537497371435,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,5.192341249341811,0.018230715866021086,0.36090366600546986,22.59708882697209,9.999999999999159e-07,1.2499977639160338,1.2499977639160844,1.2499977639159987,1.249997763916004,1.249997763916031,1.2500022360859937,1.249997763916012,1.2500022360858707
2,5.192347529876418,0.018231266321498765,0.3117375840083696,22.597214256854826,2.097999999999987e-05,1.249950851620984,1.2499508516427535,1.2499508516451416,1.2499508516594662,1.2499508516766549,1.2500491493107262,1.2499508516633577,1.2500491492185082
3,5.19247929380413,0.018232341003508956,0.005785125016700476,22.599977561394358,4.095999999999993e-05,1.2498592641402306,1.2498592651017906,1.2498592655880927,1.2498592664644612,1.2498592670742372,1.2501407417463244,1.2498592666639228,1.250140736293668
4,5.192736536777686,0.018233939951472034,0.005631333973724395,22.605404719295446,6.0939999999999996e-05,1.2497230012896587,1.249723007428304,1.2497230103832835,1.2497230159200798,1.2497230193790003,1.2502770166107882,1.2497230171149363,1.2502769820871829
5,5.193119245911734,0.01823606326798148,0.005667624995112419,22.61371638391564,8.091999999999984e-05,1.2495420593447617,1.2495420813146043,1.2495420923355576,1.2495421127876,1.2495421237207136,1.25045797794201,1.2495421170044823,1.250457850519988
6,5.193627388059019,0.018238711145788445,0.005273832997772843,22.625087831404656,0.0001008999999999999,1.249316429922577,1.2493164890845594,1.2493165196004392,1.2493165769127,1.2493166001940257,1.2506836294358863,1.249316587991805,1.250683273941142
7,5.194260874608894,0.01824188391101327,0.005526208027731627,22.63998250078177,0.00012087999999999997,1.2490460991328813,1.2490462320781341,1.249046301807555,1.249046437142718,1.2490464678892885,1.2509539736752484,1.2490464610204004,1.2509531425279863
8,5.195019463268895,0.018245582065840652,0.00545787502778694,22.65899476570811,0.00014085999999999992,1.2487310494522286,1.2487313138097516,1.248731449896913,1.2487317345199975,1.2487317274885545,1.251269011211695,1.2487317785045353,1.2512672964073714
9,5.195898750278444,0.018249802333327063,0.005401541944593191,22.643904382938786,0.00016083999999999998,1.2483716379724616,1.2483722507859394,1.248371985096502,1.2483724712038489,1.2483718676137483,1.2516288202411125,1.2483726101542503,1.251626446266512
10,5.196899310633302,0.018254539987243766,0.005166499991901219,22.62095695198734,0.00018081999999999983,1.247968410561605,1.2479698161843513,1.2479679361352132,1.2479686282524594,1.247966129018209,1.2520335177289916,1.2479690400245378,1.2520315707743495
11,5.198015007751444,0.018259789053436375,0.005779625033028424,22.591687295869665,0.0002007999999999999,1.2475221744007559,1.2475251087801897,1.2475193433194134,1.2475201457113552,1.247513339925527,1.252483273706035,1.2475211675637854,1.2524838516642816
12,5.199283227591943,0.018265548141891127,0.005391124985180795,22.614534777078692,0.00022077999999999996,1.2470321412851477,1.2470386199411334,1.2470262389817344,1.2470268987258994,1.24701455073424,1.2529781133413747,1.247029128262738,1.252983202027542
