iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,4.202284003963219,0.01322818324426502,0.21086404100060463,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,4.202284003963219,0.013228214535027096,0.37510937498882413,23.795979987755274,9.999999999999972e-07,1.249997763932275,1.249997763932295,1.2499977639322755,1.2499977639322726,1.2499977639322741,1.249997763932277,1.2499977639322721,1.249997763932275,1.2499977639322697,1.2500022360697287
2,4.202290635387562,0.013228307781850992,0.3316635419614613,23.79591037856925,2.980000000000002e-06,1.2499911004666335,1.2499911004651014,1.2499911004662825,1.249991100465741,1.2499911004659023,1.249991100464941,1.2499911004657691,1.2499911004659614,1.2499911004655642,1.2500088995649155
3,4.202310397108721,0.013228462986144576,0.009105333010666072,23.795649546827324,4.960000000000007e-06,1.2499800096245972,1.2499800096294125,1.2499800096268037,1.249980009614267,1.249980009616119,1.2499800096210543,1.2499800096204903,1.2499800096170486,1.2499800096179083,1.2500199905321054
4,4.202343289429082,0.013228680149441004,0.008657333033625036,23.795248437485274,6.939999999999998e-06,1.2499644915063335,1.2499644915318624,1.249964491516527,1.24996449145704,1.2499644914678052,1.2499644914950923,1.249964491488227,1.2499644914713328,1.2499644914775092,1.250035508982562
5,4.202389312677291,0.013228959274745954,0.008638416999019682,23.794667140266633,8.919999999999989e-06,1.249944546193167,1.249944546267323,1.2499445462275276,1.24994454603382,1.2499445460777303,1.2499445461595742,1.2499445461370804,1.2499445460829395,1.2499445461040093,1.2500554549864393
6,4.202448467492029,0.013229300365830251,0.00867425004253164,23.79392522531268,1.0899999999999994e-05,1.249920173796587,1.2499201739931602,1.2499201738899284,1.249920173390533,1.2499201735035472,1.2499201737266663,1.2499201736611696,1.2499201735234005,1.2499201735782914,1.2500798286192991
7,4.202520754668629,0.013229703426836048,0.008892708050552756,23.793030106066816,1.2879999999999999e-05,1.249891374501822,1.2498913749314944,1.249891374704707,1.2498913736113813,1.2498913738592972,1.2498913743600628,1.2498913742084352,1.2498913739091086,1.2498913740318724,1.2501086299236044
8,4.202606175074236,0.013230168462878984,0.01606983400415629,23.791972850307673,1.4860000000000003e-05,1.249858148515606,1.2498581493444418,1.2498581489116003,1.249858146765279,1.2498581472536625,1.249858148240716,1.249858147938081,1.2498581473613402,1.249858147594784,1.2501418589577509
9,4.202704729773333,0.013230695479870649,0.009049582993611693,23.790726407531437,1.6840000000000008e-05,1.2498204960736354,1.2498204975812162,1.2498204967931477,1.2498204929027414,1.249820493791759,1.2498204956058707,1.2498204950413427,1.2498204939936937,1.2498204944194475,1.250179515767848
10,4.202816419986243,0.013231284484522961,0.00893479201477021,23.789319479717538,1.8819999999999986e-05,1.2497784174585154,1.2497784200197655,1.2497784186930063,1.249778412085106,1.249778413594989,1.2497784167019452,1.249778415725886,1.249778413951136,1.2497784146697446,1.2502216003933773
11,4.202941247091788,0.013231935484406784,0.008809457998722792,23.787767782210082,2.079999999999999e-05,1.2497319129974813,1.2497319170888004,1.2497319150049986,1.2497319043541255,1.2497319067910648,1.249731911812406,1.249731910232267,1.2497319073677047,1.2497319085274494,1.2502681128552044
12,4.2030792126353544,0.013232648487944093,0.008833915984723717,23.786020817655565,2.2779999999999995e-05,1.249680983057167,1.2496809893516119,1.2496809861627067,1.2496809697094589,1.2496809734753647,1.2496809812701934,1.2496809788081098,1.2496809743796726,1.2496809761726042,1.2503190531691
13,4.203230318320371,0.013233423503972493,0.009031916968524456,23.784143987270244,2.476e-05,1.2496256280755298,1.2496256374361316,1.249625632708875,1.2496256081736519,1.2496256137956552,1.2496256254527953,1.249625621760002,1.2496256151568668,1.249625617828636,1.2503744212943817
14,4.203394565919929,0.01323426054218172,0.008637875027488917,23.782094107330465,2.6740000000000005e-05,1.249565848535447,1.2495658620180254,1.2495658552556435,1.2495658197552693,1.2495658278908686,1.2495658447766445,1.249565839415749,1.2495658298755392,1.2495658337336963,1.2504342171639025
15,4.203571957369221,0.013235159613426823,0.008573916042223573,23.77984254395345,2.8719999999999996e-05,1.249501644945161,1.249501663886731,1.2495016544363893,1.2495016043871665,1.2495016158518506,1.2495016396917293,1.2495016321055274,1.2495016186703891,1.249501624108411,1.250498440707421
16,4.203762494821868,0.013236120729298438,0.008653166994918138,23.777489631196676,3.07e-05,1.2494330178696362,1.249433043905069,1.2494330309682087,1.2494329619826896,1.2494329777973756,1.2494330106680829,1.2494330001887177,1.2494329816858525,1.249432989177245,1.2505670918285272
17,4.203966180564544,0.013237143901656433,0.008668292022775859,23.774917643786903,3.2680000000000006e-05,1.249359967959921,1.2493600031182215,1.249359985668381,1.2493598924529772,1.2493599138365403,1.2493599582804944,1.249359944094681,1.2493599190778164,1.2493599292133621,1.2506401703610086
18,4.204183016910161,0.01323822914352913,0.008563792041968554,23.77219923489745,3.466000000000001e-05,1.2492824959104012,1.2492825425564633,1.2492825194187955,1.249282395668059,1.2492824240639435,1.2492824831061513,1.2492824642422145,1.2492824310247668,1.2492824444816344,1.250717676108002
19,4.20441300639859,0.013239376468595557,0.008678667014464736,23.769317842128505,3.664e-05,1.2492006024671123,1.2492006634600912,1.249200633175064,1.2492004714597456,1.2492005085534974,1.2492005857763824,1.2492005610786163,1.2492005176742984,1.2492005352629472,1.2507996088292659
20,4.204656151666655,0.013240585891279666,0.00866433302871883,23.76626427861734,3.8620000000000006e-05,1.249114288437841,1.2491143671421476,1.249114327995622,1.2491141196051008,1.2491141673794133,1.2491142669914135,1.249114235091512,1.2491141791758542,1.2491142018407255,1.25088596824095
21,4.204912455482995,0.013241857426931085,0.008488708001095802,23.76305933971394,4.0600000000000004e-05,1.249023554676878,1.2490236549520064,1.249023605018343,1.2490233398709916,1.2490234006241692,1.2490235274603168,1.2490234867929664,1.2490234156773068,1.249023444503666,1.2509767540126377
22,4.205181920783545,0.013243191091561194,0.00859829195542261,23.759671739771676,4.2579999999999996e-05,1.248928402130942,1.2489285284066063,1.248928465473969,1.2489281319402692,1.2489282083308737,1.2489283679671308,1.2489283167310972,1.2489282273201294,1.2489282635532337,1.2510719657598084
23,4.2054645506063375,0.013244586902161582,0.008561750000808388,23.756127931899595,4.4559999999999993e-05,1.2488288317830623,1.2488289890991928,1.2488289106393142,1.2488284954630295,1.248828590516161,1.2488287893524053,1.2488287254759687,1.248828614229799,1.2488286592920805,1.2511716030541318
24,4.205760348168927,0.013246044876414523,0.008707791974302381,23.752440854105263,4.654e-05,1.24872484468107,1.2487250387871418,1.2487249419055293,1.2487244300559046,1.2487245472070472,1.248724792455011,1.2487247136167123,1.2487245765189363,1.248724632027822,1.2512756654147974
25,4.20606931678915,0.013247565032079151,0.008640624990221113,23.74855472159193,4.8519999999999996e-05,1.2486164419937873,1.2486166794584264,1.2486165607938684,1.2486159352905732,1.248616078430044,1.2486163782510817,1.2486162817997655,1.2486161143514907,1.2486161821048078,1.2513841522691884
26,4.206391459762076,0.013249147388567618,0.008780500036664307,23.744508997133913,5.05e-05,1.2485036248789092,1.2485039130114235,1.248503768872643,1.2485030106897352,1.2485031841761352,1.248503547699091,1.2485034306856293,1.2485032278232842,1.2485033098433098,1.2514970630195341
27,4.206726780708559,0.013250791965756428,0.008576042018830776,23.740306310914207,5.2480000000000006e-05,1.2483863945787335,1.248386741552989,1.2483865678207142,1.2483856557174653,1.2483858644252288,1.2483863018393102,1.2483861609564593,1.2483859170475191,1.2483860155807773,1.251614397002312
28,4.207075283306305,0.013252498784491617,0.008681915991473943,23.735922562629575,5.4460000000000004e-05,1.2482647524173094,1.2482651672887368,1.2482649593890915,1.248263869793195,1.2482641191054649,1.2482646417378613,1.2482644733128276,1.2482641821169818,1.2482642996529902,1.2517361534935334
29,4.207436971395298,0.013254267865952,0.00857695797458291,23.731417223375562,5.644000000000001e-05,1.2481386998030208,1.2481391926103411,1.2481389454578928,1.248137652258785,1.2481379482220387,1.2481385685364748,1.2481383685177199,1.2481380231247887,1.248138162410663,1.2518623317011155
30,4.2078118488458305,0.013256099232383623,0.008679500024300069,23.726701548356548,5.842e-05,1.2480082382099673,1.248008820012082,1.248008527985198,1.2480070024375265,1.2480073516662331,1.2480080834008915,1.2480078473367315,1.248007440145905,1.248007604211832,1.2519929307656206
31,4.208199919708986,0.013257992906621927,0.008532750012818724,23.721833234054003,6.04e-05,1.2478733691428106,1.2478740521548457,1.2478737090148313,1.247871919604013,1.247872329323226,1.2478731876031928,1.2478729105740831,1.2478724332677253,1.247872625401383,1.2521279497989577
32,4.208601188134162,0.013259948912121225,0.008577459026128054,23.716795606801526,6.238000000000001e-05,1.2477340942146802,1.2477348918642104,1.247734490742742,1.247732402873214,1.2477328810866586,1.2477338825030675,1.24773355908836,1.2477330025532407,1.2477332263607357,1.252267387799988
33,4.209015658349986,0.013261967273078733,0.008561083988752216,23.71157546159748,6.436e-05,1.2475904150952493,1.2475913420673177,1.2475908754404301,1.2475884514388806,1.2475890068198563,1.2475901694613853,1.2475897937507499,1.247589148084654,1.2475894074739782,1.2524112437020714
34,4.209443334700921,0.013264048015114863,0.008575625019147992,23.70621900341008,6.634e-05,1.2474423335206906,1.2474434057678092,1.2474428654177645,1.2474400643718149,1.2474407063348711,1.247442049827296,1.2474416154187933,1.2474408698741573,1.2474411690832863,1.2525595164269336
35,4.209884221789801,0.0132661911641863,0.008408207970205694,23.70067548016446,6.832000000000001e-05,1.2472898512771788,1.2472910860326454,1.2472904631705994,1.247287240725769,1.247287979467057,1.2472895250805702,1.2472890250227953,1.2472881679860595,1.2472885115899692,1.2527122047688999
36,4.210338324261571,0.013268396746662007,0.008566374948713928,23.69501086480807,7.03e-05,1.2471329702840512,1.247134386234938,1.2471336712273702,1.2471299794889434,1.247130826110457,1.2471325967153983,1.247132023527148,1.2471310424589424,1.2471314353604774,1.2528693074960582
37,4.210805646791776,0.013270664790365072,0.008563291979953647,23.689118449228836,7.228e-05,1.2469716924605745,1.2469733097743974,1.2469724922212055,1.246968279568097,1.246969245982019,1.246971266285147,1.2469706118847002,1.246969493316324,1.246969940783974,1.2530308232992111
38,4.211286194330997,0.013272995322691121,0.008480665972456336,23.683098139905166,7.426e-05,1.2468060198345754,1.2468078603489936,1.246806928991984,1.2468021398136486,1.246803238894475,1.2468055355328636,1.2468047911622346,1.2468035206150117,1.246804028281792,1.2531967507640955
39,4.211779971692134,0.013275388372994837,0.00859645800665021,23.676920219998767,7.624e-05,1.2466359544993528,1.2466380416035583,1.2466369843666079,1.2466315590084838,1.2466328046327544,1.246635406057527,1.2466345623609723,1.2466331243400728,1.246633698211891,1.253367088471021
40,4.21228698405705,0.013277843970594073,0.008505792007781565,23.67055639425988,7.822e-05,1.246461498652101,1.2464638573790718,1.2464626613408722,1.246456535944825,1.246457942975958,1.2464608795861596,1.246459926595146,1.2464583045174726,1.2464589510118882,1.2535418348629659
41,4.212807236559071,0.013280362146362227,0.00854620902100578,23.66397829435016,8.020000000000001e-05,1.2462826545053662,1.2462853116950776,1.2462839629477005,1.2462770692680758,1.246278653495851,1.246281957938594,1.2462808849212972,1.2462790611201051,1.2462797870734008,1.2537209883530822
42,4.213340734610904,0.013282942930901197,0.008536000037565827,23.657288655242162,8.218e-05,1.2460994244176564,1.2461024087545138,1.2461008923922436,1.2460931576090564,1.246094935938424,1.2460986430233316,1.2460974384814831,1.2460953941639326,1.2460962068211037,1.2539045472717865
43,4.213887483527724,0.013285586355555325,0.008563124982174486,23.650432199985346,8.416000000000001e-05,1.2459118107262745,1.2459151531330348,1.2459134529647788,1.2459047994844479,1.245906789995218,1.2459109368118624,1.245909588460819,1.2459073036257908,1.2459082106739239,1.2540925098682263
44,4.214447488722344,0.013288292452984735,0.00855962501373142,23.643402446429327,8.614e-05,1.2457198159359684,1.2457235491932472,1.2457216480296882,1.2457119934178542,1.2457142153425267,1.2457188412379268,1.2457173360648461,1.2457147894704663,1.2457157990481968,1.2542848743299584
45,4.215020755855276,0.013291061256263687,0.008439750003162771,23.636202994043295,8.812e-05,1.2455234425600317,1.2455276016130172,1.2455254810363798,1.2455147378503204,1.2455172116145676,1.245522358374737,1.2455206825427871,1.2455178516928231,1.2455189723705464,1.2544816387783393
46,4.215607290638951,0.013293892799517868,0.008710374997463077,23.628823890238937,9.010000000000001e-05,1.245322693223401,1.2453273150696447,1.2453249556303845,1.2453130311730631,1.2453157784514184,1.2453214902580656,1.2453196291249504,1.2453164902067548,1.2453177310868306,1.2546828012595577
47,4.216207098945885,0.013296787117343986,0.008549834019504488,23.621309214836078,9.208000000000001e-05,1.2451175706307953,1.2451226945268719,1.2451200754808178,1.2451068717019227,1.2451099154544611,1.245116239025571,1.2451141770813776,1.2451107050202352,1.2451120755995007,1.2548883597552127
48,4.216820186709019,0.013299744244895677,0.008418834011536092,23.613597820348723,9.406e-05,1.2449080775599641,1.2449137451078862,1.2449108443871724,1.2448962576697642,1.2448996222055493,1.2449066069622026,1.244904327734986,1.2449004961008103,1.2449020063789331,1.255098312116584
49,4.217446559929361,0.013302764218013262,0.011074417037889361,23.605727744111277,9.604e-05,1.2446942168932167,1.2447004719180497,1.2446972662874936,1.2446811873624308,1.244684898380142,1.2446925962440623,1.2446900824426332,1.2446858634541798,1.244687523866783,1.2553126561757284
50,4.218086224722395,0.013305847074017675,0.008608208037912846,23.597680548112784,9.802e-05,1.2444759914826438,1.24448288032041,1.2444793451434522,1.2444616588567168,1.2444657434477742,1.2444742092031313,1.2444714425417425,1.2444668070278846,1.2444686284983502,1.2555313896881435
51,4.218739187466453,0.013308992849555619,0.00868433399591595,23.589491738004483,0.0001,1.2442534043792695,1.2442609760609773,1.2442570850789136,1.244237670240958,1.2442421569757875,1.244251448305682,1.244248409442502,1.2442433268381783,1.2442453207291815,1.255754510303518
52,4.219405454332908,0.01331213923890993,0.008529457962140441,23.58112437787304,9.999879371991704e-05,1.2440308673597862,1.2440391593007496,1.244034892299221,1.2440136575533,1.244018568093942,1.2440287283442373,1.244025402659336,1.2440198501850201,1.2440220248076015,1.255977595615325
