eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.004,0.0
1e-05,0.0,0.026,0.0
5e-05,0.014,0.23,0.0
0.0001,0.024,0.36,0.0
0.0005,0.09,0.724,0.0
0.001,0.154,0.87,0.0
0.005,0.34,0.984,0.106
0.01,0.458,0.998,0.524
0.05,0.67,1.0,1.0
0.1,0.784,1.0,1.0
0.5,0.948,1.0,1.0
1.0,0.966,1.0,1.0
