k,l2o,ldro_pep,lpep
1,31.785127654830813,31.4468198007258,31.05545493299544
2,8.898414217228307,11.240995728694886,10.517221100765648
3,3.1525428348088886,12.21563898018253,4.68193463888909
4,0.5045006423058078,3.307335672390286,2.4369082660422285
5,0.17042051008274417,0.31944409152217673,1.3527332843299544
6,0.10287423812330045,0.12217320408853499,0.7608733420892541
7,0.017652137967851363,0.01760788728762043,0.45976588877521546
8,0.00755646055547877,0.013661208224326633,0.29562302281251873
9,0.002241187018495294,0.020569198261068358,0.19273272148360648
10,0.00124506372861887,0.002709760586710458,0.1171601036315478
11,0.0008105179926432695,0.001842627179633661,0.07603883762621916
12,0.0005046009068716604,0.0003750081592685157,0.05244785418310194
13,0.0002991473714563822,0.00021312810559107658,0.03511212350026577
14,0.00017473441310970276,0.00016742068208426626,0.023768191888029887
15,0.00010739259957238759,4.825020228828084e-05,0.016112229359449535
