k,l2o,ldro_pep,lpep
1,31.72000516661764,31.221666024027055,30.959436288687904
2,8.800130255110618,11.271996361302648,10.534002290789203
3,3.1752577554439316,12.174762842392747,4.705103760782345
4,0.5047601199712441,3.2734590812207824,2.4544443324284724
5,0.1715273115737294,0.3198029326205791,1.364605428792043
6,0.10410179877857947,0.1228611201410524,0.7685078337206755
7,0.017782387130030865,0.01784040833573868,0.46479686221306055
8,0.0076563764389616104,0.013930121313761446,0.299063901829482
9,0.002306452512504001,0.02112849773708477,0.19509882414602206
10,0.0012887490269943773,0.0027714573161215427,0.1186867771982646
11,0.0008405868976095689,0.001897830062947551,0.07708120679509052
12,0.0005245731888885393,0.00039170618228573964,0.05319936907841719
13,0.0003120089468517821,0.00022364489542097896,0.03564110076527787
14,0.00018318490847890517,0.00017591561192961108,0.02414496761419165
15,0.00011330232111082922,5.111209238429508e-05,0.016381514608278462
