k,l2o,ldro_pep,lpep
1,33.22904168496591,37.56257867244215,33.36766506338835
2,14.595654565713915,10.434299332035476,10.536239984806715
3,2.848365894069556,17.331304401131728,4.406273858377277
4,1.9482479819754286,19.86122743717743,2.171956723139677
5,0.6795539692187288,0.47951219859892663,1.1617448482372819
6,0.07795701557800457,0.9737705070465936,0.6341170385397918
7,0.12333740871123204,0.39539076879748175,0.3727737974775116
8,0.5035897552011307,1.4545378232948627,0.23413319579278982
9,0.22646500335759132,4.567711791772538,0.14933792145986627
10,0.06028845779419884,0.17619920524430424,0.08844344128215885
11,0.03241820122846076,0.2544548440849649,0.056113088646276926
12,0.031731390640963655,0.005097336016396277,0.037960881520955246
13,0.04746107626755541,0.0062228369511511455,0.024879271953201297
14,0.08795807860344669,0.00012473888973950576,0.016496138219974223
15,0.1334205907370885,0.0005210019660800515,0.010953531764922315
