iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1
0,73150.45858035701,89.38149638634893,4.5139270790386945,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,73150.45858035701,89.38149638718974,8.511154553154483,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,73150.45858126815,89.38149639086315,8.199727607890964,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,73150.45858629384,89.38223648184224,0.07926729717291892,125373.73487501568,1e-05,0.10126678784026263,0.10125865657316811,1.0000127759811919,0.10126678784021932,0.10125865656292109,1.000012775980127
4,73150.5592625937,89.38304058698081,0.06350057804957032,127440.24930722738,9.931634888554937e-06,0.10127172408775496,0.1012542640656156,1.000028287685417,0.10127172425832202,0.10125371613878005,1.0000282981860003
5,73150.5510734612,89.38363341764428,0.064361885888502,125631.50403354042,9.728616793536588e-06,0.10127701026171909,0.10125109254468359,1.0000448957084263,0.10127701443356893,0.10124842718398055,1.000044902968056
6,73150.17283590665,89.38409505980508,0.06258589797653258,126072.50129988058,9.397114317029975e-06,0.10128238193084962,0.10124867417456074,1.0000617699435415,0.1012823931625667,0.10124305214795196,1.0000617715900806
7,73149.5945120048,89.38440117026713,0.06280363793484867,125573.44466770272,8.947199994035402e-06,0.10128766631529029,0.10124713883715016,1.0000783696258415,0.10128768503867591,0.10123776924631603,1.0000783597349576
8,73148.82237344506,89.38477485976779,0.063550456892699,126050.96172106864,8.392544243589428e-06,0.10129273745644105,0.10124520600013433,1.0000943004670886,0.10129276013435652,0.1012327038434892,1.0000942779656063
9,73148.19285222642,89.38528613539563,0.06287401192821562,127249.865598332,7.75e-06,0.10129749808896564,0.10124247556979228,1.000109257889871,0.10129752333214484,0.10122794499574887,1.0001092420267932
10,73147.82326354511,89.3857789305034,0.06269740406423807,125907.8278184922,7.0390906449655104e-06,0.10130187603786278,0.10123984409518814,1.0001230134920875,0.10130190245820761,0.10122355591030695,1.000122999809488
11,73147.51320070593,89.38629441944063,0.06313306698575616,127107.36869629796,6.281416799501188e-06,0.10130582074047385,0.10123705622181806,1.0001354086712284,0.10130584570409826,0.10121961381405038,1.0001354033197178
12,73147.3347038343,89.38678877221537,0.06308193714357913,126815.59892009785,5.500000000000001e-06,0.10130930108678429,0.10123436264230781,1.0001463456058322,0.1013093228989035,0.10121614768452519,1.0001463498269505
13,73147.23386633495,89.38724668698666,0.06253090989775956,128471.62233108286,4.718583200498814e-06,0.1013123070656234,0.10123184915622947,1.0001557961898815,0.1013123173805287,0.10121317531260506,1.0001558122078495
14,73147.193101948,89.38761836143169,0.06347065698355436,125651.41565793262,3.960909355034493e-06,0.10131484211855342,0.10122981636552365,1.0001637652510134,0.10131484399525756,0.10121066148049167,1.0001637835117623
15,73147.1377955276,89.38794177658828,0.07232337002642453,127346.68371485114,3.2500000000000015e-06,0.10131692996541695,0.1012280440416292,1.00017032847036,0.10131692570794411,0.10120858907440745,1.000170354918114
16,73147.11591864894,89.38821110601855,0.06329788593575358,127214.9559549499,2.607455756410573e-06,0.10131861012598375,0.10122656634668913,1.0001756102334498,0.1013186015000148,0.10120692026670781,1.000175648309717
17,73147.11071966223,89.38842241727394,0.07668527099303901,126585.96399139818,2.0528000059646e-06,0.10131993604006538,0.1012254062030332,1.0001797780454877,0.101319924832503,0.1012056041008703,1.000179825635021
18,73147.10503627501,89.38859095442561,0.2658531069755554,126954.13380546425,1.6028856829700269e-06,0.10132097358672382,0.10122447782257026,1.000183039431047,0.10132096016777788,0.10120457765460525,1.0001830943226573
19,73147.10551922701,89.38871939171452,0.0691664561163634,125899.22292148958,1.2713832064634127e-06,0.10132179776883388,0.10122377336522498,1.0001856296622849,0.10132178330047423,0.10120375892681663,1.0001856880315625
20,73147.09789930996,89.38882457463163,0.0630789720453322,126038.92672910602,1.068365111445064e-06,0.10132249124976868,0.10122319913449858,1.0001878089632814,0.10132247612524754,0.10120306691913894,1.0001878689785622
