k,l2o,ldro_pep,lpep,l2o_alista
1,23.334007526077574,21.770072961902205,22.223791249419726,22.17222095535718
2,10.782845217539117,12.471601025971939,14.684091574595605,13.337600325222619
3,6.716252658923577,7.210958367060098,11.20110533828668,9.707435518413499
4,4.399086254230594,6.253970140694859,8.997067168843378,7.615963163904174
5,2.959780984918402,6.020501067734853,7.405848536117888,6.12085428200718
6,1.9987228919677298,4.955473017948967,6.182389273151251,4.981296105770683
7,1.3688462611142538,3.383965111120298,5.20512687876774,4.084013126301232
8,0.9347394320978433,3.3001071286826162,4.407481951044521,3.363433002255636
9,0.6463163632752943,2.502226624809686,3.7456562295402183,2.7775962179326217
10,0.4472295883742695,1.6397517144750966,3.190837620498353,2.2975701657474676
11,0.31304348376080326,1.2188295730478267,2.7222171099435566,1.9019631879977033
12,0.2209273998923325,0.8102315205697996,2.324656486126477,1.5747602460776666
13,0.15766386029556964,0.4230120552692433,1.9861287247023387,1.303699870588908
14,0.11377069456802061,0.199596045362457,1.6969383886738598,1.0790814322377074
