k,l2o,ldro_pep,lpep,l2o_alista
1,23.320361798355066,21.678360812341193,22.191424795929652,22.022401929491103
2,10.771890014408472,12.04761887661527,14.69418975584038,13.312066303648011
3,6.697809814032991,7.15456443103035,11.210650609285471,9.707644725565407
4,4.374179963838757,6.216506068556756,8.999943089492321,7.609724089673579
5,2.9264794668121246,5.985836471830146,7.399808366296829,6.107544797541802
6,1.968103341962884,4.928912968516438,6.1700791749479365,4.963572796936257
7,1.3386643097330773,3.359317576911639,5.188829000667716,4.063886870577957
8,0.9138398566896544,3.275403839140327,4.388703545181274,3.342068499480594
9,0.6300548474241159,2.4792949650368645,3.724957445744961,2.756438095624521
10,0.43736280516253884,1.6212410732474996,3.16954771701856,2.278211639286557
11,0.3065103134371899,1.2041228035950982,2.7014807553136353,1.8842057183305456
12,0.21683667094182785,0.7998854264663273,2.3054607008645127,1.5590660564851313
13,0.15490507054956854,0.4169760272727503,1.9682241331368113,1.2903975503919634
14,0.11164605040053678,0.196351529286836,1.680649128762009,1.0677075649502863
