k,l2o,ldro_pep,lpep,l2o_alista
1,51.661969329368176,48.84774657547007,49.23867506614403,50.47791200784242
2,25.52920494865417,43.455234214119784,31.69068820091905,29.84500680244732
3,18.7511885699314,18.894212094783015,24.60231062597309,22.012752684497073
4,15.78622788287836,16.270855928967322,20.40935758336853,17.88758861201391
5,16.479801348787785,15.738288408357379,17.442279856390837,15.06734144120475
6,20.953184884667113,13.398396782750265,15.161306166156686,12.90623225796553
7,44.760923548561216,10.034056774126531,13.314724039854719,11.157360943056537
8,132.90239552880706,9.847917504295117,11.774362390689603,9.70406385075524
9,533.1416585748076,8.066334383572729,10.46174972960484,8.474882860859307
10,2317.8769175371344,6.018683415084887,9.328636460083738,7.421607903392105
11,10260.663262861164,4.9061788634251196,8.337903059204393,6.509666800277195
12,44291.93549513299,3.7189917758706006,7.465053413011172,5.714397033589693
13,183186.56908564517,2.4102629694926945,6.690798927064734,5.0178513102335565
14,719949.5485310296,1.459391006264399,6.000181755406661,4.406905342077802
