k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2424576404951229,0.299521296284071,0.2660216199679519,0.3209472254209696
2,0.6697684448040491,0.9327966740846731,0.2658774241920227,0.3198091930577382
3,0.6297931483204491,0.2332217151618359,0.2660219840125136,0.3202578733684106
4,0.638544902050642,0.1578396839560565,0.2660218099835337,0.3204848579132306
5,0.6316228791192167,0.0493018717797083,0.2659852765681901,0.3204209359449995
6,0.6272871090351908,0.2688057546070603,0.2658834061926983,0.3202102256886396
7,0.6175789438497488,0.5841380804245458,0.2660216700925385,0.3199282505941055
8,0.6084351030637314,0.0424150987967089,0.2658780565823367,0.3196029188656754
9,0.5965944034718935,0.4543638804339665,0.2660070587435156,0.3192388981559313
10,0.5853905490396029,0.686710984127033,0.2658777203086649,0.3188557583090914
11,0.573033203041853,0.4933388370763267,0.2660209018885635,0.3184319127073471
12,0.561388619867406,0.662177899816747,0.2660120276885004,0.3179986035765605
13,0.5494968651651552,1.008554355713061,0.2658789024953498,0.3175619956768147
14,0.5380076765782122,1.150286307349469,0.2658782709660342,0.317136789067087
