row,K,training_sample_N,arch,final_loss_mean,final_loss_q10,final_loss_q90,final_loss_median
test,1,1000,l2o,21.673482186729395,15.965410910481516,28.485317928981388,20.951901028766567
test,2,1000,l2o,10.346036901544363,7.228552021432427,14.398497572651916,9.732453605855039
test,3,1000,l2o,6.488604036497717,4.230129637390797,9.288635848179117,6.08325745381941
test,4,1000,l2o,4.261781418094512,2.426862292338596,6.3903686970715965,3.9176858883098262
test,5,1000,l2o,2.8937345622635884,1.448382682418372,4.4503651928578005,2.574097720288611
test,6,1000,l2o,1.92084753925028,0.8525008899765478,3.10483932789545,1.7412105904497928
test,7,1000,l2o,1.3047916975553016,0.5120124061677122,2.193358516626756,1.172853630432634
test,8,1000,l2o,0.9349213093737703,0.3510487617039417,1.6292870275160494,0.879751039947978
test,9,1000,l2o,0.6348349267910209,0.19309501178786734,1.2025683123210373,0.5859427620715252
test,10,1000,l2o,0.4264913905241579,0.10726117887265424,0.8547158995969067,0.3824113885682596
test,11,1000,l2o,0.30406055919803876,0.0634848837692239,0.6067666056185483,0.26195938367390426
test,12,1000,l2o,0.20184092380130297,0.035431709232758735,0.4348370992219011,0.1575126340804065
test,13,1000,l2o,0.15483874223527622,0.022423863213530036,0.3487819150394612,0.11585668454359954
test,14,1000,l2o,0.1116460504005368,0.012840554943388408,0.266677515727314,0.07993288905294449
test,15,1000,l2o,0.07851486551488321,0.00735565065811592,0.191231469510958,0.05184683090003972
test,1,1000,ldro_pep,21.985356783249905,16.290029645259022,28.75163123927827,21.31266149564355
test,2,1000,ldro_pep,14.694154692961495,10.9939634621628,18.98950316689585,14.359087210065658
test,3,1000,ldro_pep,9.96403356770919,7.029437668760025,13.512320465179393,9.485739626149439
test,4,1000,ldro_pep,7.936983598974694,5.6075347326400165,10.582636733993638,7.719126482062367
test,5,1000,ldro_pep,7.400775814747961,5.184772526670196,9.90064630625741,7.164235943723325
test,6,1000,ldro_pep,5.391942930104061,3.4881783716987433,7.593278890757543,5.086934490885748
test,7,1000,ldro_pep,2.725925247961645,1.4567497189198524,4.009793334385182,2.5789498709712113
test,8,1000,ldro_pep,1.8771061719304947,0.9177888128049603,2.8748499683361146,1.7885410929842198
test,9,1000,ldro_pep,2.08728532813915,1.0793249856487,3.1319524769038347,1.9876437725711753
test,10,1000,ldro_pep,1.652989565836336,0.77943228663881,2.6052936752425437,1.5782329154347394
test,11,1000,ldro_pep,0.9034089262422195,0.3504448643650265,1.5919652738610917,0.869171106371196
test,12,1000,ldro_pep,0.20645010976817627,0.03347388686504971,0.4397105084397937,0.16043749030045973
test,13,1000,ldro_pep,0.09332429387156632,0.007818777795443134,0.2299595639671502,0.0605473306691966
test,14,1000,ldro_pep,0.196351529286836,0.029628101715977104,0.43078826355952027,0.15091140864191388
test,15,1000,ldro_pep,0.08892487075423364,0.00744176502913021,0.2202277588965924,0.057730769294494166
test,1,1000,lpep,21.673548510365322,15.965757462506657,28.485741361206586,20.952604253637546
test,2,1000,lpep,14.007068068349987,10.469859252292638,18.20057669142859,13.685715487544545
test,3,1000,lpep,10.923174889383496,8.04069644099984,14.313254806897675,10.702299193776598
test,4,1000,lpep,8.122941165839434,5.762937315603908,10.806927671119327,7.917821352417867
test,5,1000,lpep,6.741880494430315,4.684507048565191,9.087313239512165,6.525877545609498
test,6,1000,lpep,5.945616437341421,4.03078744764904,8.066039524628282,5.797724110970176
test,7,1000,lpep,4.790659202514953,3.0890290168426233,6.604263923710989,4.6456399896617775
test,8,1000,lpep,3.8859041061220174,2.3823577636148126,5.327943377695143,3.7579164259618185
test,9,1000,lpep,3.6810246943447305,2.2280179863850353,5.042007275875974,3.55645189366564
test,10,1000,lpep,3.074913411368096,1.7794952773452306,4.327137717218508,2.9576592845681535
test,11,1000,lpep,2.6857483356245915,1.5125288787411737,3.850383549490922,2.5947995068683127
test,12,1000,lpep,2.2628459807595314,1.2118385228330486,3.351041610141164,2.1781343996849856
test,13,1000,lpep,1.7379713151736804,0.8485430348304526,2.6816043258372844,1.6749643093748414
test,14,1000,lpep,1.680649128762009,0.8153932236407581,2.6030728243887884,1.6208158996624675
test,15,1000,lpep,1.3104370182935396,0.5817700385182392,2.1237999894244437,1.2734206587998642
test,1,1000,l2o_alista,22.012245398641326,16.14296419241621,29.392041698927308,21.126506818940328
test,2,1000,l2o_alista,13.325089083717964,9.826698880701729,17.496792207214558,12.915370995569212
test,3,1000,l2o_alista,9.728519618453609,7.078499797989706,12.865332918172257,9.493551705380717
test,4,1000,l2o_alista,7.618934564993526,5.351676287266734,10.202567011720252,7.386009963629843
test,5,1000,l2o_alista,6.1075932060585645,4.160410001892778,8.266357423066417,5.959010052360597
test,6,1000,l2o_alista,4.95864712277837,3.222501087546227,6.812449627186306,4.804004250072259
test,7,1000,l2o_alista,4.05755258550462,2.5101366664732447,5.569331792893388,3.923766838477089
test,8,1000,l2o_alista,3.334643195706999,1.9653749473083086,4.643830233718927,3.216039979520726
test,9,1000,l2o_alista,2.7499655014987594,1.5516664135764662,3.93463461749143,2.651344883527253
test,10,1000,l2o_alista,2.272498567288848,1.215348739922089,3.366008059470382,2.1883254286873886
test,11,1000,l2o_alista,1.8799918448214095,0.9416418912287559,2.854234647174309,1.8115244923169609
test,12,1000,l2o_alista,1.556529564924305,0.7333561133820687,2.442433996428495,1.5085893218679995
test,13,1000,l2o_alista,1.28912839084172,0.5676506244599768,2.0982492046084316,1.249519072707658
test,14,1000,l2o_alista,1.0677075649502865,0.4471685195611773,1.8053452198929647,1.0286974768398522
test,15,1000,l2o_alista,0.8841800414422208,0.34583335531045706,1.5438906346950374,0.8510622205056535
ood,1,1000,l2o,48.67930061434595,33.63241572865527,63.72842727687644,49.05930347378775
ood,2,1000,l2o,28.518714558165048,17.342108449040857,40.03709713759054,27.913861252296705
ood,3,1000,l2o,22.66588397463858,11.369962275387362,35.85335500963457,20.211737058526875
ood,4,1000,l2o,24.30096565155902,7.896491416144345,48.42212023412764,17.66770709089452
ood,5,1000,l2o,33.65952340031114,5.584106586910875,75.52412917660959,16.24233733234278
ood,6,1000,l2o,55.133353320395734,3.9638348119688063,133.23906438016917,12.537884635570435
ood,7,1000,l2o,162.85313971889423,2.8103933368779748,353.008472943465,11.037275655522226
ood,8,1000,l2o,197.1657258803799,2.0768362687584525,309.4986141135433,6.041818909349367
ood,9,1000,l2o,890.5395062232456,1.497006587047354,1074.0770992647083,4.786318141427476
ood,10,1000,l2o,5438.131816140288,0.9977541511341311,5855.425797525715,3.495737520184793
ood,11,1000,l2o,16479.522720290133,0.7125014338739545,13492.879032458828,2.46115290866317
ood,12,1000,l2o,120945.49267635765,0.4244709242848124,94964.20477083664,1.8251638447625886
ood,13,1000,l2o,306427.03871699446,0.32468779639929085,208430.61857429222,1.3813464750566737
