Framework,K,IDmean,IDq10,IDmed,IDq90,OODmean,OODq10,OODmed,OODq90
L2O-ISTA,1,2.17e1,1.60e1,2.10e1,2.85e1,4.87e1,3.36e1,4.91e1,6.37e1
,2,1.03e1,7.23e0,9.73e0,1.44e1,2.85e1,1.73e1,2.79e1,4.00e1
,3,6.49e0,4.23e0,6.08e0,9.29e0,2.27e1,1.14e1,2.02e1,3.59e1
,4,4.26e0,2.43e0,3.92e0,6.39e0,2.43e1,7.90e0,1.77e1,4.84e1
,5,2.89e0,1.45e0,2.57e0,4.45e0,3.37e1,5.58e0,1.62e1,7.55e1
,6,1.92e0,8.53e-1,1.74e0,3.10e0,5.51e1,3.96e0,1.25e1,1.33e2
,7,1.30e0,5.12e-1,1.17e0,2.19e0,1.63e2,2.81e0,1.10e1,3.53e2
,8,9.35e-1,3.51e-1,8.80e-1,1.63e0,1.97e2,2.08e0,6.04e0,3.09e2
,9,6.35e-1,1.93e-1,5.86e-1,1.20e0,8.91e2,1.50e0,4.79e0,1.07e3
,10,4.26e-1,1.07e-1,3.82e-1,8.55e-1,5.44e3,9.98e-1,3.50e0,5.86e3
,11,3.04e-1,6.35e-2,2.62e-1,6.07e-1,1.65e4,7.13e-1,2.46e0,1.35e4
,12,2.02e-1,3.54e-2,1.58e-1,4.35e-1,1.21e5,4.24e-1,1.83e0,9.50e4
,13,1.55e-1,2.24e-2,1.16e-1,3.49e-1,3.06e5,3.25e-1,1.38e0,2.08e5
,14,1.12e-1,1.28e-2,7.99e-2,2.67e-1,7.20e5,2.11e-1,9.84e-1,2.93e5
,15,7.85e-2,7.36e-3,5.18e-2,1.91e-1,6.04e6,1.40e-1,7.82e-1,4.03e6
L2O-ALISTA,1,2.20e1,1.61e1,2.11e1,2.94e1,5.04e1,3.37e1,5.09e1,6.63e1
,2,1.33e1,9.83e0,1.29e1,1.75e1,2.98e1,2.11e1,3.00e1,3.91e1
,3,9.73e0,7.08e0,9.49e0,1.29e1,2.20e1,1.58e1,2.22e1,2.84e1
,4,7.62e0,5.35e0,7.39e0,1.02e1,1.79e1,1.28e1,1.82e1,2.31e1
,5,6.11e0,4.16e0,5.96e0,8.27e0,1.51e1,1.05e1,1.52e1,1.97e1
,6,4.96e0,3.22e0,4.80e0,6.81e0,1.29e1,8.82e0,1.29e1,1.70e1
,7,4.06e0,2.51e0,3.92e0,5.57e0,1.11e1,7.30e0,1.11e1,1.50e1
,8,3.33e0,1.97e0,3.22e0,4.64e0,9.69e0,6.19e0,9.59e0,1.32e1
,9,2.75e0,1.55e0,2.65e0,3.93e0,8.46e0,5.28e0,8.33e0,1.17e1
,10,2.27e0,1.22e0,2.19e0,3.37e0,7.41e0,4.55e0,7.25e0,1.05e1
,11,1.88e0,9.42e-1,1.81e0,2.85e0,6.50e0,3.79e0,6.32e0,9.26e0
,12,1.56e0,7.33e-1,1.51e0,2.44e0,5.71e0,3.15e0,5.54e0,8.30e0
,13,1.29e0,5.68e-1,1.25e0,2.10e0,5.01e0,2.74e0,4.88e0,7.37e0
,14,1.07e0,4.47e-1,1.03e0,1.81e0,4.41e0,2.31e0,4.25e0,6.58e0
,15,8.84e-1,3.46e-1,8.51e-1,1.54e0,3.87e0,1.98e0,3.71e0,5.94e0
DR-L2O,1,2.20e1,1.63e1,2.13e1,2.88e1,4.89e1,3.43e1,4.90e1,6.44e1
,2,1.47e1,1.10e1,1.44e1,1.90e1,3.17e1,2.30e1,3.19e1,4.10e1
,3,9.96e0,7.03e0,9.49e0,1.35e1,2.55e1,1.67e1,2.53e1,3.49e1
,4,7.94e0,5.61e0,7.72e0,1.06e1,1.85e1,1.32e1,1.88e1,2.38e1
,5,7.40e0,5.18e0,7.16e0,9.90e0,1.74e1,1.24e1,1.77e1,2.24e1
,6,5.39e0,3.49e0,5.09e0,7.59e0,1.53e1,9.66e0,1.53e1,2.12e1
,7,2.73e0,1.46e0,2.58e0,4.01e0,9.58e0,5.31e0,9.32e0,1.42e1
