iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8,tau_9,sigma_9,theta_9
0,16483.14729063111,9.663220651240108,35.51108514913358,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,16483.14729063111,9.66322065045043,284.89656457398087,0.0,9.999999999999159e-07,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998,0.10126272219078057,0.10126272219078057,0.9999999999799998
2,16483.149365939942,9.663220641770963,296.31002706917934,0.0,1.0990000000000002e-05,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007,0.10126272216852311,0.10126272216852311,0.9999999997602007
3,16483.02932958716,9.664528799080685,4.093332288088277,147915.51329681385,2.097999999999987e-05,0.10127125202408305,0.10125419258530462,1.000026804063183,0.10125419258571527,0.10125419258464809,0.9999731949043053,0.10125419258755328,0.10125419258526647,1.0000268041425957,0.10125419258855888,0.10125419258453486,1.000026804142287,0.1012541925850373,0.10127125202570335,0.9999731948980448,0.10125419258463353,0.10125419258545187,1.0000268041596427,0.10125419258466879,0.10125419258501278,0.9999731948986403,0.10125419258717717,0.1012541925913614,1.0000268041202816,0.10125419258492326,0.10127125201561948,1.0000268041481024,0.1012541925847285,0.10127125202347716,0.9999731948859738
4,16484.402865258686,9.66700121751556,3.959388002054766,164634.11285075487,3.0969999999999956e-05,0.10128663403897324,0.10123878589559872,1.0000743148462292,0.10123889373728531,0.1012387803020447,0.9999251679417247,0.1012392781356534,0.10123910070305916,1.0000749458747475,0.10123886879492537,0.10123883118528804,1.0000744247501085,0.10123881153076052,0.10128618879086096,0.9999247595159533,0.1012390356441943,0.10124253788984112,1.0000752336159155,0.10123878139392471,0.10123890934260765,0.9999252423146208,0.10123966224311103,0.1012399176020392,1.0000706627025575,0.10123884105440911,0.10128660000985815,1.000073623385605,0.10123891134481769,0.10128382640729952,0.9999251381897029
5,16486.754038138974,9.670581621256298,3.875197753077373,160298.52667976785,4.095999999999993e-05,0.10130866519901154,0.1012164824829219,1.000143722094408,0.10121667138271942,0.10121649281846196,0.9998554752996074,0.10121738330078331,0.1012175092076002,1.0001442348784646,0.10121683242347272,0.10121660206886773,1.0001427295150236,0.10121659066038179,0.10130809253635017,0.9998546164884161,0.10121745328636833,0.10122696956127467,1.0001454326740458,0.10121645303709124,0.10121682743731797,0.9998555206741617,0.1012180875901222,0.10121856749940786,1.0001369009409602,0.10121656355298747,0.10130832071080609,1.0001413436783497,0.10121685641083351,0.10129604276484945,0.9998556273889675
6,16490.264177609024,9.675588886912568,3.944556892151013,147148.40674582476,5.095000000000002e-05,0.1013368311262949,0.1011873765331076,1.000234920916023,0.10118745743499294,0.10118738639062995,0.9997640265872461,0.10119213459893009,0.10118930154909186,1.0002356106979102,0.10118788313648922,0.10118744842604106,1.0002297476177795,0.10118764240212395,0.10133704600427813,0.9997625664097374,0.1011896781476281,0.10120579104075435,1.0002375712337854,0.10118723684016287,0.10118789535258502,0.999765197619598,0.10118960579144992,0.10119022386148613,1.0002251681195593,0.10118730506950031,0.10133608857422079,1.0002283677744164,0.10118815391300012,0.10130484560131132,0.9997648881521214
7,16494.952640686522,9.684637895703943,3.952644494129345,120432.2003475965,6.0939999999999996e-05,0.10137159893134091,0.10115120368587532,1.0003481888883097,0.10115129491683615,0.10115149157215159,0.9996509295464393,0.10117992033072605,0.1011544417348842,1.0003474374932204,0.10115762823020805,0.10115132500633078,1.0003279302328238,0.10115221536783832,0.10137306621732078,0.9996492780626819,0.10115560348649535,0.10117722443705664,1.000351579159442,0.10115260642653795,0.10115186270791295,0.9996685169726963,0.10115533304835939,0.10115552036615921,1.0003342331983676,0.1011509886858812,0.1013704964135257,1.00033167772007,0.10115248624120973,0.10129391356833421,0.9996521554976954
8,16500.862880559926,9.696278404759106,3.9757837399374694,121836.71704709987,7.092999999999997e-05,0.10141017146934893,0.10110809768212718,1.000479040560997,0.10110798151976798,0.10110881020347522,0.9995154889953439,0.10117894275539548,0.10111277442484896,1.0004819196782107,0.10111991579623045,0.10110815063702443,1.000438407107089,0.10111002834472449,0.10141522742262404,0.9995135674433161,0.10111578426928945,0.1011404186876063,1.0004874204014877,0.10111183143337542,0.10110867208542798,0.9995611703459101,0.10111940242755885,0.10111368719771581,1.0004656382960933,0.10110776552669315,0.10141170441304807,1.0004570804347834,0.10110981945726098,0.10128084108628414,0.9995172268244388
9,16507.531936354593,9.708511041087371,3.96471786708571,179597.18494863439,8.091999999999984e-05,0.10145646906488807,0.1010581145376037,1.000632574716132,0.10105969388197339,0.10105920634717283,0.9993644788190718,0.10116180825819816,0.10106405948266382,1.0006330514325221,0.10107420590339627,0.1010585873281919,1.00056949223561,0.10106094261531695,0.1014645200173453,0.9993576209069233,0.10106855700013662,0.10110622099646498,1.0006438265281032,0.10106377774020704,0.10105947736056486,0.9994305471210525,0.10107522645503383,0.10106476659406192,1.000618947885285,0.1010578418742288,0.10145300957790725,1.0006048680208501,0.10106056564042114,0.10126574324489511,0.9993621382717005
10,16515.68808764211,9.72194010893424,4.0706157218664885,160322.18701547556,9.090999999999993e-05,0.10151022647295756,0.10100128436950018,1.0008074939180835,0.10100536506416236,0.10100264355633791,0.9991940469721498,0.10113557140085004,0.10100866237141806,1.0008032831973046,0.10102174324440465,0.10100242554069289,1.0007252306009162,0.10100482418208943,0.10152089963381994,0.9991803879885711,0.10101434845110371,0.10107096438638756,1.0008219705154533,0.10100859616550599,0.10100379575038951,0.9992767273937327,0.10102383311209699,0.10100978782077304,1.0007956399416056,0.10100103814866761,0.10149809388727757,1.0007743647050544,0.10100447300226742,0.10125027495982626,0.9991856627940411
11,16525.081068511237,9.736282216058635,3.8820098659489304,172972.38614375613,0.0001008999999999999,0.10157159436647305,0.10093781561439799,1.001006806462993,0.10094412472292838,0.10093938654673278,0.9990033657579279,0.10109776841763078,0.10094743346856618,1.0009883239341977,0.10096485871517125,0.10094005007123956,1.0009059814120258,0.10094230083368251,0.10158433298310028,0.9989873014925068,0.10095220725585341,0.10103354352721149,1.0010171344784493,0.10094644512062553,0.10094189112914355,0.999099389023388,0.10096453828515763,0.10094824951694605,1.0009928512601907,0.10093806686597359,0.1015459640828085,1.0009668346315386,0.10094187586167486,0.10123309282889492,0.9989888583975963
12,16535.6243694383,9.751617173807146,4.502336505101994,169634.97322710336,0.00011088999999999988,0.10164041403842684,0.10086774478729359,1.0012303204511013,0.100876068698757,0.10086943262289987,0.9987923704614944,0.10104957064901199,0.10088062387075494,1.0011901258508658,0.10090390930276846,0.1008715789648415,1.0011118045042897,0.10087302436155829,0.1016546568174457,0.9987772234089434,0.10088212265008405,0.1009931532162688,1.001229580504904,0.10087735272104387,0.10087370722577714,0.9988993022752216,0.10089764143867022,0.10087972435489491,1.001210239665296,0.1008687343361327,0.10159867555330651,1.0011798819234015,0.10087276604865332,0.10121559664780498,0.9987718447818028
13,16547.37911862881,9.768012148229573,3.868703864980489,171801.80076639363,0.00012087999999999997,0.10171675885021826,0.1007911278441025,1.0014780011648874,0.10080139333221555,0.1007928273274321,0.9985616992310999,0.10099126125022839,0.1008081357937707,1.0014085488248616,0.10083881142283502,0.10079708268813747,1.0013421893812315,0.10079698827365849,0.10173184405874,0.9985501048812797,0.1008041133590596,0.10095025183307865,1.0014589618687513,0.10080136356997776,0.10079930487714385,0.9986767505511216,0.10082302843886651,0.1008041681130381,1.0014473671143755,0.10079308241094044,0.10165563468999271,1.0014136743828337,0.10079718733647879,0.10119819288913764,0.99853487664892
14,16560.3733038627,9.785331181321478,3.9093634330201894,152673.18912127108,0.00013086999999999994,0.1017985781791847,0.10070803702309082,1.0017474781534121,0.10071980964765301,0.1007096940479304,0.9983087702707836,0.10092619534204231,0.10072960425795237,1.0016467154694222,0.10076867526515038,0.10071581472366528,1.0015910625185442,0.10071447084008578,0.10181619348325095,0.9983041374114002,0.10071852911777258,0.10089876336380585,1.0017069062978714,0.10071877076025199,0.10071861786123384,0.99843118524091,0.10074490845832205,0.10072165948447664,1.0017096155173213,0.10071055381889718,0.10172326559921317,1.0016668220967355,0.10071535606106231,0.10117257537122243,0.9982782193821725
15,16574.4492165424,9.803705156506494,3.8530711070634425,172085.6337490291,0.00014085999999999992,0.10188767283657553,0.10061953039110651,1.0020407686266242,0.10063256602655574,0.10062021270159383,0.9980400529194721,0.1008519047074897,0.10064564884895753,1.0019044867885654,0.10069378764037071,0.10062896624661334,1.0018586730494594,0.10062547559596013,0.10190680411961361,0.9980515632861389,0.1006247525322427,0.10084355300981887,1.001967694447863,0.10062966500594708,0.10063167895896467,0.9981695621294736,0.10065759189536903,0.10063121513045392,1.0019819560995145,0.10062147055652267,0.10179214820307764,1.001939413284001,0.10062740375362496,0.10114758288105959,0.998002300902412
16,16589.77105821748,9.823116071143708,3.8783442839048803,173673.93427011254,0.00015085,0.1019840487772105,0.10052572817590305,1.0023577670777002,0.10053970530666147,0.10052447218329942,0.9977556750767826,0.10076851718407931,0.10055611259840905,1.0021816367621854,0.10061396704007258,0.10053651948996802,1.0021448595709077,0.1005300947426277,0.10200359539094338,0.9977939631128779,0.1005228445188529,0.10078455908895777,1.0022409907726817,0.10053403489992818,0.10053852698275931,0.997891226797329,0.10056124843382078,0.10053295080801446,1.0022633089800754,0.10052594319466597,0.10186192820668216,1.002231863217621,0.10053331156319782,0.1011249800383098,0.9977071949335212
17,16606.42219413142,9.84385035661085,3.8825674059335142,177475.16012295877,0.00016083999999999998,0.10208866070994002,0.10042724198394615,1.0027014607636158,0.10044081567363207,0.10042280958331294,0.9974557333939172,0.10067504461465944,0.10046067974926734,1.0024710684407276,0.10053388962989501,0.1004383283678435,1.0024580658535671,0.10042797116820436,0.10210716492957361,0.9975235769607156,0.10041302059842047,0.1007243454110114,1.0025292625614113,0.1004315927578793,0.10043925933922282,0.9975906121458394,0.10045642946111728,0.10042712749314489,1.0025600971947277,0.10042424307005306,0.10193326694375614,1.0025477993485974,0.10043287418351643,0.10110431355560252,0.9973928449265062
