tau,sigma,theta
0.19349497337128874,0.19435708836616156,0.996792175206872
0.17589395638298122,0.17407033930841276,0.9889319711637173
0.19126631347821196,0.17966751848136234,0.9770657871481064
0.1781436484903745,0.1744910917452687,0.9837229197469541
0.1799022876809706,0.18669164941207375,1.0094607467933085
0.17417870397379975,0.18152980230001467,0.9786375050803835
0.18148087084497316,0.18570882472787778,0.9754175469654363
0.18186829953208208,0.18746513676819845,0.9867824904012757
0.17252294002797217,0.1861421528657606,0.977100344825259
0.183561477005814,0.200946639020349,0.9761361781912685
