iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0
0,141.90635843474277,119.96034500836909,2.8411556931678206,,,0.10126272219280587,0.10126272219280587,1.0
1,124.6598664293181,119.9601753456302,3.192997256992385,63.891786175272614,9.999999999992654e-07,0.10126335878289504,0.10126335878291147,0.9999979995203838
2,129.31922674586272,119.92609118619994,3.218276069033891,64.03253229655122,0.0002009799999999999,0.10139136667247461,0.10139123939176785,0.999596303507527
3,131.43596056153407,119.85807741812926,0.12024061195552349,63.457966974167846,0.0004009599999999988,0.10164754109025359,0.10164637459719349,0.9987958019720623
4,128.64303913117845,119.75621616583167,0.11907198489643633,64.70261356368692,0.0006009399999999995,0.10203038943903726,0.10202966048955668,0.997595465877727
5,130.51732480492575,119.62026518857051,0.12039828696288168,63.403166942057744,0.0008009199999999984,0.10254417780483634,0.10254131491467226,0.9959970655797467
6,131.86020291187253,119.45018611729695,0.12048391811549664,64.17062280574737,0.001000899999999999,0.103189925221898,0.10318232941511081,0.9940006273717062
7,128.5001769459187,119.24675757049737,0.11887551913969219,66.04217021182946,0.0012008799999999997,0.10395683626297693,0.1039551345269226,0.9916024914170144
8,130.4101785815297,119.00882084288317,0.11929083103314042,61.82073063229901,0.0014008600000000003,0.10486485821476613,0.10485849750203557,0.9888102396253612
9,128.27120105637957,118.7372973888697,0.11938256397843361,64.80996841360184,0.0016008399999999992,0.10589875284049013,0.1058968218767495,0.9856152730992531
10,128.56636054423277,118.43340731624936,0.11968989204615355,67.74583278779394,0.0018008199999999981,0.1070427509254471,0.10707318279431052,0.982013506562908
11,126.8054025040709,118.09838396558116,0.1199865301605314,69.00199572890395,0.0020007999999999988,0.10828145821038151,0.10839042003424469,0.9780020221142298
12,131.92536844949623,117.7282710233355,0.11931855999864638,64.638017980691,0.0022007799999999994,0.10967209103604376,0.10984695857195037,0.9735904800180301
13,129.41129616856503,117.32340178460969,0.12117217015475035,64.04490029524078,0.002400759999999999,0.11121152290275757,0.11144613601868485,0.9687746054192492
14,130.51678153753025,116.88306080475368,0.11906686914153397,63.097365256990024,0.00260074,0.11291560224907594,0.11318890579637707,0.9635567897650079
15,129.7420099402672,116.40806076189327,0.12790656695142388,64.03213832590858,0.0028007199999999996,0.11477330499152177,0.11508038562936487,0.9579278723039023
16,130.4243909569388,115.90015872533473,0.12184997904114425,66.7706441300066,0.0030007000000000002,0.11675937013143182,0.11712672872296169,0.9518764545490738
17,126.78410095099255,115.36000288270812,0.120066445088014,65.62779089763596,0.00320068,0.11886643801834591,0.11933224312848954,0.9453967229873476
18,129.3716322148242,114.7865933065437,0.1193730749655515,65.73915026129873,0.0034006600000000007,0.12111321819207173,0.12169956964366478,0.9384875305436774
19,129.73678037940255,114.17815991748913,0.11971856281161308,63.93560530219539,0.0036006399999999996,0.1235350722586238,0.12422964315067311,0.9311520037739277
20,125.3888710679984,113.53810562061722,0.11870780494064093,64.81376133569843,0.0038006199999999993,0.12607886326712908,0.12693177756041696,0.92337168564135
21,123.16587185018153,112.86735913332696,0.11897151987068355,64.31480532389811,0.0040006,0.12873242195347803,0.1298113764660463,0.9151394572461758
22,126.54064122795367,112.16153801654748,0.11901631602086127,62.322305842307976,0.004200579999999999,0.13157828730782253,0.132866946280765,0.9064656503439052
23,124.78633218132336,111.4264089479143,0.11903224210254848,65.50137692708337,0.0044005599999999995,0.1345190967989491,0.13611101899814307,0.897325744911889
24,125.56850155300836,110.6602641658646,0.11905408301390707,64.54063656162346,0.004600539999999999,0.13758722821857827,0.13954715800842296,0.8877191722716565
25,122.94630517356923,109.8583358519208,0.11999450903385878,59.76119554866595,0.00480052,0.1408862551244146,0.14317248373681216,0.8776605643465021
26,126.14185958461394,109.02442988522199,0.1205904430244118,63.21872656740265,0.0050005,0.14434928784854123,0.14699924801099135,0.8671278542110666
27,125.6768736109144,108.15955736466492,0.12029089103452861,63.19990227360695,0.0052004799999999995,0.14796435095949434,0.15103444264745525,0.8561136324713954
28,121.11459339889774,107.2708200089072,0.11970065697096288,64.62923740309864,0.00540046,0.15159072083579808,0.15529053265911463,0.8446002472445127
29,120.15513830858261,106.36441772443855,0.1200178840663284,67.77258794880507,0.00560044,0.1550925515373194,0.15977558023147626,0.8325836492167987
30,124.78924656466984,105.42441938645379,0.11970105301588774,61.87490150083982,0.00580042,0.15878833518430663,0.16448628050470723,0.8200868179302115
31,124.09057172509247,104.45148857438777,0.12130173202604055,61.375685047916,0.0060003999999999995,0.16267638573129753,0.16942967844155776,0.8071092796562787
32,116.56688274552698,103.45983356985278,0.12070729210972786,64.36782978870454,0.00620038,0.1664132951449295,0.1746226567745149,0.7936322225572422
33,122.61385691501906,102.43916051296638,0.11959734605625272,62.89249530573402,0.00640036,0.17020876017587613,0.18006855651646794,0.7796700277309486
34,127.09793564715501,101.38216818251036,0.11947179795242846,61.52669500039272,0.00660034,0.17427892710523674,0.18576441031486923,0.7652496585601534
35,122.16990766940681,100.29414306898684,0.11992993601597846,60.96422421329773,0.00680032,0.1784741219220406,0.1917257842442899,0.7503600849518565
