iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6
0,5.8565233243543116,0.02185585931187787,0.23595333297271281,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,5.8565233243543116,0.02185588534948879,0.3559731250279583,24.309357426368152,9.999999999999972e-07,1.249997763932273,1.2499977639322697,1.2499977639322795,1.2500022360696865,1.249997763932269,1.2500022360697267,1.2499977639322746
2,5.856528374817148,0.021855962941352527,0.33145337499445304,24.309298818705418,2.980000000000002e-06,1.24999110046402,1.2499911004651874,1.2499911004664455,1.2500088995673577,1.249991100466601,1.250008899564681,1.2499911004659816
3,5.856543425190624,0.021856092086819365,0.004922499996609986,24.308932196256936,4.960000000000007e-06,1.2499800096060245,1.2499800096163718,1.249980009622179,1.2500199906378657,1.249980009625277,1.2500199905340275,1.2499800096203384
4,5.856568475465264,0.021856272783968036,0.00464195798849687,24.308390786414584,6.939999999999998e-06,1.249964491424834,1.2499644914746042,1.2499644914917265,1.2500355095205062,1.2499644915070345,1.2500355089936548,1.2499644914853647
5,5.856603525466363,0.021856505030631274,0.00460866600042209,24.307636263089485,8.919999999999989e-06,1.2499445459376828,1.249944546099861,1.249944546147417,1.250055456685296,1.2499445461919938,1.250055455018575,1.2499445461239058
6,5.856648575056357,0.021856788823421867,0.004897042002994567,24.306653435295384,1.0899999999999994e-05,1.2499201731534828,1.249920173570423,1.2499201736854064,1.250079832902147,1.249920173794399,1.2500798286951271,1.2499201736234293
7,5.856703623960287,0.021857124157199884,0.004936957964673638,24.30544788153648,1.2879999999999999e-05,1.2498913731017656,1.249891374017304,1.2498913742612616,1.2501086392566878,1.2498913744948132,1.2501086300857918,1.249891374123625
8,5.856768671662979,0.021857511025227375,0.0047619169927202165,24.30399363996163,1.4860000000000003e-05,1.2498581457763809,1.2498581475710517,1.249858148046665,1.2501418773140462,1.2498581484958222,1.2501418592750522,1.2498581477707067
9,5.856843717452636,0.021857949419550795,0.004688707995228469,24.302385214981765,1.6840000000000008e-05,1.2498204911425361,1.2498204943801872,1.249820495233675,1.2501795489717125,1.2498204960388872,1.25017951635098,1.2498204947306788
10,5.856928760482782,0.02185843933004487,0.004576792009174824,24.3005151989675,1.8819999999999986e-05,1.2497784091269384,1.249778414604693,1.2497784160420966,1.2502216567313778,1.2497784174102016,1.250221601394098,1.2497784151925344
11,5.857023799611212,0.021858980744394893,0.004751959000714123,24.298417709797963,2.079999999999999e-05,1.2497318996153381,1.2497319084209308,1.2497319107337086,1.250268203684058,1.2497319129379783,1.2502681144842707,1.2497319093666128
12,5.857128833396091,0.02185957364858394,0.004694375034887344,24.296121505790286,2.2779999999999995e-05,1.2496809624261098,1.249680976007419,1.2496809795674584,1.250319193497334,1.249680982976708,1.2503190557049697,1.2496809774655107
13,5.85724386018512,0.02186021802648138,0.004684750048909336,24.29362880790511,2.476e-05,1.249625597348802,1.2496256175822908,1.249625622879468,1.2503746303156502,1.2496256279629667,1.2503744250846405,1.2496256197551443
14,5.857368878031535,0.02186091385856451,0.00471675000153482,24.290900064771275,2.6740000000000005e-05,1.2495658041306585,1.2495658333790738,1.2495658410326762,1.2504345192019437,1.2495658483815035,1.2504342226604275,1.2495658365218212
15,5.857503884489411,0.021861661123906757,0.005081082985270768,24.287972554067384,2.8719999999999996e-05,1.2495015823961853,1.2495016236100662,1.2495016343888337,1.2504988658231917,1.2495016447351448,1.2504984484649173,1.2495016280446263
16,5.857648876964415,0.021862459797506166,0.004744665988255292,24.284792944326707,3.07e-05,1.2494329317240997,1.2494329884942692,1.2494330033400758,1.2505676769615655,1.249433017584201,1.2505671025349154,1.2494329946151241
17,5.857803852245106,0.02186330985276467,0.004683584033045918,24.2814347208006,3.2680000000000006e-05,1.2493598516145683,1.2493599282957784,1.249359948327245,1.2506409598455253,1.2493599675729548,1.2506401848156,1.2493599365785935
18,5.857968806920603,0.02186421125881693,0.004757416958454996,24.277827762378664,3.466000000000001e-05,1.2492823415047498,1.2492824432701475,1.249282469846917,1.2507187228766832,1.2492824953848016,1.250717695283964,1.2492824542858096
19,5.858143736937001,0.0218651639821732,0.004541750007774681,24.274011070254748,3.664e-05,1.2492004007275663,1.2492005336791263,1.2492005684087635,1.250800975298561,1.2492006017628823,1.2507996338693348,1.2492005481090551
20,5.85832863787939,0.02186616798644848,0.004675167030654848,24.269988624183696,3.8620000000000006e-05,1.249114028529738,1.2491141997995028,1.2491142445581165,1.2508877272011147,1.2491142875033492,1.2508860004801252,1.2491142184383017
21,5.858523504920951,0.02186722323164519,0.0048191660316661,24.265753597654918,4.0600000000000004e-05,1.249023224064003,1.249023441907318,1.2490234988615498,1.250978989744408,1.2490235534710228,1.2509767949974906,1.2490234656820152
22,5.858728332707626,0.021868329674088388,0.004599125008098781,24.26127428361514,4.2579999999999996e-05,1.248927986408081,1.2489282602961091,1.2489283319379363,1.2510747751108147,1.248928400578839,1.2510720172837435,1.248928290271759
23,5.858943115338674,0.021869487267397396,0.004621250031050295,24.256596918527237,4.4559999999999993e-05,1.2488283145061758,1.2488286552479584,1.248828744429996,1.25117509639469,1.2488288298020787,1.2511716671499908,1.2488286926494006
24,5.859167846542846,0.02187069596147153,0.004755291040055454,24.251713100440064,4.654e-05,1.2487242072106253,1.2487246270546577,1.2487247370156838,1.2512799677463031,1.2487248421760266,1.251275744391702,1.2487246732851656
