algorithm,K,worst-case (PEP),cvar,expectation
GD,5,0.001,4.12,1.34
,10,0.01,22.50,6.96
,15,0.05,85.71,28.41
,20,0.14,201.33,69.35
,25,0.42,371.07,113.50
,30,1.03,842.46,198.77
FGM,5,0.002,3.34,1.02
,10,0.01,18.13,7.66
,15,0.09,90.43,32.39
,20,0.29,265.04,118.65
,25,0.93,525.07,206.34
,30,2.78,1105.64,412.77
