iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,beta0,beta1,beta2,beta3,beta4,beta5
0,0.06389864701489857,0.013343625186105762,0.1087399169919081,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009
1,0.063308930029934,0.013343549593228605,0.07449295901460573,0.04829421415983966,9.999999999992654e-07,1.250002236605897,1.2500022366055443,1.2500022366048429,1.2500022366032943,1.2500022365989438,1.250002236573839,1.0002399963882278e-06,0.2817545253649452,0.4340437830196516,0.5310648056431481,0.5987795942923765,0.6489233261224009
2,0.06580967832637373,0.01332835561772387,0.07485054200515151,0.049547347522944214,0.0002009799999999999,1.250451919102896,1.250451947668385,1.2504520022285894,1.2504520571746893,1.250452092175176,1.250452107024756,0.0002020935162707188,0.2819556307592975,0.4342449094233847,0.5312659506336281,0.5989807514990649,0.6489233261224009
3,0.06514168082948281,0.013298090977815756,0.0024669159902259707,0.04947577906253664,0.0004009599999999988,1.2513496267782276,1.2513492856220183,1.2513491763410476,1.2513492119990839,1.2513493094962758,1.2513494353258816,0.0006034414291133318,0.28235680924763173,0.434646042735697,0.5316670681555933,0.5993818721412899,0.6489233261224009
4,0.06818043026999403,0.013252746013551456,0.002610708004795015,0.05174693685596439,0.0006009399999999995,1.2526977312807033,1.2526971512105998,1.252696783619782,1.2526968264684122,1.2526970927252696,1.2526974477570174,0.00120594285302478,0.28295918700649575,0.43524836489849367,0.5322693825442929,0.5999842078167935,0.6489233261224009
5,0.06362646025856557,0.013192565921125785,0.002493750012945384,0.04864935462437054,0.0008009199999999984,1.2544922560782503,1.254492298238374,1.2544920823993295,1.2544921465168386,1.254492303980031,1.2544923991639558,0.002007427613384403,0.2837609719976549,0.4360501970419347,0.5330712317198276,0.6007860406980171,0.6489233261224009
6,0.06559950548956046,0.0131176672531865,0.0024016250390559435,0.050060933554900815,0.001000899999999999,1.2567377491260312,1.2567375610237224,1.2567368406857695,1.2567361586999233,1.2567355001624438,1.256734833918646,0.0030096161696818603,0.284763129877624,0.4370521734430138,0.5340729784487176,0.6017875446370771,0.6489233261224009
7,0.06129796368355376,0.013028609137577063,0.0024309169966727495,0.04765768595849908,0.0012008799999999997,1.2594307187970537,1.2594257750078661,1.259421451840415,1.2594171257942153,1.2594129088484116,1.2594091243685013,0.004210127138869155,0.28596184660118457,0.4382495699408779,0.5352691798081045,0.6029826711913681,0.6489233261224009
8,0.06486261948524548,0.012925143497156432,0.002580875006970018,0.05024458484264207,0.0014008600000000003,1.2625782224685307,1.2625695433867654,1.2625614056246213,1.2625525942816949,1.2625434729965614,1.2625349013819458,0.00561192461088368,0.28736252583840144,0.4396488441970545,0.5366670474751309,0.604379136701214,0.6489233261224009
9,0.06429705194886691,0.012807637301831286,0.0023572089849039912,0.04976747020774719,0.0016008399999999992,1.2661809103847295,1.2661679868529532,1.266154904493817,1.2661403245215828,1.2661248603269295,1.2661098946550124,0.007214434180910064,0.28896416397613783,0.44124864494142735,0.5382650714908487,0.6059753827426314,0.6489233261224009
10,0.06031442948070351,0.012676979568079397,0.002379792043939233,0.04764503968831683,0.0018008199999999981,1.2702353141846376,1.2702083984404051,1.2701852654517511,1.2701608428148063,1.270134729375133,1.2701086400760135,0.009014874869587245,0.290760336782475,0.4430410887991299,0.5400543754123007,0.6077616907132749,0.6489233261224009
11,0.06305981096391942,0.01253309721383288,0.0024035839596763253,0.04830002983334396,0.0020007999999999988,1.2747428389706135,1.2747023067937726,1.2746662215931142,1.2746302564020213,1.2745931783716,1.2745564041680417,0.01101330265244539,0.2927555866090652,0.4450314525816827,0.5420410052816235,0.6097451513439489,0.6489233261224009
12,0.06486233122639877,0.012376039862183203,0.0023428749991580844,0.05006540997173627,0.0022007799999999994,1.2797152100670641,1.2796618250626883,1.279610829692095,1.2795601321304864,1.2795085343724433,1.2794575602220941,0.01321456688134296,0.2949550046337032,0.447225205405684,0.5442301447128081,0.6119301955192742,0.6489233261224009
13,0.06443338486650543,0.01220645605021448,0.00239387498004362,0.047977060575939964,0.002400759999999999,1.28514098706697,1.2850754026123206,1.2850117185722023,1.2849481010110748,1.2848844216915136,1.2848220342757555,0.015612332871873176,0.2973527797796144,0.44961771764871694,0.5466186363430905,0.6143153482902198,0.6489233261224009
14,0.06185714209205289,0.012025375222668507,0.002460624964442104,0.046847512295286595,0.00260074,1.291019149040771,1.2909347502519466,1.290852429476294,1.2907711985840455,1.2906928146150265,1.2906181716231728,0.018204589593996498,0.2999442774737881,0.4522015219889682,0.5491968464763038,0.6168893268726863,0.6489233261224009
15,0.06542039403219231,0.011832434090763053,0.0024631659616716206,0.05006103963403162,0.0028007199999999996,1.2973768954960858,1.2972686815315788,1.297162297502294,1.2970576485814567,1.2969588670698031,1.2968666911839697,0.02100288973836299,0.3027421229441743,0.45498965228711846,0.5519777249981638,0.6196644460946528,0.6489233261224009
16,0.061537188793072545,0.01162893384250535,0.0022942079813219607,0.04736225400451736,0.0030007000000000002,1.3041963399125616,1.3040549846810259,1.3039180597406692,1.303782452363802,1.3036552205925305,1.3035378713962285,0.023997450913254843,0.30573558944263945,0.4579707417129642,0.5549493481423939,0.6226282185937698,0.6489233261224009
17,0.06513026426661982,0.011414644520370268,0.0023202919983305037,0.04949743905233298,0.00320068,1.3115007622578452,1.3113135916886465,1.3111433969978412,1.3109746978927146,1.3108168669602167,1.3106713209528975,0.027198046652884663,0.3089336408074668,0.4611551504047986,0.5581238021498011,0.62579443152804,0.6489233261224009
18,0.06538309913322707,0.011190198209359452,0.0023564579896628857,0.04957677374119452,0.0034006600000000007,1.3192932396486248,1.3190528726325932,1.3188418248663765,1.3186313831062906,1.3184345932414463,1.3182534124665823,0.030604259697751865,0.31233872595271894,0.46454356613859177,0.5614998348701902,0.6291600829517229,0.6489233261224009
19,0.06558075038071842,0.010956245079972076,0.0023359160404652357,0.049096317488986574,0.0036006399999999996,1.3275720933018715,1.3272710903106186,1.327011603035323,1.3267538110876373,1.326515016847616,1.3262958204766422,0.034213558393936735,0.31594929696790747,0.46813440050709726,0.5650766980313422,0.6327257957141379,0.6489233261224009
20,0.062331415243303684,0.010713999673378691,0.002458208007737994,0.04793555659342628,0.0038006199999999993,1.3363298458564148,1.3359558139904126,1.335638528980105,1.3353193314399296,1.335021871195202,1.334747146553443,0.03802137526048585,0.319759650900156,0.4719211994004043,0.5688457830828619,0.636479735667928,0.6489233261224009
21,0.058263543517286964,0.010465646856812214,0.0023865409893915057,0.04552466479564704,0.0040006,1.3455523234211446,1.345071112302191,1.344665951111154,1.3442587110179618,1.3438803872040268,1.343532225353135,0.042018257737080386,0.32375222303330065,0.4758790268021367,0.5727774454627512,0.640389752684292,0.6489233261224009
22,0.05772241294809514,0.010211566237741252,0.002370208967477083,0.04514218710736191,0.004200579999999999,1.3552365472814067,1.3546207386985794,1.354103640388512,1.3535828119822546,1.3531000083546285,1.3526574245577128,0.046201895694301644,0.3279287407720059,0.4800115451978476,0.5768761257203328,0.6444603806161253,0.6489233261224009
23,0.05598564491878602,0.009953070175703863,0.002393457980360836,0.04383453250582293,0.0044005599999999995,1.3653760457205422,1.364583181369094,1.3639230831338698,1.3632601480569753,1.362647245872086,1.3620872513285598,0.05056674856117126,0.3322791991541069,0.48430619290977384,0.5811280797414266,0.6486772458393316,0.6489233261224009
24,0.06003579664199289,0.009689065097779755,0.0023137920070439577,0.04653023942881805,0.004600539999999999,1.3760117001459256,1.3750146557974083,1.3741890462193957,1.373360103274709,1.3725933946572224,1.371893104693821,0.05513066311062337,0.3368295297193144,0.4887924229809603,0.5855650361888763,0.6530733070305819,0.6489233261224009
25,0.05973488356535511,0.00942050174063404,0.0022995839826762676,0.045826523597415854,0.00480052,1.3871391911069777,1.385907441918041,1.3848898303215869,1.3838703476302276,1.3829293785423755,1.382070037274414,0.05988985258315621,0.341575754589201,0.4934647842398554,0.5901811652677953,0.6576433662199914,0.6489233261224009
26,0.05729958971076249,0.00914907726154805,0.0023107080487534404,0.04448433545879278,0.0050005,1.398749755557921,1.39723310794999,1.3959859832033235,1.3947387405384484,1.393588867069212,1.3925393069423495,0.0648381966248176,0.3465054361538207,0.4983068628324353,0.5949561217660027,0.6623631312476252,0.6489233261224009
27,0.05154826667990092,0.008877649767911576,0.0025005420320667326,0.04093371840676205,0.0052004799999999995,1.4107964731456542,1.408922312846208,1.4073854954825478,1.4058564262907867,1.4044516365106428,1.4031747339150045,0.06995046434177093,0.35158534164538136,0.503276894818718,0.5998418248216432,0.6671803239679318,0.6489233261224009
28,0.057047011231300196,0.008604767457362205,0.0024462920264340937,0.043935873963643124,0.00540046,1.4233444640835033,1.421041753609038,1.419164467700433,1.4173073138236756,1.4156084757554772,1.4140719017293124,0.07525571955175482,0.356848201356374,0.508411397414062,0.6048780703262201,0.6721373227694035,0.6489233261224009
29,0.05387082060977294,0.008332284010955239,0.002457458002027124,0.04215384820086671,0.00560044,1.4363717682208446,1.433558452659228,1.4312683228735685,1.4290195344580592,1.426979556949975,1.425151480953354,0.08074045622187323,0.3622777106721922,0.5136866717273261,0.6100350266129866,0.6772006088044732,0.6489233261224009
30,0.055973867583959384,0.008059531338880876,0.002453291031997651,0.04307304076881137,0.00580042,1.449900200717457,1.4465068692578962,1.4437476554238386,1.4410583894862736,1.438640770218963,1.4364926440777315,0.08641342347351331,0.36789040894216146,0.5191249937679359,0.615340337677213,0.68240205826055,0.6489233261224009
31,0.05907200840820627,0.007785507302404291,0.0023697909782640636,0.04497401717965382,0.0060003999999999995,1.463967522724013,1.4599527211003105,1.4566782710975594,1.453504020780391,1.450671477113163,1.44817083223067,0.0922919262179102,0.37371772481441323,0.5247629631255151,0.6208337061403639,0.6877825942114172,0.6489233261224009
32,0.05207587294470875,0.0075142441550853185,0.002394790994003415,0.04032658572791313,0.00620038,1.478492283472196,1.4737681019555573,1.469902453796351,1.4661789527184295,1.4628865011512635,1.4600004465755736,0.09833330105782769,0.379698521418113,0.5305270550904637,0.6264328061577178,0.6932551123008206,0.6489233261224009
33,0.05619610669697024,0.007244290139906426,0.0024941250449046493,0.04315879652294198,0.00640036,1.4935501358844188,1.4880342832774796,1.483510423710656,1.47917704468787,1.4753783843347528,1.4720697529578595,0.10457219241795432,0.38587439562032827,0.5364632275589796,0.6321863745787084,0.6988693323462807,0.6489233261224009
34,0.05205170923098749,0.006978616499608238,0.00244358298368752,0.03974980481342254,0.00660034,1.5090779203906908,1.5026483232973593,1.4973763076962712,1.492364233492726,1.4880177464527178,1.4842619934192955,0.11097451094580152,0.39219678557813475,0.5425137219517467,0.6380314801774428,0.704560936401861,0.6489233261224009
35,0.052962480500446656,0.006717257575875973,0.002574125013779849,0.040694160504408355,0.00680032,1.5251205370606045,1.5176389906182695,1.5115169758784455,1.5057490180728015,1.5008041225511486,1.4965669015890686,0.11755597430804798,0.3986796443405937,0.5486888410443442,0.6439759476063321,0.7103354680440818,0.6489233261224009
36,0.0538261990728159,0.006459822096038734,0.002449457999318838,0.04068762108911018,0.007000299999999999,1.5416723041418332,1.533032260661104,1.52597783212638,1.519388997324285,1.5138039393987075,1.5090553342965396,0.12431706528220299,0.4053386412795757,0.5550122065077431,0.6500486966895727,0.716225481861119,0.6489233261224009
37,0.04898111880227752,0.006209455606823484,0.002394542039837688,0.03765722169879579,0.00720028,1.5586742450768403,1.5487243005194873,1.5406103452283955,1.5330998140751968,1.5268117085052326,1.521513999860104,0.13122586844148146,0.4121233139762968,0.561415660217142,0.6561669871798292,0.7221382523104196,0.6489233261224009
38,0.04976794990500352,0.005965731729554562,0.00240079197101295,0.037827648993517475,0.0074002600000000005,1.576143157262752,1.5647418763949592,1.555450393643201,1.5469324425588515,1.5398952295720714,1.5340213870130608,0.1382858448951721,0.41904608029161927,0.5679164621164342,0.6623531741803199,0.7281013574044901,0.6489233261224009
39,0.046891940606244235,0.00573048215251065,0.0022947919787839055,0.03502609734625684,0.007600239999999999,1.5940089180154617,1.5809833304034193,1.5703965296316604,1.5607971422014792,1.552980583992148,1.5465144240496012,0.14546434251899704,0.42606195977125694,0.5744668718551673,0.668560481570086,0.73407099927428,0.6489233261224009
40,0.04483763558641437,0.005504933616307323,0.0023955840151757,0.03534641064639684,0.00780022,1.612324886031366,1.5974527244029144,1.5853775680205902,1.5745536211575688,1.565878089764559,1.558783751466698,0.15277722060169638,0.43317146984057797,0.581041408131803,0.6747382354393264,0.7399763116224136,0.6489233261224009
41,0.047423212569241986,0.005287914926277084,0.0024476670078001916,0.03537807780520916,0.0080002,1.6310884468030615,1.614194709546499,1.6004651390294877,1.5883157637260392,1.5787493980415184,1.5710256357817696,0.1602273770000746,0.44039817334247205,0.5876736537133567,0.6809332256982482,0.745878559265503,0.6489233261224009
42,0.04814949155096698,0.005079533839883314,0.0023342089843936265,0.0357356757495515,0.00820018,1.6503437632359301,1.6312071706827136,1.6156580314758326,1.6020818468997509,1.5915906028721905,1.5832341148479743,0.16782781612320308,0.44774607120646426,0.5943684637828437,0.6871505007754405,0.7517820654547949,0.6489233261224009
43,0.04811888520914508,0.0048797178713913675,0.0023558330140076578,0.03499090372201069,0.00840016,1.6700580676894137,1.648501924287602,1.6309819681183808,1.6158955542896234,1.6044579570421613,1.5954633285289426,0.17556917821534784,0.4552228984911933,0.6011388148033894,0.6934085801516416,0.7577100826736474,0.6489233261224009
44,0.05039496269988323,0.004688153489731284,0.00227983295917511,0.03655739377988456,0.00860014,1.6903275714707608,1.666124843521901,1.646483056895155,1.6297997180299748,1.6173954908632302,1.6077631602535163,0.18348508924254925,0.46285488188643464,0.6080110896483331,0.6997331743410018,0.7636879552369092,0.6489233261224009
45,0.047274747175044825,0.004506549819881024,0.002370959031395614,0.03486694241903009,0.00880012,1.711109887306101,1.6840027510513091,1.6620534464661947,1.643673378071584,1.630283691078873,1.6200216008650985,0.19155037117556722,0.4706036643080043,0.6149324355117924,0.7060614163862879,0.7696478523671095,0.6489233261224009
