i,K,obj_val
0.0,12.0,0.09042674684161317
1.0,12.0,0.09834293430108015
2.0,12.0,0.11846056921249781
3.0,12.0,0.1191304622471866
4.0,12.0,0.09100931647574345
5.0,12.0,0.1120849726127153
6.0,12.0,0.09643626215368284
7.0,12.0,0.100507350501364
8.0,12.0,0.10069573056388922
9.0,12.0,0.09131325361462939
10.0,12.0,0.09470241085961234
11.0,12.0,0.1353177706380339
12.0,12.0,0.1015896545447334
13.0,12.0,0.09496445462571446
14.0,12.0,0.09151975018493996
15.0,12.0,0.10607722918091292
16.0,12.0,0.10527700870428741
17.0,12.0,0.11110123063791297
18.0,12.0,0.0886913618266214
19.0,12.0,0.10288611148393156
20.0,12.0,0.1278299494196882
21.0,12.0,0.1061771991848808
22.0,12.0,0.10546656255661158
23.0,12.0,0.11324767460007248
24.0,12.0,0.09942146264775958
25.0,12.0,0.13160263450625057
26.0,12.0,0.1150743984376218
27.0,12.0,0.10268766818802921
28.0,12.0,0.09603263500912235
29.0,12.0,0.11281964953336113
30.0,12.0,0.09611989436793189
31.0,12.0,0.10419403477882003
32.0,12.0,0.11363312428781921
33.0,12.0,0.11374417419755434
34.0,12.0,0.11784826772393092
35.0,12.0,0.1318421838091343
36.0,12.0,0.12591993613574315
37.0,12.0,0.10975277814418449
38.0,12.0,0.10640213072938559
39.0,12.0,0.10597023567516678
40.0,12.0,0.11623334758584919
41.0,12.0,0.0998221737978166
42.0,12.0,0.10681450704771381
43.0,12.0,0.10892086742096624
44.0,12.0,0.1245227109300856
45.0,12.0,0.1056242308033506
46.0,12.0,0.1241868938690388
47.0,12.0,0.12449056837042935
48.0,12.0,0.1032332224768826
49.0,12.0,0.1291943203418034
50.0,12.0,0.11272465136826432
51.0,12.0,0.09285190813026872
52.0,12.0,0.08748768201750484
53.0,12.0,0.09412665755306815
54.0,12.0,0.08816834860415546
55.0,12.0,0.08018825137230723
56.0,12.0,0.1270250530043692
57.0,12.0,0.10891923858159397
58.0,12.0,0.12983059362852878
59.0,12.0,0.12078947784642158
60.0,12.0,0.12006537107036247
61.0,12.0,0.1046902499890836
62.0,12.0,0.1228025064535889
63.0,12.0,0.11197117410051827
64.0,12.0,0.121824248615369
65.0,12.0,0.11470657479210214
66.0,12.0,0.1105430536668941
67.0,12.0,0.11469371243115567
68.0,12.0,0.08952548338412047
69.0,12.0,0.10391285779900286
70.0,12.0,0.1021368481144937
71.0,12.0,0.11364816544140943
72.0,12.0,0.10597865598036538
73.0,12.0,0.11023093942799006
74.0,12.0,0.11377607703462495
75.0,12.0,0.09722551353403108
76.0,12.0,0.10061427951609392
77.0,12.0,0.09208749871599925
78.0,12.0,0.11384925309947452
79.0,12.0,0.0888282405932202
80.0,12.0,0.09824925302385262
81.0,12.0,0.11131407786257869
82.0,12.0,0.11036801541812552
83.0,12.0,0.10386848970019766
84.0,12.0,0.12655266876658958
85.0,12.0,0.1076316428628239
86.0,12.0,0.11843851406991915
87.0,12.0,0.12880787288597384
88.0,12.0,0.1029632301361072
89.0,12.0,0.0936830229820716
90.0,12.0,0.08392982882233918
91.0,12.0,0.10573635144842325
92.0,12.0,0.12866764661446928
93.0,12.0,0.12126960742727119
94.0,12.0,0.10732669805064832
95.0,12.0,0.1143060245043567
96.0,12.0,0.08721208195078956
97.0,12.0,0.10442270917593205
98.0,12.0,0.10608791247683147
99.0,12.0,0.1018560190154339
