iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6
0,55.3260215238046,12.938552843558083,4.485049915034324,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,49.3821385583507,12.937871683237043,5.582351352786645,152.38335758365616,9.999999999992654e-07,0.10126208560471128,0.10126335878290864,0.9999979995205126,0.10126208560471694,0.10126335878290395,0.9999979995205133,0.1012620856047292,0.10126335878289215,0.9999979995205404,0.1012620856047628,0.10126335878283406,0.9999979995206036,0.10126208560493266,0.1012620856048432,0.9999979995207311,0.1012633587818641,0.10126208560496884,0.9999979995220873,0.10126335878064054,0.1012633587820189,1.000002000436207
2,50.96901053701409,12.801290538619325,5.8078716159798205,147.20030321835475,0.0002009799999999999,0.10113443803538398,0.10139138338912985,0.9995958446593073,0.10113454642809311,0.10139137661261118,0.9995958636382384,0.10113474697113839,0.10139136954492667,0.9995958813898477,0.10113522283397729,0.10139135845752807,0.9995958968165385,0.10113743445235507,0.10113414859342001,0.9995959073699822,0.10139126008340286,0.10113414091021852,0.9995958979662622,0.1013912400387134,0.10139131734423976,1.0004039523286532
3,51.59390963771151,12.529666539380466,0.6522206380032003,141.49859504119118,0.0004009599999999988,0.10088072059283323,0.10164723952831976,0.9987931613196577,0.10088139270339071,0.10164720395298378,0.9987932753391339,0.10088266266704171,0.10164717326292187,0.9987933796941743,0.1008858166169478,0.10164715789863896,0.9987934692010665,0.10090323018700742,0.10087910246326784,0.9987935934359782,0.1016467262958964,0.10087886366618994,0.9987932907900797,0.10164673416903582,0.10164693162285594,1.0012065838029265
4,50.54080083517589,12.12019102575718,0.6664101630449295,152.03283374180438,0.0006009399999999995,0.10050023562021335,0.1020309899084631,0.9975919653467424,0.100501378979117,0.10203097039811143,0.9975921052498232,0.1005035937217282,0.1020309941551204,0.9975922375233582,0.10050924970497631,0.10203125310165065,0.9975923505753203,0.10054220925251807,0.10049846332187777,0.9975928958017259,0.10203025507190222,0.10049686532406953,0.9975909401602027,0.10203032352950933,0.10203076360317892,1.0024104620829173
5,50.9285152406778,11.573554184930874,0.6532498919405043,143.54758850798424,0.0008009199999999984,0.09999507463957569,0.10254386658141514,0.9959915901971262,0.09999712831998614,0.10254388880185773,0.9959918188402301,0.10000109745160903,0.10254406572847155,0.995992034038345,0.10001121301086573,0.10254509172428358,0.995992210370061,0.10007528128811753,0.09999351461261086,0.9959940726646759,0.10254215753256937,0.09998764051733947,0.9959870113861864,0.10254256630499335,0.10254318953653857,1.0040159474300372
6,51.14485853864744,10.888026609100596,0.6504670868162066,146.50482873227497,0.001000899999999999,0.0993661341353042,0.10318677616597717,0.9939938076594326,0.09936945776593792,0.10318694826841388,0.9939941295276071,0.09937585786127703,0.10318755079490304,0.9939944357381286,0.0993920953641785,0.10319048194878294,0.993994672627265,0.09950618650925568,0.09936790514746704,0.9939997107146623,0.10318385349526907,0.09935147501738675,0.9939806038610335,0.10318502154715516,0.10318573029357019,1.0060260613747352
7,49.60329790819411,10.057708664343785,0.6613561559934169,161.10585385129428,0.0012008799999999997,0.09861149671259319,0.10395940651423037,0.9916056671994065,0.09861522508109666,0.10396013136583193,0.9916055141382911,0.09862278931796573,0.10396186381132536,0.991605411411318,0.09864299595389713,0.1039690101308636,0.9916052678110855,0.09880155357654345,0.09862853466914845,0.9916167186428344,0.10395635010191163,0.09858939149392494,0.9915729068521042,0.10395894627899135,0.10395941413401746,1.00844251578671
8,49.835662521009944,9.091824034937025,0.6512040300294757,137.63770659965581,0.0014008600000000003,0.09773952210297988,0.10486578953142285,0.9888211172844148,0.09774542090606539,0.10486729475955926,0.9888206400846974,0.09775744221375267,0.10487079809629399,0.9888202572393898,0.097789636553438,0.10488476748788285,0.9888197995912464,0.09807751825830884,0.0977786459763273,0.9888431135710514,0.10485806989945069,0.09769863873382861,0.9887558621409795,0.10486367885607249,0.1048629880211082,1.0112608345100973
9,48.416054827670756,7.979467238242889,0.6543862191028893,158.12856842055226,0.0016008399999999992,0.09674519707397272,0.10590497449525686,0.9856525054048996,0.09675223860643369,0.10590804604112763,0.9856508924797308,0.09676718466041909,0.10591481520295404,0.9856495476580553,0.09680853642868285,0.10594045669250618,0.9856481683996768,0.09723017850632096,0.09683362298020184,0.9856915093169554,0.10589370990214557,0.09668199620782901,0.9855327883947025,0.10590338232667938,0.10590110769213934,1.014490977563888
10,47.77616329417999,6.721118471803464,0.6619931450113654,172.6990685439707,0.0018008199999999981,0.09562787590189822,0.10707716670056239,0.9821093870478662,0.09563406719527628,0.1070830577445062,0.9821051535318592,0.09564907478079616,0.10709534384570835,0.9821016033351736,0.09569476973884901,0.10713948491471312,0.9820982333343513,0.0962375713768945,0.0958095387739369,0.9821733921360163,0.10706347136974106,0.09554029730398861,0.981903979693559,0.10707824337422607,0.1070736605668484,1.0181304721387852
11,46.20811707020434,5.3287964041053595,0.6511709920596331,180.74791041380007,0.0020007999999999988,0.09438843221169876,0.10838324300789623,0.9782004799070354,0.09439128160250074,0.10839367039253107,0.9781916559434433,0.09440290814785975,0.10841452017235792,0.9781842708769275,0.09444758976011848,0.10848606049893861,0.9781775609090703,0.09509655972331128,0.09472623156943324,0.9783010796477246,0.10836685691592338,0.09427387665839494,0.9778686182308886,0.10838822407989886,0.10837941247948805,1.022176002418849
12,47.795980318456465,3.855447831656408,0.6617032689973712,154.12155128445616,0.0022007799999999994,0.09304030391322983,0.1098309795820789,0.9739138794904437,0.09304107589613998,0.1098473275484875,0.9739001668559423,0.09305174820652104,0.10987971751722231,0.9738888991659327,0.09310106176072958,0.10998796238121983,0.9738789996661731,0.09397350622598706,0.09360098265097552,0.9740739828188111,0.10980003676487574,0.0928786433219383,0.9734126729529724,0.10982815557611686,0.10981131733689045,1.0266086499438047
13,46.050074152011035,2.4469882574844206,0.6519437008537352,149.32722088078194,0.002400759999999999,0.09158737737110251,0.11142351604111604,0.9692537647379086,0.09158807006962909,0.11144719623764066,0.9692356803644214,0.09160177056634482,0.11149431965286694,0.9692216898808981,0.09166578222137212,0.111649663734294,0.9692106986740175,0.09295680124567438,0.09245654713568309,0.9695071959720184,0.1113597253951561,0.0913535526362484,0.9685284192948477,0.11139024154146267,0.11135897338663814,1.0314017027468796
14,45.97979493013892,2.0468816004910986,0.6528750858269632,108.06795402972244,0.00260074,0.09007940126997192,0.11317392712562163,0.9641944260844929,0.09011254876181275,0.11320212611779049,0.9641859293482624,0.09019786859906462,0.1132615119836901,0.9641886598066789,0.09046950661546574,0.11346675876761356,0.9642067688112406,0.09293878375139455,0.09130659768912974,0.9646183366000208,0.1130717090395376,0.0896916563990955,0.9631651714989338,0.11309094534694895,0.11303667618704558,1.0366021931233822
15,45.36743072812752,1.9586663662040111,0.6620601888280362,83.15345568261236,0.0028007199999999996,0.08880563631943578,0.11505623194792419,0.9588313725269861,0.08905861528874698,0.11506442920896244,0.9589103853036995,0.08952125084909603,0.11509678949344579,0.9590517774328744,0.09038818464779486,0.11527218833741729,0.959312226447421,0.09361509599140355,0.09016860331080097,0.959408322961649,0.11497456472383291,0.08790137743775768,0.9573151614672226,0.11497132965095529,0.11488625068518074,1.0423269023752744
16,45.08301195169636,1.8563894079289498,0.6547076990827918,85.00974654463668,0.0030007000000000002,0.08774806486196293,0.11707611513038638,0.9531646748154361,0.08837219688083643,0.1170385079589401,0.9534111323571712,0.08937123951355942,0.11699991809960494,0.9538230606338477,0.09087607864334943,0.11705046023166994,0.9545677509866541,0.09470734818721262,0.089049421566678,0.953923790884346,0.11707438470060365,0.08597639522580791,0.9509686954455335,0.11703703991818562,0.11691221947505359,1.048585912008517
17,43.52160513611928,1.7556189354926013,0.6537710989359766,81.23091554772917,0.00320068,0.08689224914303977,0.11924169580232553,0.9471871006911048,0.08801442361063408,0.11913200539835626,0.9476789453904895,0.08964425645053757,0.11897515964276816,0.9484975409995681,0.09177906259000458,0.11879603349285524,0.9499865609816249,0.09611606840078811,0.0879397503235761,0.9481021172646782,0.11937004983994573,0.08391895851760553,0.9441312330543372,0.11928565609723732,0.1191121017069649,1.0553662546991156
18,44.45011446971013,1.6755643480533842,0.6624784050509334,80.34723493324987,0.0034006600000000007,0.0862697366355927,0.12154977268449962,0.940922254432339,0.08799690424338898,0.12133693514287669,0.9417434941493927,0.09030604913205327,0.12100332014606852,0.9431220159707713,0.09303237297508693,0.12050562173410072,0.9455757298499604,0.09778079274183843,0.08681373347973503,0.9418622455161918,0.12185847586137291,0.08173882571254705,0.9368294286921927,0.12171273333623206,0.12147633316295618,1.0626364034871396
