iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2
0,106.91604844426183,62.52665696472974,3.48314844397828,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,93.05164015092265,62.5262922442832,4.071800803067163,107.90477394798518,9.999999999992654e-07,0.10126335878254959,0.1012633587829108,0.9999979995204133,0.1012633587828571,0.10126335878290359,0.9999979995205144,0.10126335878285844,0.10126335878287218,0.999997999520853
2,96.78979165508116,62.4530822625615,4.229181053116918,107.69434330042002,0.0002009799999999999,0.10137620837980897,0.10139127719510817,0.9995961828368883,0.10139072936174298,0.10139126617268379,0.9995962156927957,0.10139137222344148,0.10139125435209931,0.999596250380658
3,98.57534531819506,62.30717846805818,0.26423266413621604,106.45678270203705,0.0004009599999999988,0.10160755864563034,0.10164658882425846,0.9987951301974489,0.1016452503329846,0.1016465156113238,0.9987953130587537,0.10164756014691771,0.10164642627716494,0.9987955136320451
4,96.07096579751028,62.08908813796295,0.2707214418333024,108.97853736229924,0.0006009399999999995,0.10194784437675987,0.10203001995190254,0.997594373649759,0.10202490806350595,0.10202987085607683,0.9975946491187472,0.10203045782844068,0.10202965794160658,0.9975949815433666
5,97.694184252315,61.79881007114267,0.2645987798459828,106.33139811956445,0.0008009199999999984,0.10242273514739986,0.10254202368340863,0.9959950015140516,0.10253621796256493,0.10254165667831949,0.9959954490574543,0.10254429602199307,0.10254105732343136,0.9959960699360741
6,98.5690092794792,61.43701609337032,0.2750236371066421,107.58907180834667,0.001000899999999999,0.1030336280844063,0.10318360756981795,0.993997085041124,0.10318035844515,0.10318279775089342,0.993997738332623,0.10319012974842563,0.10318135530951913,0.9939988162157601
7,95.47571579882239,61.00616364029938,0.27341880393214524,111.36597025156354,0.0012008799999999997,0.10369067200626463,0.10395664497814533,0.9915986998549448,0.10393666487590526,0.1039552247022932,0.9915990398123842,0.10395739922049627,0.1039523838315233,0.9916002416952521
8,97.4363571117297,60.5050279101436,0.26824004319496453,103.19209753954404,0.0014008600000000003,0.10450279782652606,0.10486110773036543,0.988804023058262,0.10483684817589678,0.10485828921541597,0.9888042606122203,0.10486579748131912,0.10485244906909458,0.9888062234880475
9,95.09211983145315,59.93647346270984,0.26358048897236586,108.93051326197477,0.0016008399999999992,0.10538007855833975,0.10590036986041418,0.9856078672179377,0.10585527297933552,0.10589550982453161,0.9856072300445412,0.10590054280233357,0.1058849838825604,0.9856097247454348
