iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8
0,0.04065967891155522,0.015579402371957657,3.5716879377141595,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263
1,0.041620951593836525,0.015579357807760435,5.399714034050703,0.040125352002107456,9.999999999999159e-07,1.242651637146006,1.2426516371454692,1.2426516371448448,1.2426516371440588,1.2426516371429974,1.242651637141446,1.2426516371402465,1.242651637139145,1.2426516371417866
2,0.04050888790169209,0.015578422917417983,5.063035673927516,0.03975889138617775,2.097999999999987e-05,1.242698400442409,1.2426983924058954,1.2426983816234638,1.242698374453609,1.2426983689317328,1.24269838632923,1.2426984498122042,1.24269847425084,1.2426984756087902
3,0.0417052507908419,0.015576595937159626,1.5496985907666385,0.04043927873317258,4.095999999999993e-05,1.2427897379037325,1.2427897218404684,1.2427896915487995,1.2427896756257102,1.2427896622560204,1.242789868679257,1.2427900726413499,1.2427900553244577,1.2427900044477997
4,0.042794047990101426,0.015573876122586105,1.5966334901750088,0.040321814780425444,6.0939999999999996e-05,1.2429256014837124,1.2429256746250397,1.2429256716288264,1.242925670617578,1.2429256653838503,1.242926009289506,1.2429266381137203,1.2429265788873827,1.2429261310234707
5,0.04149498656398165,0.015570275096645119,1.5856824363581836,0.040054114989572676,8.091999999999984e-05,1.2431060658861446,1.2431061371083096,1.2431061690982201,1.2431061987835255,1.2431062186955955,1.2431064909043594,1.2431066275988476,1.2431067102445807,1.2431054346716681
6,0.040851488976363454,0.015565802501661662,1.5504359873011708,0.04007438564196611,0.0001008999999999999,1.2433311255144452,1.2433312345412058,1.2433313042256302,1.2433313480565722,1.243331375237588,1.2433313138143598,1.2433275156192085,1.2433290751731922,1.243327321379228
7,0.04162168768579687,0.015560442580729132,1.6029962678439915,0.04085113564097973,0.00012087999999999997,1.2436010600986045,1.2436010929881363,1.2436011805667568,1.2436012292998142,1.2436012613728662,1.2436008022242686,1.2435925600561588,1.2435956139206756,1.2435933246824378
8,0.040998086128108124,0.015554186069556792,1.4758633370511234,0.04004381965740327,0.00014085999999999992,1.2439154404617936,1.2439153637784084,1.243915507228108,1.2439156000505214,1.243915661658017,1.243915319280545,1.243904037536105,1.243907742348449,1.2439059796163652
9,0.03645880899347562,0.015547094837314361,1.498776812106371,0.03804721532280912,0.00016083999999999998,1.244273614818064,1.2442732149930738,1.244273114462593,1.2442729665054324,1.244272808515001,1.2442719096628838,1.2442540860971025,1.2442593112116402,1.2442602523614619
