k,l2o,ldro_pep,lpep,l2o_alista
1,23.231979211529918,22.275834340151786,22.205956670383877,22.169458382583585
2,10.720124162585796,10.47822954006685,13.368202792042673,13.338441664754148
3,6.6661160892327755,7.243825397410893,10.172776285191935,9.708558140498297
4,4.360358494673151,4.563424763389839,8.016779837512155,7.616274841452699
5,2.932991664058454,3.300928088221982,6.470202881456293,6.1204403595034185
6,1.9743452075962045,2.091924724066035,5.321853533894559,4.980307803763966
7,1.3541117444759287,1.8567959466891326,4.588424298683257,4.082557235503562
8,0.9176660250807582,1.4550374695411064,3.9834455881681676,3.3615991737652484
9,0.6353279721828489,1.2241457453472369,3.4113488529142892,2.7754727622776425
10,0.4333737686971895,0.7752981265097367,2.9847353157086536,2.295234255673511
11,0.30171685797662834,0.4285400996166188,2.61653962167618,1.8994848153839374
12,0.2091454090263761,0.21008098231405514,2.282008258989285,1.5722045876133446
