k,l2o,ldro_pep,lpep,l2o_alista
1,23.21761881000133,22.24525378909178,22.052872207003574,22.019910772242735
2,10.705955979902242,10.374300652932492,13.345202259176792,13.313020049423862
3,6.643114667709401,6.963392217329854,10.178246569334469,9.708786890032552
4,4.330816541548903,4.359013546473236,8.013289264522397,7.610039897501804
5,2.8921590199600007,3.2580680525889436,6.458303707502841,6.107130580328624
6,1.9363326758916641,2.064691889168201,5.305430464810177,4.962583079540716
7,1.3100492920135354,1.833876797996782,4.569775480362027,4.0624267621821994
8,0.8858605975356394,1.4366273274361763,3.9630627186469556,3.340233280443061
9,0.6048245899441115,1.2084343668528288,3.390098426177602,2.7543212245439
10,0.41495087152852883,0.7647699981711372,2.9633419822007863,2.2758849226861675
11,0.2879764133663358,0.421943211712168,2.596048783691277,1.8817405512614542
12,0.20184092380130292,0.20645010976817627,2.262845980759532,1.556529564924305
