k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2441587624883967,0.2644976053883964,0.3220016446856333,0.3208590273779145
2,0.6801832231925521,0.8620093024287705,0.3142818121457483,0.3197345494902814
3,0.636687562044737,0.762727933967421,0.2677517289822917,0.3202684813879445
4,0.6465713878495335,0.5180065739684193,0.3081626713721825,0.3205774895591215
5,0.6399113117224255,0.2175126242794652,0.308611518337246,0.3205755071426211
6,0.6372899592184518,0.7104242617932162,0.2997497947169328,0.320416485682486
7,0.6280712155061802,0.1872819404541409,0.2374960611527672,0.3201887098371991
8,0.6202519587068596,0.4029766763482382,0.2311625108459463,0.3199183056979587
9,0.608380898835702,0.2921360573066774,0.2563333543607947,0.3196069204679064
10,0.5979691287394368,0.7323154234058967,0.2239244145828089,0.3192773214882687
11,0.584800826640047,0.9282851450412358,0.2220607884046557,0.3189054676336332
12,0.5732075606868166,1.0956921768396788,0.2313908089909554,0.3185224179246443
