k,l2o,ldro_pep,lpep,l2o_alista
1,51.42760794344682,49.3417383396389,50.596007080377696,50.468194825904476
2,25.58757511820924,29.52420508666029,29.836030007690283,29.843747445955366
3,19.07992218225105,37.693348564656105,22.699710525960235,22.01399262121081
4,16.619870229873165,37.76345189083207,18.599645727498885,17.88805504458759
5,18.984390073331472,11.659248747848517,15.716662107164481,15.066541667816011
6,27.86882092136715,8.294021259890313,13.555225083743746,12.904320386286464
7,72.12284843434423,7.002634492265406,12.14281592206328,11.154472352919132
8,255.81579638523726,5.791959366707675,10.951375469417796,9.70030546342748
9,1150.3969776974689,5.104584877945059,9.79506737382176,8.470349543520674
10,5491.768994589263,3.720478212994438,8.906800290161238,7.416386862327047
11,26159.2377050745,2.4913990842932163,8.116741986701019,6.503842834066023
12,120945.49267635765,1.5379990829790968,7.3754466004519035,5.708055103036372
