iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7
0,20677.05554858813,11.929127583984659,23.82534981612116,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,20677.05554858813,11.929127583063968,124.99980822717771,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,20677.019069054983,11.929127577999967,115.04794251010753,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,20677.058915481524,11.929348820238808,2.1039433360565454,147648.16395182238,1e-05,0.10125865656039061,0.10126678783878369,0.9999872234441315,0.10126678783801342,0.10125865656051974,1.0000127759673378,0.101266787840025,0.10125865657107161,1.0000127758710777,0.10125865656036147,0.10125865656217206,0.9999872234594716,0.10125865656024499,0.10125865656357089,1.0000127759386868,0.10125865656013261,0.1012667878338306,0.9999872234432462,0.10126678783911396,0.10126678783999543,1.0000127759330366,0.10126678783653512,0.10125865656262002,1.00001277594732
4,20677.223243903514,11.929587351821526,1.7334968680515885,149314.04020467476,9.931634888554937e-06,0.10125372257071208,0.10127171496004699,0.999971730847677,0.10127169580063758,0.10125372765137924,1.0000283079100993,0.10127172501630005,0.10125392102133014,1.0000283003347354,0.10125372673489619,0.101253728175924,0.9999717755671144,0.1012537179416759,0.10125373527618231,1.0000280016588152,0.10125372030334875,0.10127095355119652,0.9999717035292592,0.10127170309893796,0.1012717243124417,1.0000279683403677,0.10127167081502374,0.10125373002703192,1.0000282911122118
5,20677.43769918887,11.929829463504557,2.1387717390898615,151648.90352640994,9.728616793536588e-06,0.10124844420326086,0.10127700756918273,0.9999551915150724,0.10127689997041227,0.10124847615550406,1.0000449720576263,0.10127701846207196,0.10124882125219348,1.0000448024897957,0.10124844997740574,0.10124843833741821,0.999955419988116,0.1012484219374762,0.10124846780555634,1.0000442166116708,0.10124843326853347,0.10127505972754942,0.9999550488631606,0.10127666769483082,0.10127699652583995,1.000041919553693,0.10127684617337178,0.10124853135028772,1.0000449023818734
6,20677.6688733848,11.930069508810027,2.0852527120150626,156485.322031676,9.397114317029975e-06,0.10124309936314814,0.10128239595574715,0.9999385041519115,0.10128218477593659,0.10124318553090729,1.0000619521540997,0.10128240648373447,0.10124355677018665,1.0000615573641543,0.10124309419742272,0.10124308405706137,0.9999390648292238,0.10124303018245964,0.1012430921381555,1.0000607809353828,0.10124305945823399,0.10127836478144525,0.999938073654294,0.10128121800252314,0.10128231561560126,1.0000539330791745,0.10128184335004552,0.10124334835518606,1.0000616646752707
7,20677.87078116782,11.930246487226219,1.703683438943699,149068.30513481805,8.947199994035402e-06,0.10123783254582569,0.10128772360797413,0.999922084022491,0.10128713225589958,0.101237973714878,1.0000786788546696,0.10128771197686467,0.10123835931695732,1.0000781710642663,0.10123781730742416,0.10123778860937756,0.9999231091423701,0.10123771862201493,0.10123783253352313,1.0000772501112274,0.10123777701626917,0.10128001249371073,0.9999213938687874,0.10128491133223541,0.10128755337045331,1.0000618334391977,0.10128648549289022,0.1012382753873314,1.0000781790208777
8,20678.150275370208,11.930424862081102,1.5629365239292383,153663.14580081683,8.392544243589428e-06,0.10123277803224345,0.10129285026536072,0.9999062975165977,0.10129189808270313,0.10123299039047523,1.0000947094498784,0.10129280218704038,0.10123335719254999,1.0000942285783188,0.10123274963804692,0.10123269156991863,0.99990777768356,0.10123262298885095,0.10123276470636924,1.0000929001894217,0.10123270874361341,0.10128213851238105,0.9999053662838466,0.10128817393840973,0.10129258008684272,1.0000682535827177,0.10129092283879015,0.10123342080636956,1.0000939115198313
9,20678.396842871378,11.930609482098928,1.5825338040012866,150793.89664191645,7.75e-06,0.10122802947337592,0.10129763387141646,0.9998914265789842,0.10129643617892478,0.10122829040954576,1.000109698512245,0.10129756926519701,0.10122868698907384,1.0001091165643976,0.10122799113013803,0.10122790919683129,0.9998931981757229,0.10122785145218526,0.1012280502899569,1.0001074192497603,0.10122794948248874,0.10128467554246297,0.999890365612698,0.10129166803883681,0.10129731452502026,1.0000764371826678,0.10129518950161846,0.10122880024956538,1.000108721742097
10,20678.596077870337,11.930801509661551,1.5429381129797548,159291.5626957262,7.0390906449655104e-06,0.10122367257573342,0.10130188558672466,0.9998778765890362,0.10130065682377903,0.10122399322162398,1.0001235525234378,0.10130192385475772,0.10122435964159542,1.0001226042084035,0.10122362681166253,0.10122349530618777,0.9998798474197277,0.10122345860833117,0.10122367630163352,1.0001192211860293,0.10122356825146131,0.10128699882930069,0.9998765364829183,0.10129521744423756,0.10130155594768236,1.0000859349818265,0.10129814966937545,0.10122447264345931,1.0001222859057497
11,20678.835503579998,11.930974982068422,1.5619935560971498,151199.37404564692,6.281416799501188e-06,0.10121974317109331,0.10130573494652771,0.9998656048950026,0.10130448607798535,0.10122010316719181,1.0001359768703855,0.10130584961758657,0.10122054162196252,1.0001347369351123,0.10121969063577502,0.10121953242461651,0.9998676889948447,0.1012195088219625,0.10121977820253503,1.000130048345534,0.10121962202867402,0.10128939302754952,0.9998641101809908,0.1012985265568252,0.10130541001707706,1.000094823532204,0.10130104238692073,0.10122057657881811,1.0001345260263546
