iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6
10,23685.845353104844,12.926089420053565,1.8557500208262354,99176.63636590604,7.0390906449655104e-06,0.10122356019810427,0.10130192388559793,1.0001230735317168,0.10122356090013898,0.10122365098035949,0.9998772251261854,0.10130162793939972,0.10122356971146025,1.0001231321277855,0.10122369379046346,0.10130189914451102,1.0001229032423944,0.10122358988636657,0.10122355431608397,1.0001230547585027,0.10122359318768229,0.10122357605217072,0.9998807134926636,0.10130082562599606,0.10124601345149722,0.9998770000236141
11,23686.072466957445,12.924840993287626,1.0191916420590132,99364.6639839038,6.281416799501188e-06,0.10121961812916812,0.10130588108385075,1.0001354716231121,0.10121961447116282,0.10121968227356995,0.9998648599516871,0.10130552354412004,0.10121962657672642,1.0001355321444076,0.10121974599634634,0.1013058478378125,1.000135248037561,0.10121965256043251,0.10121960523392295,1.0001355094578692,0.10121965746377602,0.1012196345762878,0.9998685514366915,0.10130463474057225,0.10124324598770751,0.9998646171029524
12,23686.28399102884,12.923813411940309,1.0157260680571198,103161.32974454397,5.500000000000001e-06,0.1012161616579987,0.10130929861452444,1.0001464144030072,0.10121619001808427,0.10121613388788184,0.9998548922532627,0.10130900042848852,0.10121620829318108,1.0001465695051854,0.10121671215413271,0.10130930672798238,1.0001463100280625,0.10121612655990751,0.10121615889922063,1.0001453418494433,0.10121615381307915,0.10121613791863598,0.9998621710326702,0.1013080627759074,0.10124109506287463,0.999853533046237
13,23686.452622954494,12.922902295933447,1.006980855949223,101034.52195638558,4.718583200498814e-06,0.10121316927302168,0.10131228440677267,1.0001558871060305,0.10121321730912254,0.10121304430346638,0.9998462027905143,0.1013118766598225,0.1012132404088283,1.00015608086564,0.10121404007746485,0.1013122995714415,1.000155684063456,0.10121312461511292,0.10121316890943782,1.0001540922517973,0.10121315052971902,0.10121313134676024,0.9998556010111924,0.10131065774226948,0.10123910310165031,0.999844091178065
14,23686.61032751579,12.922121065443172,1.0000380838755518,99255.84551660194,3.960909355034493e-06,0.10121064426512158,0.10131480658060393,1.0001638692429022,0.10121070373777956,0.10121046921019006,0.9998387594403193,0.10131429286541481,0.10121073100584177,1.000164080755004,0.10121173107430564,0.10131482637618673,1.0001635508427331,0.10121059744426665,0.10121064306629621,1.00016157248221,0.10121062105926137,0.10121059691271819,0.9998498255739043,0.10131287908058956,0.10123755286142117,0.999836203893933
15,23686.741019195357,12.921471590159621,0.9868028359487653,99546.74766769809,3.2500000000000015e-06,0.10120856107748556,0.10131689023897432,1.0001704441135348,0.1012086305855861,0.1012083556316542,0.9998326088131483,0.10131627513512781,0.10120865965097645,1.000170666412532,0.10120979805339465,0.10131690959779628,1.0001700063054682,0.1012085167146933,0.10120855675537263,1.0001678055609287,0.10120853912927823,0.10120851043852498,0.9998449409040316,0.10131466594987476,0.10123623761228312,0.9998297028023354
16,23686.85256976767,12.920943939860855,1.0336841410025954,99333.24115787294,2.607455756410573e-06,0.1012068841290349,0.10131856880638546,1.0001757327673362,0.10120695907473677,0.10120666547822646,0.9998276015337291,0.10131786689957349,0.10120698961732955,1.000175956766734,0.10120822060510648,0.10131858755536047,1.0001751858408159,0.1012068460951241,0.10120687670748234,1.0001728695121026,0.10120686504797881,0.10120683210302928,0.9998408783109626,0.10131612003707507,0.10123523431254572,0.9998244902616169
17,23686.940757582714,12.920522507489153,1.0138434909749776,99510.48335937082,2.0528000059646e-06,0.10120555909946258,0.10131989459499806,1.0001798999060005,0.10120563764581869,0.10120534476574318,0.9998235989304879,0.10131911953507086,0.10120566973628561,1.0001801236609638,0.10120695662900463,0.10131991273613632,1.0001792597841628,0.10120553074078743,0.10120554898578116,1.0001769093389683,0.10120554518376884,0.1012055077841004,0.9998375854248459,0.10131728002749553,0.10123449948335114,0.9998204019831398
18,23687.00683721589,12.920218314263662,1.0348854400217533,104957.7692526267,1.6028856829700269e-06,0.10120452020488988,0.10132094001669925,1.000183182167065,0.10120461702355026,0.10120430188247712,0.9998209770490704,0.1013201168938964,0.10120464562914143,1.0001834542784294,0.10120620083692829,0.10132094537936029,1.0001825509280884,0.10120447874122954,0.10120452384754255,1.0001796913860375,0.10120450923958665,0.10120446177598413,0.9998348633266516,0.1013179140593051,0.10123381812009968,0.999817102111158
19,23687.063685392066,12.919970996100995,1.0190972299315035,99389.10062013945,1.2713832064634127e-06,0.1012036947348191,0.10132177046044094,1.0001857854154514,0.10120380303923085,0.10120348839226931,0.9998188143066532,0.10132090510351745,0.1012038297177399,1.0001860847588238,0.10120557125729818,0.10132176707182873,1.0001851423262398,0.101203648948505,0.10120370741097723,1.0001819629772686,0.10120368715039464,0.10120363302755156,0.9998326379218898,0.10131843985575698,0.10123331617350884,0.9998145081105574
20,23687.10595396248,12.919759224289187,1.0253487708978355,99247.10055150671,1.068365111445064e-06,0.10120300025098085,0.10132246859970342,1.0001879729733376,0.10120311618544946,0.10120281475122352,0.9998169433804336,0.10132156702839472,0.1012031416902046,1.0001882872412398,0.10120502060700828,0.10132245929400831,1.0001873076021282,0.10120295416165802,0.10120301906198892,1.0001839145108178,0.10120299581004003,0.10120293690162431,0.9998307605910908,0.10131890763290613,0.10123292222783045,0.9998123405602116
