iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6
0,23684.056103260624,12.938552843558083,19.79351961496286,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,23684.056103260624,12.93855284258467,72.86452204198577,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,23684.03326551197,12.938552837232908,75.43112277984619,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,23684.055924997017,12.937280955554826,1.007100029848516,99001.28124067173,1e-05,0.10125865656032006,0.10126678783992078,1.0000127759779118,0.10125865656015928,0.10125865656129686,0.9999872234529272,0.10126678783989136,0.10125865656036864,1.0000127759782125,0.10125865656064416,0.10126678784013256,1.0000127759681416,0.10125865656041315,0.101258656560662,1.0000127759711859,0.10125865656020161,0.10125865656031896,0.9999872235936036,0.10126678783519272,0.10125865669044389,0.9999872234768911
4,23684.254828361143,12.935670951649682,0.9949430569540709,98788.49048901249,9.931634888554937e-06,0.10125371748286974,0.10127170822702372,1.0000282894335113,0.10125372374306364,0.10125379147788267,0.9999717143241496,0.1012717258923723,0.10125372102315516,1.0000282865358618,0.10125377611367038,0.10127172013809592,1.0000283072804044,0.10125372874022343,0.10125373063428761,1.0000281640913868,0.10125371537162942,0.10125371959833301,0.999972035660998,0.10127172386819427,0.10126167632419082,0.9999716943254858
5,23684.51403939955,12.93398607690609,1.0102539779618382,99231.29170639908,9.728616793536588e-06,0.10124842887301697,0.10127699491984596,1.0000449134959701,0.10124843936162355,0.1012485483065523,0.9999551873038868,0.10127699491156607,0.10124843574451839,1.0000449202085142,0.10124853637096957,0.10127700781032825,1.0000449374889584,0.10124844213579269,0.10124844694758503,1.00004471274391,0.10124842692069916,0.10124843360643332,0.9999559648923524,0.10127684532126992,0.10125998135390588,0.999955031454716
6,23684.784739606363,12.932278023226075,1.0070128319785,99435.62267027666,9.397114317029975e-06,0.1012430537118106,0.10128237444584007,1.0000617926103395,0.10124306715964274,0.10124319732345587,0.9999383493756319,0.10128233670018645,0.10124306514679703,1.0000618262771468,0.10124318186061916,0.10128238429637312,1.0000618167559854,0.10124306582658964,0.10124307083309239,1.0000615962592785,0.10124305728578799,0.10124306101409035,0.9999401577530697,0.10128201766548535,0.10125746394802816,0.9999381474109853
7,23685.061840719995,12.93059789700995,1.0189422930125147,99222.91955256087,8.947199994035402e-06,0.1012377670693379,0.10128767133658197,1.000078399906903,0.10123777974356025,0.10123791215516008,0.999921764830473,0.10128757633618092,0.10123777996417042,1.000078450328483,0.10123790406828634,0.10128767476424516,1.0000783990141495,0.1012377836013093,0.10123778092550856,1.0000782472223895,0.10123777776764027,0.10123777769047988,0.9999242357179389,0.10128711616695832,0.10125474135842763,0.9999215483183939
8,23685.335251608692,12.928987901780165,1.0101045770570636,99205.65756762007,8.392544243589428e-06,0.1012326960670595,0.10129275583767468,1.000094342102291,0.10123270603503981,0.10123283037812505,0.9999058759903418,0.10129259884776473,0.1012327086660583,1.0000943994804319,0.10123283619508208,0.10129275059862212,1.00009429648949,0.10123271370856883,0.10123270461830582,1.0000942159035422,0.10123271356280143,0.10123270872283184,0.999908788039236,0.10129201020564602,0.10125183571182092,0.9999056529178451
9,23685.598028601093,12.927475632855277,1.014932697173208,99342.90099381418,7.75e-06,0.10122793571676554,0.10129753310708305,1.0001093096736038,0.101227941423247,0.1012280509658985,0.9998909529281661,0.10129729842317775,0.10122794709258996,1.000109367764409,0.10122807208838937,0.1012975165486508,1.0001091915028184,0.10122796149091565,0.10122793681494267,1.0001092446174618,0.1012279627364042,0.10122795117475608,0.9998941268995092,0.10129658983412998,0.10124892265526746,0.9998907411272306
