iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
0,0.02810166427981238,0.0031301160151349433,4.607095581945032,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081
1,0.029861178827634144,0.003130125901473278,9.536917444085702,0.7681027317107774,9.999999999999159e-07,1.8873510877182738,1.8873455924479352,1.8873455924467022,1.887345592446704,1.88734559244694,1.88734559244973,1.8873455924868328,1.887345592449245,1.8873455924473672,1.8873510877192632,1.000006920332885e-06,0.2817545251302966,0.43404178277273525,0.5310628053969159,0.5987775940486538,0.6489243261179196,0.6876468540170699,0.7185008534631502,0.7436900465984448,0.7646647176173081
2,0.03150806284667734,0.003130249684854796,8.536058145109564,0.2141226901559442,2.097999999999987e-05,1.8874087967992406,1.887292123741696,1.8872985990397302,1.8872954111584763,1.8872974169085168,1.8872892294236852,1.8873006835729425,1.887339332013089,1.8873240419493424,1.8873911499103797,2.2004591667908276e-05,0.2817749583352908,0.4340252642595926,0.5310447195465792,0.5987604935093307,0.6489435451446066,0.6876608563940089,0.7185210599463278,0.7436855864992205,0.7646647176173081
3,0.029328077395994488,0.0031305037233494257,5.93164793192409,0.2803217380120229,4.095999999999993e-05,1.8875211782723964,1.8871854406470163,1.887213475053242,1.8871974970054923,1.8871957558314707,1.8871779780067712,1.887202564053287,1.8873618763231401,1.887287427537523,1.887464166014126,6.294441479376448e-05,0.2818153960664001,0.4339963833403399,0.5310096395870622,0.5987245051701179,0.6489820258316761,0.6876814104899804,0.7185611230763314,0.7436778911811717,0.7646647176173081
4,0.026544047028603815,0.0031311976975687736,5.894595894962549,0.885053543317109,6.0939999999999996e-05,1.8876891406651768,1.887026950827493,1.8870717288557282,1.8870441963121296,1.8870388627883996,1.8870112861281771,1.887055816377478,1.8872990216447942,1.8872002950102662,1.8875957621062036,0.00012397438518303141,0.28186775104836986,0.43394656097916007,0.5309545316992219,0.5986693875037041,0.6490407752426144,0.6876909544851869,0.7185807461935106,0.7436528351282251,0.7646647176173081
5,0.030840148541468368,0.003131949036928057,5.935393925989047,0.25441718418015274,8.091999999999984e-05,1.8879123014489296,1.8868293432318186,1.8869006281975584,1.8868473345412715,1.8868260708699973,1.8868088700315162,1.8868589656290562,1.887266177879384,1.8871309025185907,1.887775225181838,0.00020517412333010746,0.281941241130171,0.43388746346739043,0.5308845733567842,0.5985968768125878,0.6491159680748928,0.6877058735456955,0.7186219415786606,0.7436416847756974,0.7646647176173081
6,0.029703925465063157,0.0031329075657583003,5.901501419022679,0.31474075849953437,0.0001008999999999999,1.8881894760778886,1.886576345527727,1.8867012993395647,1.8866006481526434,1.8865710252845425,1.8865574115289716,1.886605413482864,1.8872837907058193,1.8870905455279987,1.888010971738651,0.0003060473731568953,0.28203456045150876,0.4338213129828308,0.5307968307895967,0.5985081786415252,0.6492124269026445,0.6876912206853718,0.7186716676230672,0.7436413115235626,0.7646647176173081
7,0.02406155267655542,0.003134129694166326,6.054174797143787,0.36947634999019613,0.00012087999999999997,1.8885178299128345,1.8862758477457848,1.8864579609250607,1.8863037340532747,1.886277652936299,1.8862608692424712,1.8863170068943722,1.8873282658934578,1.8869315523323722,1.888291726354727,0.00042589020619192313,0.2821487282190377,0.4337410722294542,0.5306916879422746,0.5984069445752557,0.6493259253163302,0.6876712129527991,0.7187340466064867,0.7435903491385712,0.7646647176173081
8,0.02657718230844248,0.0031351418349427583,6.001151431817561,0.40525176193411994,0.00014085999999999992,1.8889024282445002,1.8859422890316144,1.8861630382548877,1.885961300583099,1.8859214989970206,1.8859627499905462,1.886194330891075,1.887376176639427,1.8866823092771534,1.8886348995917754,0.0005665442452029773,0.2822841881002744,0.4336414188190275,0.5305714359531711,0.5982825708858738,0.6494590641985876,0.6877230649014219,0.7188277895933725,0.7435045506120141,0.7646647176173081
9,0.024501656841440768,0.003136088800992614,6.204931932035834,0.3923893807727073,0.00016083999999999998,1.889339514250402,1.8855478842359954,1.8858261590630372,1.8855632246721747,1.885516263092948,1.8856860997455678,1.8861119503308523,1.8874953173890268,1.8864221807330612,1.8889367263034649,0.000726422555092834,0.2824370907532787,0.433529055777533,0.5304317084623099,0.5981416202697012,0.6496139377352365,0.6877945014096536,0.7189448484449799,0.7434215897617006,0.7646647176173081
10,0.02986727159289853,0.0031373316653432923,6.246984204975888,0.46128940399381746,0.00018081999999999983,1.8898261023467635,1.8850926474983065,1.8854450769262823,1.8851060131028061,1.885044042721155,1.8853700186471338,1.8859168153028514,1.8876507320562774,1.8861083001435088,1.8893123398219682,0.0009039703114455012,0.2826092667703461,0.43340457796700227,0.5302719347072873,0.5979757385267266,0.649787323854165,0.6878503149970778,0.7190852185547219,0.7433317937966377,0.7646647176173081
11,0.02911546310148323,0.0031386274528358146,6.139331744983792,0.21154291047505588,0.0002007999999999999,1.8903689958107592,1.8846016502948295,1.8850476060108363,1.8846132832120945,1.8845290703260977,1.8849942914634825,1.8856688194779114,1.8878664572277288,1.8858048385810198,1.8897071603057993,0.001102039364572125,0.282804740132435,0.43327702978056315,0.5300997270422987,0.597795301274733,0.6499788210773135,0.6879026948008168,0.7192459408175038,0.7432489103971772,0.7646647176173081
12,0.026680986731612295,0.003140157662366006,6.229709308128804,0.3719934967816716,0.00022077999999999996,1.8909692842704464,1.8840813904176263,1.8845901177798634,1.884088400947857,1.8839712723020539,1.8845561537648703,1.8854535646197839,1.8880642023724967,1.885392284600091,1.8901191701732067,0.0013215776682913094,0.2830216783325314,0.4331259398676154,0.5299165736710114,0.5976006277295095,0.6501746767175338,0.6879717696651272,0.7194164354738695,0.7431150779293447,0.7646647176173081
13,0.02673131358785931,0.0031435233081483016,6.148741053882986,0.8051682332624176,0.0002407599999999999,1.8916398447356932,1.8835554925301667,1.884039808222816,1.883495772751577,1.8833419145102308,1.8840281260480962,1.8853149013343904,1.8882689343240373,1.8849463068661485,1.8902693930167542,0.0015661489202755611,0.28302232947303463,0.43293745585247695,0.5297049716322646,0.5973770804088637,0.6501419281490465,0.6880139042294036,0.7195581962409696,0.7429614200439298,0.7646647176173081
14,0.03425584559776599,0.003146934408329963,6.109013502951711,0.1813165131831783,0.00026074,1.8923665341599696,1.8830286156385396,1.8834839044686125,1.8828761454365448,1.88267712039328,1.8834470273735329,1.8850961979475522,1.888503863527631,1.884517034772284,1.8904408514621154,0.0018308194580922265,0.28304668832896196,0.43274950049965244,0.5294847153176774,0.597144503484516,0.6501245827584515,0.6880488199203809,0.7197175915999713,0.7428155916053241,0.7646647176173081
15,0.028171249766685145,0.003150272316854755,5.901935469824821,0.2537208866168049,0.00028071999999999993,1.8931460975247056,1.882488470387679,1.8829021730106241,1.882218903683355,1.8819800360022478,1.8828015599974008,1.8848644688217246,1.8888029221056029,1.884098414163726,1.8906242028187514,0.0021154470375679964,0.2830934645562088,0.4325540266952188,0.5292516787173723,0.5969036255258865,0.6501127473833026,0.688106090417747,0.7199120796605547,0.7426751624176375,0.7646647176173081
16,0.030610292712818187,0.003153169775782266,5.92077396903187,0.4163934774416533,0.0003007,1.8939835803028697,1.8819324279588976,1.8822839155885476,1.881500163345514,1.8811935899148913,1.8822895322239308,1.884606767872526,1.88920629294547,1.8837820717659446,1.8909238865041398,0.0024212928774747355,0.28316217814945777,0.4323459726879201,0.5289987511290288,0.5966354485039256,0.6501486818694612,0.6882094031347331,0.7201481977762234,0.7425774309832993,0.7646647176173081
