iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
10,0.41238592194526147,0.00032036581708500965,0.10987337701953948,7.66133419055831,1.8819999999999986e-05,1.8875581536826873,1.8870760680892595,1.8870760343186332,1.8876206290163036,1.887076129584441,1.8870760465881598,1.8876206884375468,1.8876206119547578,1.8870760523807466,1.8876206452243942,1.8876207480065192,1.8870758302190909,1.8876206572100944,1.8876206763223864,1.887622173167025,-5.025353279006462e-06,0.28165443708204435,0.43394367793668714,0.5311629348838883,0.5986795208897091,0.6488242273501406,0.6875467573562972,0.7184007491095095,0.743591943728526,0.764565615443773,0.7823101484016838,0.7975252806103623,0.810919085368087,0.822475755204282,0.8325843815233089
11,0.41238108723744044,0.00032040851327490527,0.1401662090793252,7.667802810223839,2.079999999999999e-05,1.8876023028887339,1.8870189228486849,1.8870188854801973,1.8876777814529937,1.8870189993930497,1.887018906207489,1.8876778331024624,1.8876777510603047,1.8870189099208265,1.8876777812402246,1.8876779328756226,1.8870187342654419,1.8876778166790105,1.8876778527013331,1.8876797331839412,-1.0880506233643842e-05,0.28163363905209643,0.4339228786240568,0.5311837448503827,0.5986587302175531,0.6488034306896603,0.6875259604721154,0.7183799497886043,0.7435711447362819,0.7645448147691332,0.7822893507072176,0.7975044843662138,0.8109398909327014,0.8224965640158959,0.8325843815233089
12,0.4123758070235228,0.0003204553158088976,0.11239687097258866,7.659532925599774,2.2779999999999995e-05,1.88765087068497,1.8869563409625632,1.8869562943041438,1.887740373204908,1.8869564487276693,1.8869563327882395,1.8877404013586132,1.887740326957326,1.8869563331243024,1.8877403419508756,1.8877405541284773,1.8869562013066539,1.8877404209919566,1.8877404768213704,1.8877427767549846,-1.8128304222402976e-05,0.2816108622630286,0.4339000971427448,0.5312065307189855,0.5986359640130247,0.6487806562943811,0.6875031849679735,0.7183571719630689,0.743548367230048,0.7645220342078328,0.7822665736844496,0.7974817087506582,0.8109626781234985,0.8225193553280847,0.8325843815233089
13,0.41237009751521336,0.0003205062278230204,0.11566362786106765,7.6630848341816,2.476e-05,1.8877039487063885,1.8868883202293592,1.8868882618187108,1.8878084148205614,1.886888471148754,1.886888321893979,1.8878084108569142,1.887808338297135,1.8868883199668407,1.887808330139753,1.887808626419317,1.8868882518389414,1.887808472711193,1.887808553117351,1.8878113028087944,-2.6774932495617688e-05,0.2815861058033641,0.43387533509994014,0.5312313021963757,0.5986112233020767,0.6487559033622503,0.6874784310749597,0.71833241508674,0.7435236105099693,0.7644972731771295,0.7822418175785455,0.7974569546727456,0.8109874481989837,0.8225441305686076,0.8325843815233089
14,0.4123639559895201,0.0003205612604330184,0.10972299496643245,7.66235648504952,2.6740000000000005e-05,1.8877614679789225,1.8868148619503506,1.886814790160855,1.8878819192324927,1.8868150620142892,1.8868148759494967,1.8878818538802904,1.8878817896035471,1.8868148704468928,1.8878817436549373,1.887882171072099,1.8868148113781296,1.8878819680617909,1.8878820856488119,1.8878853107411684,-3.695958038937942e-05,0.28155937025190075,0.43384859355137945,0.5312580630483228,0.5985845084189991,0.6487291725471972,0.6874516991115688,0.7183056808874323,0.7434968746336925,0.7644705315339655,0.7822150840463229,0.7974302212113912,0.8110141954043288,0.8225708906385227,0.8325843815233089
15,0.41235739866491167,0.000320620418249542,0.11103747901506722,7.649037657673491,2.8719999999999996e-05,1.8878234486696226,1.8867359664120114,1.8867358868284478,1.88796086516898,1.8867362370033367,1.8867360077368693,1.8879606737335646,1.8879606705272667,1.8867359941443012,1.887960566672846,1.8879611479979446,1.8867360595207683,1.88796090445617,1.887961080590378,1.8879647939576787,-4.874896181221123e-05,0.2815306532140422,0.4338198730713356,0.5312867968118349,0.5985558182703827,0.6487004669359259,0.6874229903811215,0.7182769702922289,0.7434681622504877,0.7644418109910024,0.7821863732290028,0.7974015129556286,0.8110429278186693,0.8225996386373335,0.8325843815233089
16,0.4123504334247641,0.00032068370309836023,0.11413052398711443,7.656677244810579,3.07e-05,1.887889980400498,1.886651624893324,1.886651548530105,1.8880452867384097,1.886651988145362,1.8866517085144427,1.8880449201800065,1.8880449849701644,1.8866516843468726,1.8880448060187214,1.8880455969135295,1.886651935986873,1.888045290545507,1.8880455386647503,1.888049754787531,-6.210873710767258e-05,0.2814999521049465,0.43378917499034897,0.5313175278335837,0.5985251579338454,0.6486697851651011,0.6873923052907128,0.7182462830598605,0.7434374714395288,0.764411109665817,0.7821556852226723,0.7973708288679424,0.8110736452099679,0.822630374530393,0.8325843815233089
17,0.4123430527084363,0.00032075112376053516,0.11532500013709068,7.649259579407432,3.2680000000000006e-05,1.8879609555233918,1.886561840624931,1.8865617799148096,1.8881351588043547,1.8865623100311986,1.8865619866844126,1.8881345790304453,1.8881347206580756,1.8865619475914974,1.8881344590054632,1.8881354892528794,1.8865625488261455,1.8881351178832488,1.888135462314622,1.8881401920484138,-7.717779250767724e-05,0.2814672680852417,0.43375650084954087,0.5313502482057748,0.5984925256230349,0.6486371290173685,0.6873596448429096,0.7182136176512176,0.7434048036606763,0.764378429437312,0.7821230202946894,0.7973381726607881,0.811106353263284,0.8226630992310408,0.8325843815233089
18,0.41233527506456447,0.00032082269789624184,0.13422546489164233,7.646904541650834,3.466000000000001e-05,1.8880365159236852,1.8864666289890932,1.8864665698799779,1.8882304632602587,1.8864672035657113,1.886466839834407,1.8882296189516348,1.8882298829167927,1.8864667887347846,1.8882295015334647,1.888230817952876,1.886467852681479,1.888230407548823,1.888230859608022,1.8882361030374686,-9.389894387341205e-05,0.28143260738818454,0.43372184416617593,0.5313849472257635,0.5984579215410689,0.6486024980454133,0.6873250077556883,0.7181789752280292,0.7433701603133348,0.7643437690453551,0.7820883776187313,0.7973035412169156,0.8111410553590951,0.8226978173566346,0.8325843815233089
19,0.4123270932201706,0.0003208984194235363,0.12990420195274055,7.6559140051806285,3.664e-05,1.8881167205988045,1.8863659850090977,1.8863659055840811,1.8883311825810098,1.8863667161617117,1.8863662576289884,1.8883301086103155,1.8883304672407482,1.8863661963827933,1.8883299747765656,1.8883316478144092,1.8863678454836392,1.8883311471758994,1.888331738770133,1.8883374955071275,-0.00011221035054743782,0.28139597424160506,0.43368520436333213,0.5314216407845739,0.5984213592698369,0.6485658914501924,0.6872883953396719,0.7181423531286087,0.7433335379306479,0.7643071292978134,0.7820517605215865,0.7972669392379198,0.8111777501833614,0.8227345320031361,0.8325843815233089
