iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0
0,141.24384483427127,119.96034500836909,37.55892187007703,,,0.10126272219280587,0.10126272219280587,1.0
1,108.36007874982317,119.96040322856157,10.050666532013565,20247.088963502694,9.999999999999972e-07,0.10126335862807143,0.10126208575549382,1.0000019999816288
2,107.54986351542499,119.96654455895651,9.61876709596254,21999.143548253054,0.0001,0.10132052611547125,0.10119984767515207,1.0001993173637698
3,112.47254614074222,119.97219278959659,0.42977528111077845,23096.56168277276,9.701478472890248e-05,0.10137879494086909,0.10113984302566377,1.0003917477859114
4,111.18887599718596,119.978647793801,0.5861996570602059,25079.656809195163,8.84191999343894e-05,0.10141781993269369,0.10108449350800092,1.0005592257714464
5,122.2287306271661,119.98358481632025,0.40381889091804624,26950.371505758532,7.525e-05,0.10145563583382214,0.10103837108403813,1.0007050338919226
6,109.26174323990799,119.98756984744483,0.40581366093829274,26081.3718611826,5.909558479451306e-05,0.10148517258549634,0.10100156245439625,1.0008190810970872
7,106.29569901369626,119.99086155698292,0.4026342071592808,22706.655074321687,4.190441520548695e-05,0.10150130937101594,0.10097511953670164,1.0008971081840714
8,119.25144183146739,119.99288415465827,0.40991408796980977,19928.32896323691,2.5750000000000013e-05,0.10151147540767169,0.10095875304316676,1.0009457131216892
9,113.58112325879362,119.99383792642044,0.4267646078951657,15906.030777099526,1.2580800065610596e-05,0.10151686231249486,0.10095075064706646,1.0009698356906869
10,116.21660805531799,119.99413814008088,0.40825687581673265,20144.113200906548,3.985215271097538e-06,0.10151861416020355,0.1009482046381676,1.0009775382199553
