alg,alpha,K,cvar_bound,cvar_eps,cvar_sample
GD,0.01,1,23.388220225825897,0.1,15.135363580680531
NGD,0.01,1,23.388220225825552,0.1,15.135363580680531
GD,0.01,2,15.122937581924806,0.1,7.858127071846679
NGD,0.01,2,15.122937581924718,0.1,7.858127071846679
GD,0.01,3,11.425647666558463,0.1,5.15330739119551
NGD,0.01,3,10.895378485094584,0.1,4.58781758441094
GD,0.01,4,9.259003889984225,0.1,3.752699833240772
NGD,0.01,4,8.317434584599054,0.1,2.8595437633684737
GD,0.01,5,7.80315919218063,0.1,2.880709422137869
NGD,0.01,5,6.644753507071606,0.1,1.8484907311714425
GD,0.01,6,6.751028513374526,0.1,2.291209403395682
NGD,0.01,6,5.4290613003859605,0.1,1.2276192759025066
GD,0.01,7,5.972001041158876,0.1,1.8696314128524525
NGD,0.01,7,4.495279350173769,0.1,0.8326593367223485
GD,0.01,8,5.34676902962993,0.1,1.5556926254398895
NGD,0.01,8,3.762151993265033,0.1,0.6172365089332088
GD,0.01,9,4.834385790361371,0.1,1.314750105670662
NGD,0.01,9,3.17890862345678,0.1,0.479268817618914
GD,0.01,10,4.406643225768057,0.1,1.1254756396474648
NGD,0.01,10,2.71211074499546,0.1,0.3803782678612628
GD,0.01,11,4.044209471145773,0.1,0.9739986620354488
NGD,0.01,11,2.33570933304471,0.1,0.3061825806491948
GD,0.01,12,3.734006748841379,0.1,0.8508975351116049
NGD,0.01,12,2.0291488710701815,0.1,0.2548366031133787
GD,0.01,13,3.4654150629159295,0.1,0.7495476340358509
NGD,0.01,13,1.7772347769129595,0.1,0.2153757693928963
GD,0.01,14,3.23045972465258,0.1,0.6725701580592999
NGD,0.01,14,1.5684517252083676,0.1,0.182638494076146
GD,0.01,15,3.023734773958785,0.1,0.6162139214077722
NGD,0.01,15,1.3933895693915916,0.1,0.1551143304491284
GD,0.01,16,2.8402396257685507,0.1,0.5673572433263859
NGD,0.01,16,1.245753103208144,0.1,0.1317888228197363
GD,0.01,17,2.67612478149346,0.1,0.5246449180890366
NGD,0.01,17,1.119840739595407,0.1,0.1119967132333018
GD,0.01,18,2.529023001807516,0.1,0.4870292604766708
NGD,0.01,18,1.0122848224578271,0.1,0.0952928609991581
GD,0.01,19,2.3960778869205184,0.1,0.4536872262738829
NGD,0.01,19,0.9193139561159694,0.1,0.0816106867187227
GD,0.01,20,2.275530488829001,0.1,0.4239629468729774
NGD,0.01,20,0.8384773698476714,0.1,0.0727601424130037
GD,0.01,21,2.165726514763127,0.1,0.3973270815834659
NGD,0.01,21,0.7680394387828635,0.1,0.0652331439828182
GD,0.01,22,2.06541401868676,0.1,0.3733475319723532
NGD,0.01,22,0.7062516235390973,0.1,0.0587879566464459
GD,0.01,23,1.973483651701706,0.1,0.3516679807921551
NGD,0.01,23,0.6513983792932105,0.1,0.0532069686769269
GD,0.01,24,1.8887446055533716,0.1,0.3319919164250701
NGD,0.01,24,0.6030446972289059,0.1,0.048299604680293
GD,0.01,25,1.8106562378733733,0.1,0.3140705677131406
