alg,alpha,K,cvar_bound,cvar_eps,cvar_sample
NGD,0.01,25,0.5596589562294024,0.1,0.0439131362870397
GD,0.01,26,1.738328770051271,0.1,0.2977851981578585
NGD,0.01,26,0.5204968339332754,0.1,0.0399399880544883
GD,0.01,27,1.6712462835879254,0.1,0.2828569083666962
NGD,0.01,27,0.4859678405265711,0.1,0.0363163371132112
GD,0.01,28,1.6087848362216757,0.1,0.2690091149632306
NGD,0.01,28,0.454394039580084,0.1,0.0330232376590854
GD,0.01,29,1.5506586942271776,0.1,0.2561648750524661
NGD,0.01,29,0.425955207147793,0.1,0.0307960220188733
GD,0.01,30,1.4961582536956328,0.1,0.2455016567123905
NGD,0.01,30,0.3998817169838098,0.1,0.0287329379966839
GD,0.01,31,1.4454262929516108,0.1,0.2358568397917394
NGD,0.01,31,0.3763583539415532,0.1,0.0268205825487681
GD,0.01,32,1.3977474849399842,0.1,0.226819391305057
NGD,0.01,32,0.3548515443288094,0.1,0.0250450817606866
GD,0.01,33,1.3528557737147429,0.1,0.21833242078964
NGD,0.01,33,0.3352756066722213,0.1,0.023390238547223
GD,0.01,34,1.310702629129703,0.1,0.2103463017266504
NGD,0.01,34,0.3168044269787944,0.1,0.0218390704407331
GD,0.01,35,1.2708925632391568,0.1,0.2028175252321997
NGD,0.01,35,0.3002151821299215,0.1,0.0203766562798573
GD,0.01,36,1.233426990229938,0.1,0.1957077626032893
NGD,0.01,36,0.2851017073305548,0.1,0.0189925013675794
GD,0.01,37,1.1978975596112806,0.1,0.1889830942953955
NGD,0.01,37,0.2707195391438722,0.1,0.0176814401286094
GD,0.01,38,1.1643166294866003,0.1,0.1826133723604143
NGD,0.01,38,0.2574958294475459,0.1,0.0164429717390208
GD,0.01,39,1.1324447003928035,0.1,0.176571690536624
NGD,0.01,39,0.2450075620666016,0.1,0.0152795355219713
GD,0.01,40,1.102176100274333,0.1,0.170833941654105
NGD,0.01,40,0.2339414299539901,0.1,0.0141944573320961
GD,0.01,41,1.0734541573718783,0.1,0.1653784462305659
NGD,0.01,41,0.2231382197631554,0.1,0.0131901972895073
GD,0.01,42,1.0461084301266408,0.1,0.1601856393970138
NGD,0.01,42,0.2131656132029087,0.1,0.0122672572614017
GD,0.01,43,1.0200446992139498,0.1,0.1552378058400275
NGD,0.01,43,0.2039790333129325,0.1,0.0114238176029354
GD,0.01,44,0.9951928232219808,0.1,0.1505188544475199
NGD,0.01,44,0.1955003118101052,0.1,0.0106559651610477
GD,0.01,45,0.9714700890981762,0.1,0.1460141259245268
NGD,0.01,45,0.187236671726696,0.1,0.0099582792079343
GD,0.01,46,0.9487226834989394,0.1,0.1417102279000723
NGD,0.01,46,0.1796506230109375,0.1,0.0093245407298946
GD,0.01,47,0.9271725703664694,0.1,0.1375948930475047
NGD,0.01,47,0.1723151407647613,0.1,0.0087483848061122
GD,0.01,48,0.9064171140624692,0.1,0.1336568565439426
NGD,0.01,48,0.1657394472292959,0.1,0.0083001385098766
GD,0.01,49,0.8865643601501817,0.1,0.1298857498416697
NGD,0.01,49,0.1592810243313623,0.1,0.0079756624628234
GD,0.01,50,0.8674790810540141,0.1,0.1262720082481107
NGD,0.01,50,0.1536498923851388,0.1,0.0076655521612612
GD,0.05,1,15.845097152826444,0.1,14.599742239629492
NGD,0.05,1,15.845097152826511,0.1,14.599742239629492
GD,0.05,2,9.04953601050919,0.1,7.614017001888198
NGD,0.05,2,9.049536010680448,0.1,7.614017001888198
GD,0.05,3,6.232563613791843,0.1,4.815927331044817
NGD,0.05,3,5.658256403467084,0.1,4.237136424544662
GD,0.05,4,4.7487185328513375,0.1,3.409319728752853
NGD,0.05,4,3.9689392692728855,0.1,2.5574989931138505
GD,0.05,5,3.850928305161582,0.1,2.579747387994683
NGD,0.05,5,3.0189133709282707,0.1,1.6533496500131672
GD,0.05,6,3.24786549168531,0.1,2.049218779602106
NGD,0.05,6,2.41593175829758,0.1,1.1258484558922457
GD,0.05,7,2.81121069835667,0.1,1.678298606785655
NGD,0.05,7,2.008524745888894,0.1,0.8027761338031876
GD,0.05,8,2.4786307258195537,0.1,1.4053814446984085
NGD,0.05,8,1.7058797873358382,0.1,0.596019485261681
GD,0.05,9,2.2181860852726287,0.1,1.200514640519146
NGD,0.05,9,1.4743162212339544,0.1,0.46056704256593467
GD,0.05,10,2.011283808433048,0.1,1.0415204016463286
NGD,0.05,10,1.2927676457128827,0.1,0.3658918831375608
GD,0.05,11,1.8406781988215604,0.1,0.9146468786463006
NGD,0.05,11,1.1471848341137072,0.1,0.2969603833263486
GD,0.05,12,1.6975446902954383,0.1,0.8123214302612313
NGD,0.05,12,1.0283822022935272,0.1,0.2433002528235125
GD,0.05,13,1.5757581826985152,0.1,0.7273823833540609
NGD,0.05,13,0.9294365261063042,0.1,0.20081248873009314
GD,0.05,14,1.4708717651008254,0.1,0.656267913798591
NGD,0.05,14,0.8448874662857964,0.1,0.16781525437930314
GD,0.05,15,1.3796247424380337,0.1,0.5971853662635014
NGD,0.05,15,0.771776521461097,0.1,0.14141005920346514
GD,0.05,16,1.2994826533778732,0.1,0.5462512182065689
NGD,0.05,16,0.7078377905158245,0.1,0.12071105810513519
GD,0.05,17,1.2283893666064003,0.1,0.5029221936729218
NGD,0.05,17,0.6516379656145053,0.1,0.10408064074728354
GD,0.05,18,1.1648544912115228,0.1,0.46587756291719096
NGD,0.05,18,0.60179481179508,0.1,0.09035666649447072
GD,0.05,19,1.1076762774112263,0.1,0.43431190351775745
NGD,0.05,19,0.5571986425153695,0.1,0.07910845521569083
GD,0.05,20,1.0561991254135907,0.1,0.4061342997529508
NGD,0.05,20,0.5171091098387515,0.1,0.0697896261596265
GD,0.05,21,1.0094314371848634,0.1,0.38083496250803883
NGD,0.05,21,0.4809561842460408,0.1,0.06188150315942279
GD,0.05,22,0.9665803744017264,0.1,0.35800209565957447
NGD,0.05,22,0.448232298109661,0.1,0.05518878733837884
GD,0.05,23,0.9271814837297728,0.1,0.33757106863821457
NGD,0.05,23,0.4185143960214719,0.1,0.04985848369456878
GD,0.05,24,0.8908034658372691,0.1,0.3194086943839306
NGD,0.05,24,0.3914653230898288,0.1,0.045428676407643837
GD,0.05,25,0.8571028234578134,0.1,0.3028082412333642
NGD,0.05,25,0.3667603026413127,0.1,0.04147947941387879
GD,0.05,26,0.8257966432484761,0.1,0.28757995191233177
NGD,0.05,26,0.3441392530802953,0.1,0.0379242240153316
GD,0.05,27,0.7966287868498051,0.1,0.27356391802204527
NGD,0.05,27,0.3234058243629934,0.1,0.034702601411600295
GD,0.05,28,0.7693850074990565,0.1,0.26062439847751717
NGD,0.05,28,0.30435553012093,0.1,0.03177454695489541
GD,0.05,29,0.7441248107668358,0.1,0.24864538658374385
NGD,0.05,29,0.2868467918082273,0.1,0.02915002942186904
GD,0.05,30,0.7206651246457365,0.1,0.23752711853172728
NGD,0.05,30,0.2707345694821375,0.1,0.02684538492297356
GD,0.05,31,0.6985923491856143,0.1,0.2271832989850416
NGD,0.05,31,0.255894460692991,0.1,0.02476036844647942
GD,0.05,32,0.6777924025877154,0.1,0.21753887815513676
NGD,0.05,32,0.2421707005810607,0.1,0.02287717493683202
GD,0.05,33,0.6581400659916099,0.1,0.2085282568529518
NGD,0.05,33,0.2295109273170474,0.1,0.021175694410795882
GD,0.05,34,0.6395598147135194,0.1,0.20009382649858765
NGD,0.05,34,0.2177593328624892,0.1,0.01963462106962994
GD,0.05,35,0.6219604537330516,0.1,0.1921847733923156
NGD,0.05,35,0.2068920278221595,0.1,0.01823326330301562
GD,0.05,36,0.6052664014242013,0.1,0.18475609304912835
NGD,0.05,36,0.1967763412912936,0.1,0.01695319595505152
GD,0.05,37,0.5894118433660583,0.1,0.1779293439027527
NGD,0.05,37,0.1873677795795316,0.1,0.015779216967524164
GD,0.05,38,0.5743666735373584,0.1,0.1715628947393706
NGD,0.05,38,0.1786066190381827,0.1,0.0146994694068242
GD,0.05,39,0.5601280996073142,0.1,0.16555548430856296
NGD,0.05,39,0.170440543879416,0.1,0.013704908813252838
GD,0.05,40,0.546560561859306,0.1,0.15987925829933936
NGD,0.05,40,0.1627904175125328,0.1,0.012790825000278361
GD,0.05,41,0.5336185728287257,0.1,0.1545091524621245
NGD,0.05,41,0.1556563207756128,0.1,0.0119733804355701
GD,0.05,42,0.5212605911683268,0.1,0.14942254841963387
NGD,0.05,42,0.1489634855909752,0.1,0.01122154819600522
GD,0.05,43,0.5096669561390789,0.1,0.14459897967112215
NGD,0.05,43,0.1426908047426011,0.1,0.010530216689855659
GD,0.05,44,0.4986709529325323,0.1,0.14001987942659286
NGD,0.05,44,0.1367862108044318,0.1,0.009894101821078919
GD,0.05,45,0.4881367472843102,0.1,0.1356683634600161
NGD,0.05,45,0.1312507631659423,0.1,0.009312556982324879
GD,0.05,46,,,0.13152904240755342
NGD,0.05,46,,,0.008795155989118262
GD,0.05,47,,,0.1275878589275728
NGD,0.05,47,,,0.00832329190514746
GD,0.05,48,,,0.12383194593692248
NGD,0.05,48,,,0.00788318331276048
GD,0.05,49,,,0.12039323281880512
NGD,0.05,49,,,0.00747167762521486
GD,0.05,50,,,0.1171326884091285
NGD,0.05,50,,,0.00708615319941706
GD,0.1,1,14.600682306201024,0.1,14.136512392683892
NGD,0.1,1,14.600682306200964,0.1,14.136512392683892
GD,0.1,2,8.101430506052395,0.1,7.429324713307072
NGD,0.1,2,8.101430506047532,0.1,7.429324713307072
GD,0.1,3,5.402760954331013,0.1,4.699642892111458
NGD,0.1,3,4.8251896088492074,0.1,4.120795934606134
GD,0.1,4,4.016920900036338,0.1,3.321773916426006
NGD,0.1,4,3.2186982049300066,0.1,2.48632309003752
GD,0.1,5,3.1905438309126173,0.1,2.512906766158211
NGD,0.1,5,2.332394390808455,0.1,1.5983226098531798
GD,0.1,6,2.638452842459096,0.1,1.9822387090047286
NGD,0.1,6,1.7940181299275102,0.1,1.0922408143945828
GD,0.1,7,2.2471233912108945,0.1,1.6205038757883994
NGD,0.1,7,1.440695055949566,0.1,0.7821808602853733
GD,0.1,8,1.9550347850124712,0.1,1.3615366764534298
NGD,0.1,8,1.1977685954303618,0.1,0.5809666685394628
GD,0.1,9,1.7282105194307726,0.1,1.1650735014269713
NGD,0.1,9,1.0214858720509,0.1,0.4449321667401372
GD,0.1,10,1.5468579628943138,0.1,1.0112851829728895
NGD,0.1,10,0.8869522791812344,0.1,0.3507503283101961
GD,0.1,11,1.398892683152125,0.1,0.8891418282569626
NGD,0.1,11,0.7818425584927725,0.1,0.2827401642368826
GD,0.1,12,1.2777329320739814,0.1,0.7910746434052214
NGD,0.1,12,0.6981424862159079,0.1,0.2311111338030948
GD,0.1,13,1.1763134151043677,0.1,0.7099538481060752
NGD,0.1,13,0.6299339624268171,0.1,0.19106413254492688
GD,0.1,14,1.0894944759785323,0.1,0.6416929917511477
NGD,0.1,14,0.5734825051082123,0.1,0.15940681976838003
GD,0.1,15,1.0143986509510987,0.1,0.5835802287966542
NGD,0.1,15,0.5255204540129567,0.1,0.13477170226706187
GD,0.1,16,0.9492055204317712,0.1,0.5341193427441954
NGD,0.1,16,0.4844207263137271,0.1,0.1148784522054048
GD,0.1,17,0.892025600831225,0.1,0.4914418908174077
NGD,0.1,17,0.4485954668340213,0.1,0.09876305246522885
GD,0.1,18,0.8413453118344563,0.1,0.45406954556350715
NGD,0.1,18,0.4169416237231581,0.1,0.08562437929690866
GD,0.1,19,0.796140767550442,0.1,0.4211362862211542
NGD,0.1,19,0.3889083336768166,0.1,0.07469653446933508
GD,0.1,20,0.7555913562458253,0.1,0.39271679110808927
NGD,0.1,20,0.363835232675795,0.1,0.06581104075250749
GD,0.1,21,0.7190253957206566,0.1,0.3672984015984391
NGD,0.1,21,0.341250523476555,0.1,0.05859141723900346
GD,0.1,22,0.6859008682055611,0.1,0.34481183995368847
NGD,0.1,22,0.3207455634542585,0.1,0.052574816766056985
GD,0.1,23,0.655770481423557,0.1,0.3246529747831429
NGD,0.1,23,0.3020526703063966,0.1,0.047351507520720586
GD,0.1,24,0.628253097388826,0.1,0.30635562540195305
NGD,0.1,24,0.2849382628592724,0.1,0.042749050690462385
GD,0.1,25,0.6030338065234344,0.1,0.2899004363253924
NGD,0.1,25,0.2693052304459463,0.1,0.03879488744256092
GD,0.1,26,0.579840844401065,0.1,0.2749148657269268
NGD,0.1,26,0.2548965908480921,0.1,0.03527737496488416
GD,0.1,27,0.5584412646929614,0.1,0.26118814770243576
NGD,0.1,27,0.2415766935376908,0.1,0.03211220416584558
GD,0.1,28,0.538680526812069,0.1,0.2485496433432821
NGD,0.1,28,0.2292181712577915,0.1,0.029279690064146248
GD,0.1,29,0.5203529613362319,0.1,0.2368799738639514
NGD,0.1,29,0.2177153566188381,0.1,0.02678148468763305
GD,0.1,30,0.5032801734521497,0.1,0.2260766005804033
NGD,0.1,30,0.2069950122130453,0.1,0.02452159866762402
GD,0.1,31,,,0.21620081541981367
NGD,0.1,31,,,0.02250865892237665
GD,0.1,32,,,0.2070178484207729
NGD,0.1,32,,,0.02079416910787486
GD,0.1,33,,,0.1984542212796844
NGD,0.1,33,,,0.019269147187487057
GD,0.1,34,,,0.1904521722435674
NGD,0.1,34,,,0.01788420783723868
GD,0.1,35,,,0.1829608678984304
NGD,0.1,35,,,0.016620774503606807
GD,0.1,36,,,0.17593539030355831
NGD,0.1,36,,,0.015471976193279311
GD,0.1,37,,,0.16933589700460897
NGD,0.1,37,,,0.01443883185912761
GD,0.1,38,,,0.16312692056393266
NGD,0.1,38,,,0.013487505823394882
GD,0.1,39,,,0.15728837910485813
NGD,0.1,39,,,0.012635057080683252
GD,0.1,40,,,0.1518562542634862
NGD,0.1,40,,,0.01184739039901054
GD,0.1,41,,,0.1467399328587827
NGD,0.1,41,,,0.011116745193843711
GD,0.1,42,,,0.14193263255247318
NGD,0.1,42,,,0.010437891849296362
GD,0.1,43,,,0.13737651880844254
NGD,0.1,43,,,0.009808974174049679
GD,0.1,44,,,0.13305344612706335
NGD,0.1,44,,,0.00922808940136635
GD,0.1,45,,,0.12894695348971813
NGD,0.1,45,,,0.008686504564309899
GD,0.1,46,,,0.12504207335457634
NGD,0.1,46,,,0.008189672106280372
GD,0.1,47,,,0.1213251661160634
NGD,0.1,47,,,0.007733990495337709
GD,0.1,48,,,0.11778377615200983
NGD,0.1,48,,,0.007309751425078971
GD,0.1,49,,,0.11440650624123916
NGD,0.1,49,,,0.006918373779628581
GD,0.1,50,,,0.11118290767017906
NGD,0.1,50,,,0.006555947383609551
