K,alpha,GD_worst_bound,GD_worst_sample,GD_exp_bound,GD_exp_eps,GD_exp_sample,GD_cvar_bound,GD_cvar_eps,GD_cvar_sample,NGD_worst_bound,NGD_worst_sample,NGD_exp_bound,NGD_exp_eps,NGD_exp_sample,NGD_cvar_bound,NGD_cvar_eps,NGD_cvar_sample
1,0.05,61.266135105729795,15.135363580680531,12.002488117462454,0.3162277660168379,11.712367341036941,14.847476779529352,0.0501187233627272,14.599742239629496,61.266135105729795,15.135363580680531,12.002488117462462,0.3162277660168379,11.712367341036941,14.847476779529243,0.0501187233627272,14.599742239629496
2,0.05,36.75968082779911,7.858127071846679,6.270739393269272,0.1467799267622069,6.152276891322466,7.709645951380528,0.0229086765276777,7.6140170018881985,36.75968082779911,7.858127071846679,6.27073939326927,0.1467799267622069,6.152276891322466,7.709645951380519,0.0229086765276777,7.6140170018881985
3,0.05,26.25691503581076,5.15330739119551,4.008876242110085,0.1,3.925632656712687,5.070760505500009,0.0229086765276777,4.815927331044817,24.300682611105792,4.58781758441094,3.5338829286082816,0.1,3.4471722342693107,4.5044279042806075,0.0229086765276777,4.237136424544663
4,0.05,20.4220447567257,3.752699833240772,2.8733931164010316,0.1,2.7795715372645167,3.710229713965825,0.0229086765276777,3.409319728752853,17.21574813334149,2.8595437633684737,2.1232081970753476,0.0501187233627272,2.0715943023443244,2.6994655778465098,0.0104712854805089,2.5574989931138505
5,0.05,16.708945668292223,2.880709422137869,2.1512881270806643,0.0501187233627272,2.1000744377585807,2.727300711583481,0.0104712854805089,2.579747387994683,12.8268377940907,1.8484907311714425,1.3596738306335834,0.0229086765276777,1.3278821608877456,1.751701196152943,0.0047863009232263,1.6533496500131672
6,0.05,14.13833855621889,2.291209403395682,1.712365649089872,0.0501187233627272,1.6587178284655468,2.2134325471097465,0.0104712854805089,2.049218779602106,9.926163337991731,1.2276192759025066,0.920553280128158,0.0104712854805089,0.8996939368005862,1.2017244255202428,0.0021877616239495,1.1258484558922457
7,0.05,12.253226980399074,1.8696314128524525,1.383728935154361,0.0229086765276777,1.353143819527116,1.7712544714064251,0.0047863009232263,1.6782986067856545,7.910808632269235,0.8326593367223485,0.6517623491788411,0.0047863009232263,0.6383637981336622,0.8765812947980876,0.0021877616239495,0.8027761338031878
8,0.05,10.811670454783956,1.5556926254398895,1.1617834996967624,0.0229086765276777,1.1313325369281735,1.5036105063008662,0.0047863009232263,1.4053814446984085,6.454129272916404,0.6172365089332088,0.4785470414146514,0.0021877616239495,0.4702764465668868,0.6598104197908861,0.0021877616239495,0.596019485261681
9,0.05,9.673599761642048,1.314750105670662,0.9938415822951968,0.0229086765276777,0.9643333349549756,1.2678848090407724,0.0021877616239495,1.200514640519146,5.367109557469499,0.479268817618914,0.3620893430859996,0.001,0.35712071366073006,0.5084645237775646,0.0021877616239495,0.4605670425659348
10,0.05,8.752304926622775,1.1254756396474648,0.8536868657975376,0.0104712854805089,0.8348896949965452,1.110768635183406,0.0021877616239495,1.0415204016463286,4.534347836886653,0.3803782678612628,0.281426856785708,0.001,0.27798040429272164,0.3995044014473174,0.0021877616239495,0.3658918831375608
11,0.05,7.991234793880639,0.9739986620354488,0.7500294467232742,0.0104712854805089,0.7321465808641466,0.9836726722630412,0.0021877616239495,0.9146468786463006,3.88219373900054,0.3061825806491948,0.2231961744548455,0.001,0.2208367908521889,0.3223729596795475,0.0021877616239495,0.2969603833263486
12,0.05,7.351933132432975,0.8508975351116049,0.6614157285601696,0.0047863009232263,0.648972038668801,0.8789271517991709,0.0021877616239495,0.8123214302612313,3.3618636126602577,0.2548366031133787,0.1809737629359592,0.0021877616239495,0.17843854233252618,0.2650135909312478,0.0021877616239495,0.2433002528235125
13,0.05,6.807348262788776,0.7495476340358509,0.592163805203214,0.0047863009232263,0.5805085189636603,0.7913793959624859,0.0021877616239495,0.7273823833540609,2.9400087602851603,0.2153757693928963,0.148345350454825,0.0021877616239495,0.14624116479417432,0.2212697333962255,0.0021877616239495,0.20081248873009314
14,0.05,6.33787551762594,0.6725701580592999,0.5342167592306023,0.0047863009232263,0.5233457686939589,0.7172982241480652,0.0021877616239495,0.656267913798591,2.5932055666212257,0.182638494076146,0.1232137902785177,0.0021877616239495,0.12131363132570903,0.1888592286784566,0.0021877616239495,0.16781525437930317
15,0.05,5.928980490837317,0.6162139214077722,0.4851584585381105,0.0047863009232263,0.4750268571326158,0.6546467808907334,0.0021877616239495,0.5971853662635015,2.3046093523247984,0.1551143304491284,0.1035587540714561,0.0021877616239495,0.10171147475682842,0.1494900717181434,0.001,0.14141005920346517
16,0.05,5.569648052593185,0.5673572433263859,0.4431836628274984,0.0047863009232263,0.43374167578331735,0.6010471771909559,0.0021877616239495,0.5462512182065687,2.0618565658530774,0.1317888228197363,0.0879830173917701,0.0021877616239495,0.08610119462974182,0.130736939112219,0.001,0.12071105810513516
17,0.05,5.251382729603941,0.5246449180890366,0.4050022469321122,0.0021877616239495,0.3981304039163006,0.5542487149247884,0.0021877616239495,0.5029221936729218,1.8557027198974487,0.1119967132333018,0.0754949620217145,0.0021877616239495,0.07353573167362999,0.1150565857421801,0.001,0.10408064074728351
