K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
1,0.041177656030270605,0.052770466344054856,0.05115816188929005,0.04884487641804067,0.04778762295404569
2,0.020345885219814824,0.026399832974158686,0.02572772305799463,0.02452976707035882,0.023888646754054492
3,0.010109868315433597,0.013511024952186063,0.013443110908866976,0.012627067448508797,0.012282287012192082
4,0.005058137832468363,0.007543721725007382,0.007244116600640741,0.006661968063833824,0.006425396253704257
5,0.0025587657842747295,0.004290928564275987,0.004000323057908334,0.003591264322876232,0.003433219751281456
6,0.0013199279215811955,0.002509356633427001,0.002273840764878879,0.0020078114066974066,0.0018923338164019935
7,0.0007027086895683566,0.0015122273004981766,0.0013559141440424739,0.001161916614601269,0.0010970228052696194
8,0.00039167090847586474,0.0009354090572981777,0.0008363937171949947,0.0007099859829546972,0.0006648653760196251
9,0.0002318031721092699,0.0005909004576393781,0.0005397019520070909,0.0004663851705754197,0.00042812938898328007
10,0.00014702168970962437,0.00038043200536635124,0.00036500062444769357,0.0003267043279305463,0.00029202854654212276
11,9.98499634547565e-05,0.00027973470512722724,0.0002661683840324054,0.00023728624769107448,0.00021077537942311206
12,7.174821180946505e-05,0.00022173926936114595,0.0002062711256324478,0.00017815737178183939,0.00015709090433308148
13,5.355488215517489e-05,0.00017170141625827393,0.00015881190868580574,0.00013567701509484604,0.00011835526780588855
14,4.078660324540371e-05,0.0001290555308367485,0.0001227830787669777,0.00010402842062777148,8.953736270900724e-05
15,3.1276249587959556e-05,9.39691953370212e-05,9.345693624123437e-05,8.001599125046874e-05,6.785510204879226e-05
16,2.396876383984839e-05,7.38798398665851e-05,7.373662493000735e-05,6.116919946422817e-05,5.151984676344464e-05
17,1.8314856616123996e-05,5.807360632573454e-05,5.781581721670005e-05,4.63133920466814e-05,3.882013609990811e-05
18,1.3980586603725447e-05,4.496482196376595e-05,4.471784329396801e-05,3.545756940287623e-05,2.93208981397319e-05
19,1.0719865546401333e-05,3.641527190869809e-05,3.536322277876906e-05,2.720334188214792e-05,2.246042245760013e-05
20,8.32498188599616e-06,2.977387055609936e-05,2.7843960358400244e-05,2.1317850601883944e-05,1.7874421808876092e-05
21,6.610677784943824e-06,2.4198187444858268e-05,2.1864839948341775e-05,1.7079861422505068e-05,1.4449567327023979e-05
22,5.411164503123379e-06,1.953304390776677e-05,1.719519125967233e-05,1.3487032431617867e-05,1.1539145217959886e-05
23,4.581720567595916e-06,1.572433469764726e-05,1.3634767193643234e-05,1.0678584059808869e-05,9.33091570466651e-06
24,4.001509835445604e-06,1.274050307003048e-05,1.1100047960911235e-05,8.68708116565601e-06,7.769955808134784e-06
25,3.575793732016055e-06,1.0521613646298988e-05,9.322991847230537e-06,7.546534517048556e-06,6.614340145788745e-06
26,3.2362916909890736e-06,8.96004410726039e-06,8.07944219796885e-06,6.641105424375024e-06,5.939791091817935e-06
27,2.9391063933231733e-06,7.90801764319257e-06,7.194820931691904e-06,6.003251638768537e-06,5.519241947465961e-06
28,2.6604398403164867e-06,7.2013520587679545e-06,6.63770796659603e-06,5.757483939954711e-06,5.223520769485143e-06
29,2.390988351277782e-06,6.68707625192994e-06,6.410686607231875e-06,5.582501794582275e-06,5.008412426408482e-06
30,2.1301843017490457e-06,6.244896840787778e-06,6.1087812552070785e-06,5.281944317334551e-06,4.766681228271829e-06
