eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.0005,0.0,0.0,0.0
0.001,0.032,0.0,0.0
0.005,0.248,0.0,0.0
0.01,0.38,0.0,0.0
0.05,0.698,0.07,0.004
0.1,0.828,0.21,0.222
0.5,0.974,0.662,1.0
1.0,0.994,0.842,1.0
