eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.0,0.0,0.0
0.0005,0.011,0.0,0.0
0.001,0.129,0.0,0.0
0.005,0.933,0.0,0.0
0.01,0.994,0.008,0.0
0.05,1.0,0.76,0.0
