iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
0,1.9492001457726673,0.0016235802486169017,0.2594466669834219,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434
1,1.9492001457726673,0.0016235885499881549,0.3932115000206977,7.2534555522021185,9.999999999999972e-07,1.2500022360697167,1.2499977639322815,1.249997763932361,1.2500022360697178,1.2499977639322755,1.2499977639322866,1.2499977639322835,1.2499977639322761,1.2500022360697107,1.2499977639322755,1.2499977639322761,1.249997763932286,1.0000003298401315e-06,0.2817525251249922,0.43404178277997923,0.5310648054047448,0.5987775940557096,0.6489223261220702,0.6876448540102272,0.7184988534587994,0.7436900466050533,0.7646637176169757,0.7824082432276828,0.7976243809601434
2,1.9491982245348571,0.0016236132876719937,0.3518617919762619,7.261053539902877,2.980000000000002e-06,1.2500088997781191,1.2499911005252764,1.2499911006372972,1.2500088996827492,1.2499911004806334,1.2499911005887048,1.2499911004984625,1.2499911004788857,1.2500088995706442,1.249991100522212,1.2499911002922124,1.2499911004740683,3.982579949719385e-06,0.2817495451448817,0.43403880280116675,0.5310677856693582,0.5987746140838065,0.6489193461576613,0.6876418740343795,0.7184958734742956,0.7436870666403796,0.7646607376547482,0.7824052632060406,0.7976243809601434
3,1.9491924964726528,0.0016236544640547124,0.018561000004410744,7.261074868942003,4.960000000000007e-06,1.250019991047013,1.2499800098297384,1.2499800103418075,1.2500199910078422,1.249980009578784,1.2499800102287946,1.2499800101098921,1.2499800101202825,1.2500199887909627,1.249980009438303,1.2499800083450354,1.2499800084795554,8.948576155582465e-06,0.2817445851655913,0.43403384274468115,0.5310727452827821,0.5987696539542695,0.648914386263497,0.6876369141699739,0.7184909136444739,0.7436821067707342,0.7646557776792694,0.7824003029238055,0.7976243809601434
4,1.9491829582671734,0.0016237120798978347,0.018368833989370614,7.263489429005822,6.939999999999998e-06,1.2500355116358917,1.2499644910648477,1.2499644964127805,1.250035512250412,1.2499644922679387,1.2499644941569195,1.2499644942030959,1.249964493941657,1.2500354997003782,1.2499644896155164,1.2499644852254008,1.249964484599627,1.589883806565153e-05,0.2817376446930014,0.43402690236159885,0.5310796850171243,0.5987627138251629,0.6489074468561867,0.6876299747024511,0.7184839743533962,0.7436751673792695,0.7646488376082811,0.7823933615830668,0.7976243809601434
5,1.9491696038682353,0.0016237861401593898,0.018179540988057852,7.258247382128416,8.919999999999989e-06,1.2500554583768841,1.2499445466746966,1.2499445510718774,1.2500554584161836,1.2499445467676842,1.249944547977434,1.2499445488610232,1.249944549435403,1.2500554440002016,1.249944544827873,1.249944540046313,1.2499445391902801,2.4831851174317057e-05,0.2817287250925993,0.4340179825312091,0.5310886059665668,0.5987537937449299,0.648898526674801,0.6876210547166367,0.7184750545622067,0.7436662474762148,0.7646399177569614,0.7823844416398482,0.7976243809601434
6,1.9491524263987798,0.0016238766491038475,0.018463249958585948,7.259085628179661,1.0899999999999994e-05,1.2500798330010334,1.2499201740824115,1.2499201802953954,1.2500798328711242,1.2499201754388412,1.2499201754242375,1.24992017843925,1.2499201798214812,1.250079812008441,1.2499201712910002,1.2499201653373084,1.249920163603821,3.5748314369668234e-05,0.28171782494880526,0.4340070822818049,0.5310995044255643,0.5987428939027836,0.6488876269209435,0.6876101552633473,0.7184641554333357,0.7436553482874013,0.7646290178976334,0.7823735410539273,0.7976243809601434
7,1.9491314256035226,0.0016239836094922196,0.018530750006902963,7.255684849326347,1.2879999999999999e-05,1.250108634759239,1.2498913770766131,1.2498913819342168,1.2501086319393553,1.249891376918995,1.2498913731305086,1.249891378845609,1.2498913832840515,1.2501086130297865,1.249891371553807,1.2498913694710283,1.2498913660965298,4.864753811612921e-05,0.28170494607619545,0.43399420306682207,0.5311123833137403,0.5987300145534837,0.6488747468711259,0.6875972756836985,0.7184512763112477,0.7436424693962377,0.7646161383078816,0.7823606620767154,0.7976243809601434
8,1.9491065946879893,0.0016241070262124967,0.018440333020407706,7.257921838360539,1.4860000000000003e-05,1.2501418678080618,1.2498581514770848,1.249858169121203,1.2501418625778395,1.2498581539919602,1.2498581457248603,1.2498581572853484,1.2498581649790519,1.2501418293962128,1.2498581404285556,1.2498581408253218,1.2498581317009687,6.353129724463792e-05,0.2816900862115789,0.43397934365477464,0.531127240297339,0.5987151554745707,0.6488598879552526,0.6875824174402966,0.7184364189771066,0.7436276124310952,0.7646012785221976,0.7823458013674389,0.7976243809601434
9,1.949077939754447,0.0016242469047923255,0.018264791986439377,7.254071770674399,1.6840000000000008e-05,1.2501795306856947,1.2498204981926666,1.2498205343599613,1.250179522120741,1.2498205049936952,1.2498204905473587,1.249820511982312,1.2498205242780114,1.2501794674932325,1.2498204803025006,1.2498204888039195,1.2498204690637504,8.039846447421148e-05,0.2816732459708564,0.43396250433482714,0.5311440784141801,0.5986983168275632,0.6488430494647173,0.6875655803017087,0.7184195831351072,0.7436107770698335,0.7645844389751564,0.7823289616019462,0.7976243809601434
10,1.9490454716237884,0.0016244032521782886,0.01836975000333041,7.253772557981594,1.8819999999999986e-05,1.2502216251691962,1.2497784188710708,1.2497784881630416,1.2502216131976502,1.24977843289074,1.2497784080096102,1.2497784467329378,1.2497784647319252,1.2502215183246572,1.2497783877461688,1.2497784056653796,1.2497783690402389,9.924974398215506e-05,0.2816544256173514,0.4339436852710362,0.531162894278328,0.5986794988556556,0.6488242322043307,0.6875467652853285,0.7184007700523019,0.7435919647640046,0.7645656193394301,0.7823101403920563,0.7976243809601434
11,1.9490092084542632,0.0016245760779114136,0.018298709008377045,7.247777364283824,2.079999999999999e-05,1.2502681470933332,1.249731919708258,1.2497320156748604,1.2502681234684314,1.2497319333417696,1.2497318897188074,1.2497319534976066,1.2497319837237038,1.250268005229244,1.249731868511532,1.2497319122913828,1.24973185397352,0.00012008251006370046,0.2816336284823072,0.4339228887716571,0.5311836882587727,0.598658701665572,0.6488034339474352,0.6875259708647884,0.7183799784226197,0.7435711749151874,0.7645448206013937,0.78228934364828,0.7976243809601434
12,1.9489691768229815,0.001624765386684471,0.018583791970741004,7.245058164622401,2.2779999999999995e-05,1.2503190976021068,1.2496810007051014,1.2496811321038752,1.2503190525111862,1.2496810105776772,1.2496809334750965,1.2496810380156256,1.2496810842521084,1.2503189243494597,1.249680918874312,1.249681007350657,1.24968091810959,0.000142896814493406,0.2816108543700088,0.43390011594800415,0.5312064568014996,0.5986359265928388,0.6487806552049807,0.6875031981818487,0.7183572094221161,0.7435484094331151,0.7645220425456667,0.7822665707119939,0.7976243809601434
13,1.9489254147640254,0.0016249711883396898,0.018724207999184728,7.2400943174352355,2.476e-05,1.2503744714489793,1.24962566571827,1.2496258296759877,1.250374394146267,1.2496256629600615,1.2496255346807223,1.249625695664212,1.2496257651547693,1.2503742846212031,1.2496255422058613,1.2496257057609115,1.2496255756763734,0.00016768987679215394,0.2815861051085926,0.4338753678368416,0.5312312018216229,0.5986111740939721,0.6487558953304714,0.6874784469607546,0.7183324626891118,0.7435236676053883,0.7644972855309734,0.7822418255040047,0.7976243809601434
14,1.9488780040911051,0.0016251934879038823,0.018504042003769428,7.236325095447537,2.6740000000000005e-05,1.2504342692819321,1.2495659156661791,1.2495661077715163,1.2504341480824446,1.2495658908034002,1.249565687934271,1.2495659309364189,1.2495660297756503,1.2504340864833088,1.2495657372090059,1.2495660130583137,1.2495658278397652,0.00019446145659703787,0.28155938116277457,0.43384864479445123,0.5312579259937059,0.5985844448925398,0.648729154047725,0.6874517185053101,0.718305739463762,0.7434969512231423,0.764470549837262,0.782215109461772,0.7976243809601434
15,1.9488270679906736,0.0016254323022891065,0.018486833956558257,7.231842116157191,2.8719999999999996e-05,1.2504984876620384,1.2495017542692306,1.2495019743716242,1.2504983060204098,1.2495016956620577,1.249501389576198,1.249501742401506,1.2495018821881942,1.250498328978126,1.2495015027351086,1.249501933730124,1.249501676224317,0.0002232095699665822,0.2815306842156772,0.43381994875568913,0.531286617735275,0.5985557393587916,0.6487004311616721,0.6874230131378347,0.7182770408470085,0.7434682617655024,0.7644418355766653,0.7821864235436848,0.7976243809601434
16,1.9487725747843516,0.001625687637165044,0.01829962502233684,7.226971159981746,3.07e-05,1.2505671290656295,1.2494331836860428,1.2494334349090066,1.2505668685459363,1.2494330804153164,1.2494326390572847,1.249433135625854,1.2494333274806837,1.250566994792602,1.2494328380667963,1.2494334683939552,1.249433117418711,0.0002539347245611136,0.28150001506579003,0.4337892803719416,0.5313172796648347,0.59852505900448,0.6486697278460178,0.6873923330302448,0.7182463688791325,0.7434376004188661,0.7644111431202043,0.7821557679068054,0.7976243809601434
17,1.9487145882732666,0.0016259594970940022,0.018468666006810963,7.223556877614895,3.2680000000000006e-05,1.2506401949066253,1.2493602077738333,1.2493605020294625,1.2506398306539432,1.2493600466239398,1.2493594237891252,1.2493601129293759,1.249360369327375,1.2506400957251198,1.249359737194849,1.249360626436952,1.249360154417979,0.0002866364984697484,0.28146737540048394,0.43375664240605527,0.5313499125085429,0.5984924051069778,0.6486370431081119,0.6873596786865734,0.7182137248377036,0.7434049710733966,0.7643784722711462,0.782123144720832,0.7976243809601434
18,1.9486531633231445,0.0016262478921802972,0.017975416965782642,7.218347758682803,3.466000000000001e-05,1.2507176875521673,1.2492828303838341,1.2492831840319392,1.25071719166951,1.2492825996559018,1.2492817381458414,1.2492826842514553,1.2492830166952067,1.2507176116627758,1.2492821946702686,1.2492834052477209,1.2492827796582318,0.0003213153490423343,0.28143276656097793,0.4337220357422155,0.5313845113451311,0.5984577795483195,0.6486023776639351,0.6873250528044382,0.7181791120616212,0.743370377013101,0.7643438228539639,0.7820885530011941,0.7976243809601434
19,1.9485883616282345,0.001626552849019118,0.018213125003967434,7.213504475329933,3.664e-05,1.2507995992241394,1.249201057036775,1.2492014553804967,1.2507989384598044,1.2492007353811438,1.2491995699999183,1.2492008438013897,1.2492012725000432,1.2507995638991585,1.249200210475764,1.2492018254943686,1.2492010090832601,0.0003579672330624342,0.28139619127955945,0.43368546054233836,0.5314210657274602,0.5984211813146786,0.6485657289700268,0.687288454711545,0.7181425310020321,0.7433338206725522,0.7643071952140613,0.7820519980808823,0.7976243809601434
20,1.9485202938522193,0.001626874374860243,0.018326958001125604,7.2085465159950965,3.8620000000000006e-05,1.2508859360537992,1.2491148817567361,1.2491153128240486,1.25088507741081,1.2491144610116738,1.24911291900314,1.2491146008098601,1.249115146397723,1.250885921876848,1.2491137781308446,1.2491158853448399,1.2491148322622356,0.00039659401258517217,0.2813576471782441,0.433646915079618,0.5314595794292788,0.5983826135376036,0.6485271002981337,0.6872498883053443,0.7181039857463146,0.7432953054502812,0.7642685887664168,0.7820134789732255,0.7976243809601434
21,1.948451704211443,0.0016272124821806496,0.01851191697642207,7.201827660002302,4.0600000000000004e-05,1.2509766920555345,1.2490243108896113,1.2490247354465842,1.2509755948554726,1.2490237726445126,1.2490217752105681,1.249023951870698,1.2490246417013655,1.2509767050143288,1.2490228989011265,1.2490256110724218,1.2490242720522315,0.0004371919990296166,0.2813171375014688,0.4336064009338206,0.5315000528445472,0.5983420770642898,0.6484864900365351,0.6872093540993967,0.7180634772351703,0.7432548338872741,0.7642280046573281,0.7819730029004447,0.7976243809601434
22,1.9483933650879852,0.0016275671703676793,0.018370417004916817,7.198657197329386,4.2579999999999996e-05,1.2510718844788553,1.2489293382893993,1.2489297638194679,1.251070507847205,1.2489286796536136,1.2489261579486026,1.2489289185279937,1.2489297796153906,1.2510718572982769,1.2489275610695243,1.2489309700543116,1.2489292910054577,0.00047976846074838914,0.28127465781189875,0.43356391648919357,0.5315424832503309,0.5982995724726777,0.6484439043753257,0.6871668574191202,0.7180210121496969,0.7432124119114275,0.764185442516635,0.7819305608214309,0.7976243809601434
23,1.9483329577184327,0.0016279384716489113,0.018222207960207015,7.1901105270565235,4.4559999999999993e-05,1.2511715035245903,1.2488299802322462,1.248830338365076,1.2511697884793007,1.2488291709711203,1.2488260531986333,1.2488294848363326,1.2488305555318253,1.2511714095109936,1.2488277812013444,1.2488320158779433,1.2488299439949289,0.00052431711391763,0.2812302167013496,0.43351946489909504,0.5315868678932015,0.5982550989166897,0.6483993382786181,0.6871223951073419,0.7179765879961605,0.7431680358439897,0.7641409049437721,0.7818861673042138,0.7976243809601434
24,1.9482706022354999,0.0016283263947955782,0.01825420797104016,7.184947244663957,4.654e-05,1.251275552056246,1.2487262338106924,1.2487264745967974,1.2512734450232066,1.2487252512021192,1.2487214740261505,1.2487256648731253,1.2487269852360041,1.2512753203283555,1.2487235524934255,1.2487287397551015,1.2487262144441336,0.0005708389267642263,0.2811838121609898,0.43347304523794966,0.5316332084737663,0.5982086565948354,0.648352795495766,0.6870759706365464,0.7179302093850798,0.7431217086118879,0.7640943916846872,0.7818398193875788,0.7976243809601434
25,1.9482065368512422,0.0016287309729814893,0.018037667032331228,7.17905082175969,4.8519999999999996e-05,1.2513840362591548,1.2486181060047334,1.2486181473000049,1.2513814694246321,1.2486169236119504,1.2486124222564263,1.2486174697542274,1.248619077176092,1.251383567615451,1.2486148782970203,1.248621141729742,1.2486181095256754,0.0006193356712348483,0.28113544680439573,0.4334246564564975,0.5316814849287969,0.5981602454427746,0.648304276634545,0.687027586146611,0.7178818788641997,0.7430734313118931,0.7640459039770142,0.7817915169868737,0.7976243809601434
26,1.948141132163715,0.0016291522401799654,0.01820070797111839,7.171416064303117,5.05e-05,1.2514969506396185,1.2485055990757628,1.248505326481751,1.251493832225575,1.2485041783713757,1.2484988947670264,1.2485048875178146,1.2485068298845716,1.2514961753373843,1.2485017708295114,1.24850927518326,1.2485056797960794,0.0006698026861055775,0.28108512272536246,0.43337430145662637,0.5317316878537461,0.5981098638693972,0.6482537792619193,0.6869772396077385,0.7178315945847247,0.7430231996058111,0.7639954426230756,0.781741273291999,0.7976243809601434
27,1.9480749398572703,0.0016295902238918053,0.018408042029477656,7.165432812131769,5.2480000000000006e-05,1.2516142934567274,1.2483887132916733,1.2483879952100159,1.2516105375557924,1.248387015980736,1.248380909438844,1.2483879253857537,1.2483902554712218,1.2516130913262988,1.248384228288683,1.2483931422653582,1.2483889262277499,0.0007222388464369477,0.28103283986245486,0.4333219783154876,0.5317838182595945,0.5980575109844621,0.6482013067076088,0.6869249332860887,0.7177793599120685,0.7429710120351711,0.7639430073316898,0.7816890880368448,0.7976243809601434
