iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,beta0,beta1,beta2,beta3,beta4
0,0.09059749424744204,0.026554820174627295,4.19604350393638,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387
1,0.09457215617176508,0.026554843323661443,4.326757017057389,1.2624211757581165,9.999999999999159e-07,1.8873510877199118,1.8873455924466747,1.8873455924476776,1.887351087718619,1.8873455924467009,1.0000074527278045e-06,0.28175252511772486,0.43404178277796446,0.5310648054115176,0.5987785940560387
2,0.10013695502924747,0.02655532837420779,3.777776057831943,1.3428755992449166,2.097999999999987e-05,1.8874085762054247,1.887287909321457,1.8872880816561783,1.8874083222452087,1.8872879172869546,2.164177978163735e-05,0.28173153009950297,0.43402121439978397,0.5310857858723803,0.5987785940560387
3,0.09414319433845095,0.02655625980237281,0.9830109910108149,1.3838280987009581,4.095999999999993e-05,1.8875205620953284,1.8871751665143954,1.8871754753907628,1.8875201215609536,1.8871750524602016,6.232415949146953e-05,0.28169049249908334,0.43398207474146433,0.5311267305719025,0.5987785940560387
4,0.08558512549074795,0.026557498044484262,0.9299720069393516,1.4208504493260572,6.0939999999999996e-05,1.8876869800115104,1.8870071540636228,1.8870094875541714,1.8876873261370983,1.8870068811895755,0.00012315040452464307,0.28162933603578955,0.4339326638844109,0.5311876597990556,0.5987785940560387
5,0.09790390248009712,0.026559180839184755,0.8386096539907157,1.327503561434705,8.091999999999984e-05,1.887908341288915,1.8867844253138353,1.8867887596855386,1.887908452658078,1.8867841610277267,0.0002042306578090928,0.28154825927592747,0.43386436064801404,0.5312683950954968,0.5987785940560387
6,0.0952128993683513,0.026561186908795154,0.8305449560284615,1.368287199476319,0.0001008999999999999,1.8881847340548839,1.8865066598059013,1.8865165182041914,1.8881853852887522,1.8865063766635433,0.00030567760167528953,0.2814471424122891,0.4337832366754626,0.5313692488925977,0.5987785940560387
7,0.07804842613267063,0.026563672875672593,0.8329099388793111,1.458518555801644,0.00012087999999999997,1.8885146587931665,1.886172912544505,1.8861868548627605,1.8885179979178226,1.886172717396889,0.00042718987522447614,0.2813256294239501,0.43368300519834385,0.5314894200910284,0.5987785940560387
8,0.08457250676800307,0.026566659074797622,0.8587220248300582,1.2931491090953935,0.00014085999999999992,1.888899788549944,1.8857849321641438,1.8857998608839606,1.8889082136129756,1.885788356899967,0.0005690105615465102,0.28118437179561,0.43355943984833134,0.5316285403934264,0.5987785940560387
9,0.0792259354576012,0.026570192283570358,0.9362689929548651,1.3828822494120767,0.00016083999999999998,1.889339724940551,1.8853415374713445,1.8853526934287748,1.8893564715862525,1.8853497681619236,0.0007310932987266326,0.28102292581011307,0.4334115639989772,0.531786879651145,0.5987785940560387
10,0.09501547759918808,0.026574103496703038,0.843899890081957,1.2754461828174242,0.00018081999999999983,1.889834473466574,1.8848450347100791,1.884852276550839,1.889860804833184,1.8848586231383313,0.0009131672256025747,0.28084213279657866,0.43324611115903544,0.5319653786593649,0.5987785940560387
11,0.0938067726529388,0.0265783777157433,0.837314133066684,1.4155177897341553,0.0002007999999999999,1.890384796638614,1.8842930656211943,1.884301494788129,1.890417630292857,1.8843086905823145,0.0011157592781031855,0.2806410972021244,0.43306578617596386,0.5321643753529286,0.5987785940560387
12,0.08576535299139901,0.026583179305497796,0.822327587986365,1.3539337971897747,0.00022077999999999996,1.8909905869118775,1.883686393004665,1.8836905773835853,1.8910331824736373,1.8837044673184111,0.0013386530108527872,0.28042012025806834,0.43286095333405444,0.5323830042646037,0.5987785940560387
13,0.08563805164150358,0.026588468022154196,0.8557441120501608,1.3202902830265262,0.0002407599999999999,1.891650048666072,1.8830253966519708,1.8830223825813295,1.8917038218176525,1.8830496295288948,0.001581287214318692,0.28017933666232164,0.4326343323886268,0.5326207909774777,0.5987785940560387
14,0.10711340986903597,0.02659356695473061,0.8318366180174053,1.268249477512726,0.00026074,1.8923684140565913,1.8823128216168177,1.8823260815769793,1.8924307669961835,1.8823412862828883,0.0018449791941683412,0.27991972648297486,0.4324143420000405,0.5328796987787463,0.5987785940560387
