eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.002,0.0,0.0
0.0001,0.014,0.0,0.0
0.0005,0.08,0.028,0.0
0.001,0.15,0.086,0.0
0.005,0.382,0.45,0.0
0.01,0.5,0.656,0.006
0.05,0.762,0.96,0.844
0.1,0.866,0.992,0.998
0.5,0.972,1.0,1.0
1.0,0.996,1.0,1.0
