k,l2o,ldro_pep,lpep
1,32.02839966035221,31.04856428235673,30.63334966112771
2,8.488086494270762,10.966574495586759,10.403814530393989
3,3.244243561445528,2.486693008166465,4.686123067339513
4,0.4905659781276108,0.7987459961717407,2.4171249893508833
5,0.17063915317835995,0.2465476303890265,1.3868688751962084
6,0.10525158340784316,0.1284302636412355,0.779747942074018
7,0.01876357914472439,0.07142869843437342,0.45279252923340835
8,0.005614652677267816,0.034709941898418514,0.281925614363005
9,0.001980344096842438,0.019097418304293196,0.17594812004740815
10,0.0011934050354489637,0.010004781824583434,0.10980902444491576
11,0.0007043097781971957,0.003864217132873344,0.07305213954918804
12,0.00040353113388898393,0.0009996642481763208,0.048389306817479376
