k,l2o,ldro_pep,lpep
1,32.08450518169818,31.26335471850088,30.75384946709754
2,8.571956656868995,10.93693232471457,10.388227653043156
3,3.2212432277482566,2.5004754262746642,4.663004272762586
4,0.48970794183577626,0.8078819712291151,2.399770749273278
5,0.16944617046964436,0.24407955670248604,1.3748556375276832
6,0.10400303329085785,0.12681668528265763,0.7720250400524344
7,0.01867688098048503,0.0704168054560788,0.44786837959711834
8,0.005531545821152866,0.03415812836770742,0.27865340679673384
9,0.0019221086462630585,0.01880882619019339,0.17378474607191835
10,0.0011525247606051648,0.009851013646323925,0.10838261193445413
11,0.0006772008271159666,0.0037954252588404762,0.0720574769855697
12,0.00038613056094578406,0.0009666014485210756,0.047697214240524366
