k,l2o,ldro_pep,lpep
1,33.279388559651984,37.06616628275915,33.76808515149371
2,13.706588740637162,10.26499223048784,10.47950885844442
3,2.895823458095103,5.660201114934081,4.391440903058054
4,1.6521167328133397,3.9342082797579976,2.144077396597035
5,0.6324856935408653,0.2314388697463815,1.179450052839051
6,0.0790870924247249,0.12549747487961194,0.6431800652442319
7,0.1545646082783733,0.08069118766214081,0.36282832261733305
8,0.32708846738280833,0.09633958171782182,0.22009471091717117
9,0.0771245544193035,3.0107431422168833,0.13391708435721544
10,0.03184302770918893,1.3950342824576378,0.08146751430338109
11,0.03392145418781546,0.393575182954462,0.053010942409492105
12,0.0614331125486836,0.011949055846307425,0.03433227006362596
