eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.028,0.0,0.0
0.0001,0.11,0.0,0.0
0.0005,0.735,0.255,0.0
0.001,0.935,0.644,0.0
0.005,1.0,0.998,0.0
0.01,1.0,1.0,0.0
0.05,1.0,1.0,0.602
