k,l2o_t,ldro_pep_t,lpep_t
1,0.1416800809834213,0.1644560753242088,0.1518482116609307
2,0.2352613648414034,0.1169455990527937,0.1438563937957667
3,0.1082945206365139,0.4553001059535759,0.1454254415677082
4,0.4936572072379106,0.1915936738727996,0.1442090487272699
5,0.1568774179090783,0.1070616311197144,0.136554245624032
6,0.1032841118384497,0.1778753363692051,0.1509949935987572
7,0.6564074339479808,0.1867887238359391,0.1522023343407115
8,0.2376070206716104,0.2390461786319204,0.1411437302192696
9,0.1393928365815732,0.6973821412943335,0.1454835806924249
10,0.1537194320814852,0.0301247925090187,0.1499548147308649
11,0.1905312698322159,0.0442698810990095,0.1350742862284982
12,0.2196171554191817,0.0783481958700686,0.1391525754408574
