iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
14,0.026420832731190218,0.007864525899486392,6.797709650825709,0.023094244698425925,0.00026074,1.2467333544162977,1.2467307984947935,1.2467290099316033,1.2467272027911955,1.2467256085214073,1.2467240723846296,1.2467226449125375,1.2467211787809966,1.2467151315559357,1.2467010269603556,1.2465926421720992,1.246699240719351,1.2467234835599945,1.2467169239304976
15,0.023272808822166504,0.007857592961490493,5.405961276963353,0.021919943897617953,0.00028071999999999993,1.2473595592401352,1.2473574634560567,1.2473558694804816,1.247354062814967,1.2473524068363155,1.2473507419737633,1.2473491778298627,1.2473475394705738,1.2473415526455671,1.2473264537741944,1.2472049740586233,1.2473251400096208,1.247350678790771,1.2473439450699055
16,0.023498396601097947,0.007850180234231091,6.24480868363753,0.021501741987528588,0.0003007,1.2480288250603293,1.2480273964489135,1.2480257540014212,1.2480237323068557,1.2480218833763916,1.248019976834448,1.2480181790838887,1.2480163233958603,1.2480113999728424,1.2479955157014657,1.247869066163367,1.24799745084405,1.2480227271945268,1.2480173582491423
17,0.02634066250971966,0.007842235681082933,6.275510082952678,0.02343660732955849,0.00032068000000000005,1.2487446169474035,1.248744274823239,1.2487428165470624,1.2487407391824985,1.2487388666346029,1.2487368534444392,1.2487349173223703,1.2487329362771198,1.2487326020778573,1.248716005242958,1.2485882141235465,1.2487210503959016,1.2487441953444824,1.248741054593917
18,0.022861515204189616,0.007833855996418587,6.415589492768049,0.021079616213624145,0.00034066,1.2495032855607,1.2495030366270305,1.2495014615894633,1.2494992162382965,1.2494972578400256,1.2494951075616147,1.2494930516909077,1.2494909742852476,1.2494936731015165,1.2494743834856468,1.2493416539833686,1.2494834554324026,1.2495074967989996,1.2495050126693694
19,0.026379700635058494,0.007824992149216344,6.024893785361201,0.023100075574308182,0.00036063999999999996,1.2503090036686624,1.2503091323969902,1.250307689681531,1.2503054797009556,1.2503035854042093,1.2503014388568296,1.2502994074801306,1.2502973592812376,1.2503016847983701,1.2502764125993675,1.2501222385807458,1.2502884626000794,1.250315912130702,1.2503121557394827
20,0.026524264951229365,0.0078156802950856,6.846214384306222,0.023231665417495724,0.0003806199999999999,1.2511621645609834,1.2511636215243889,1.2511627654321238,1.2511608936605854,1.251159206556734,1.251157161045255,1.2511552962937948,1.2511533672315873,1.2511579188432593,1.2511235090045807,1.2509073908453077,1.2511237542224327,1.2511559269675923,1.251154189526687
21,0.0242007148874122,0.007805868827060993,6.689543299842626,0.022407095129309332,0.0004006,1.2520601109849556,1.2520624089070382,1.2520617682656003,1.252059969714306,1.2520582980702446,1.2520562054002595,1.2520543643206974,1.2520524379144253,1.2520583411344992,1.2520217647349845,1.2517546087436529,1.2520094305825942,1.252047616991489,1.252045843676721
22,0.0253316476255124,0.007795614208678136,6.248622987885028,0.02272431279449551,0.00042057999999999993,1.253004376353163,1.2530080822093843,1.2530079292875356,1.2530063830745406,1.2530048213520777,1.2530027314473942,1.253000997232216,1.2529991114712964,1.2530047972701022,1.2529624117065945,1.2526164358159007,1.2529293910357422,1.2529723097471714,1.2529764712775475
23,0.025161519250295358,0.007784858443777514,5.761274649761617,0.022531081011330036,0.0004405599999999999,1.2539932819870434,1.2539987083361925,1.253999226547218,1.253998093367089,1.253996768264882,1.2539948310069355,1.253993284345124,1.253991536378277,1.2539955538302487,1.2539495936004799,1.253541038530788,1.2539004429860334,1.253947466492977,1.253957117356134
