iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2
0,87.1553455139892,62.52665696472974,35.208436098881066,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,82.77539687901194,62.52648510981002,18.623362373095006,670943.9067701321,9.999999999999972e-07,0.1012620857555889,0.1012633586279725,0.9999979999977519,0.10126208575551156,0.10126335862805061,0.999997999980956,0.10126208575548824,0.1012633586280469,0.999997999980491
2,80.08877202714517,62.50932698028894,18.82872058590874,665240.4169164677,0.0001,0.10119849508295176,0.10132709774333142,0.9998099978148903,0.1011984280871319,0.10132695038442882,0.999798273964461,0.10119845374935604,0.10132701619309761,0.999797963170425
3,79.91604397735308,62.49269581678087,1.4508019948843867,618459.1275495056,9.701478472890248e-05,0.10113733098393478,0.10138885287027728,0.9996391115782328,0.10113666523314722,0.10138876066833524,0.9996042271113821,0.10113674789690201,0.10138884798425035,0.9996038792490608
4,81.17448073241401,62.47751914561522,1.4677125220187008,627671.0866714693,8.84191999343894e-05,0.10108181840908864,0.10144517468329439,0.9994919667731199,0.10108038412019732,0.10144523125639753,0.9994271807027386,0.10108053701065439,0.10144528911777138,0.9994270481494077
5,85.0073756641038,62.4645543335359,1.4463339319918305,631157.1172164422,7.525e-05,0.10103520567236077,0.10149329689716596,0.9993704019589603,0.10103255549898221,0.10149331324259062,0.999276606362374,0.10103271197785935,0.10149340730833732,0.9992763793226995
6,82.00066411608331,62.45431630111276,1.5315746718551964,673792.6872932238,5.909558479451306e-05,0.10099809086243304,0.10153115409099524,0.9992675815396067,0.10099496928221209,0.10153109514865148,0.9991584371109429,0.1009951667210755,0.10153120937886399,0.9991582232789721
7,89.83276161561406,62.447064794195036,1.4948688270524144,686033.5800440367,4.190441520548695e-05,0.10097200737310504,0.10155795669776148,0.9991981319380695,0.10096834069490845,0.10155792698419597,0.9990746193741777,0.10096854883260727,0.10155803161440691,0.9990743639997167
8,86.03266614968102,62.442650009956765,1.4546966899652034,661592.4239623834,2.5750000000000013e-05,0.1009560934710169,0.10157428531359267,0.9991602451265846,0.10095197544823527,0.10157443878753897,0.9990230221581616,0.1009521938656893,0.10157450138705139,0.9990228450525892
9,94.63385641500815,62.440497318896284,1.5365336970426142,767394.795598607,1.2580800065610596e-05,0.10094826832152502,0.10158223165020162,0.9991405743501957,0.10094399058434711,0.10158249178956108,0.9989978509682453,0.1009442006189789,0.10158251628571878,0.9989977096118103
10,81.44285710380898,62.43980663539739,1.4573905949946493,630898.258215731,3.985215271097538e-06,0.10094575831606008,0.1015847767274655,0.9991338071394944,0.10094145973468091,0.10158504679702547,0.9989898867871689,0.10094166992123424,0.10158506621237857,0.9989897436605489
